Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	22.12	-5.23	30.24
2008-01-14T18:52:16	4470.58	-3073.19	17.87	22.56	-5.42	30.57
2008-01-14T18:52:18	4465.44	-3061.29	17.23	23.02	-5.61	30.83
2008-01-14T18:52:20	4460.35	-3049.48	16.60	23.49	-5.79	31.01
2008-01-14T18:52:22	4455.23	-3037.62	15.96	23.99	-5.96	31.12
2008-01-14T18:52:24	4450.11	-3025.75	15.33	24.26	-6.07	30.90
2008-01-14T18:52:26	4444.99	-3013.89	14.69	24.46	-6.16	30.54
2008-01-14T18:52:28	4439.86	-3002.03	14.06	24.70	-6.26	30.15
2008-01-14T18:52:30	4434.73	-2990.16	13.42	24.99	-6.38	29.73
2008-01-14T18:52:32	4429.60	-2978.29	12.79	25.31	-6.51	29.28
2008-01-14T18:52:34	4424.47	-2966.42	12.15	25.87	-6.30	29.17
2008-01-14T18:52:36	4419.33	-2954.55	11.52	26.50	-6.06	29.11
2008-01-14T18:52:38	4414.19	-2942.67	10.88	27.09	-5.91	29.22
2008-01-14T18:52:40	4409.05	-2930.80	10.25	27.63	-5.81	29.33
2008-01-14T18:52:42	4403.91	-2918.92	9.61	28.12	-5.78	29.44
2008-01-14T18:52:44	4398.76	-2907.04	8.98	28.31	-5.81	29.77
2008-01-14T18:52:46	4393.62	-2895.16	8.34	28.51	-5.76	29.97
2008-01-14T18:52:48	4388.46	-2883.28	7.71	28.73	-5.64	30.04
2008-01-14T18:52:50	4383.31	-2871.39	7.07	28.96	-5.45	29.99
2008-01-14T18:52:52	4378.15	-2859.51	6.44	29.12	-5.26	29.81
2008-01-14T18:52:54	4372.99	-2847.62	5.80	28.96	-5.30	29.66
2008-01-14T18:52:56	4367.83	-2835.73	5.17	28.75	-5.40	29.55
2008-01-14T18:52:58	4362.67	-2823.84	4.53	28.50	-5.56	29.49
2008-01-14T18:53:00	4357.50	-2811.95	3.90	28.37	-5.71	29.82
2008-01-14T18:53:02	4352.33	-2800.05	3.26	28.44	-5.86	30.01
2008-01-14T18:53:04	4347.16	-2788.15	2.63	28.78	-5.94	29.96
2008-01-14T18:53:06	4341.98	-2776.26	1.99	29.11	-5.96	29.89
2008-01-14T18:53:08	4336.80	-2764.35	1.36	29.41	-5.91	29.79
2008-01-14T18:53:10	4331.62	-2752.45	0.72	29.70	-5.79	29.67
2008-01-14T18:53:12	4326.44	-2740.55	0.09	30.11	-5.64	29.80
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	30.58	-5.46	30.03
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	31.03	-5.25	30.22
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	31.44	-4.99	30.34
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	31.84	-4.71	30.41
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	31.85	-5.21	30.44
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	31.67	-5.76	30.40
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	31.45	-6.24	30.35
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	31.19	-6.66	30.28
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	30.90	-7.01	30.20
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	30.74	-7.21	29.83
2008-01-14T18:53:34	4269.23	-2609.48	-6.90	30.56	-7.36	29.40
2008-01-14T18:53:36	4264.01	-2597.56	-7.54	30.35	-7.46	28.92
2008-01-14T18:53:38	4258.79	-2585.63	-8.17	30.13	-7.52	28.39
2008-01-14T18:53:40	4253.57	-2573.70	-8.81	29.96	-7.48	27.84
2008-01-14T18:53:42	4248.34	-2561.77	-9.44	30.06	-7.27	27.49
2008-01-14T18:53:44	4243.11	-2549.83	-10.08	30.26	-7.06	27.15
2008-01-14T18:53:46	4237.88	-2537.90	-10.71	30.43	-6.92	26.81
2008-01-14T18:53:48	4232.64	-2525.96	-11.35	30.55	-6.84	26.46
2008-01-14T18:53:50	4227.40	-2514.02	-11.98	30.60	-6.92	26.20
2008-01-14T18:53:52	4222.16	-2502.08	-12.62	30.53	-7.13	26.05
2008-01-14T18:53:54	4216.92	-2490.13	-13.25	30.43	-7.37	25.90
2008-01-14T18:53:56	4211.67	-2478.19	-13.89	30.29	-7.64	25.75
2008-01-14T18:53:58	4206.42	-2466.24	-14.52	30.11	-7.94	25.61
2008-01-14T18:54:00	4201.16	-2454.30	-15.16	29.86	-8.09	25.55
2008-01-14T18:54:02	4195.90	-2442.34	-15.79	29.60	-8.14	25.58
2008-01-14T18:54:04	4190.64	-2430.39	-16.43	29.34	-8.17	25.68
2008-01-14T18:54:06	4185.38	-2418.44	-17.06	29.24	-8.19	25.88
2008-01-14T18:54:08	4180.11	-2406.48	-17.70	29.18	-8.23	26.03
2008-01-14T18:54:10	4174.84	-2394.52	-18.33	29.27	-8.34	25.91
2008-01-14T18:54:12	4169.56	-2382.56	-18.97	29.40	-8.42	25.79
2008-01-14T18:54:14	4164.29	-2370.60	-19.60	29.53	-8.44	25.71
2008-01-14T18:54:16	4159.01	-2358.64	-20.24	29.68	-8.41	25.66
2008-01-14T18:54:18	4153.72	-2346.67	-20.87	29.81	-8.34	25.65
2008-01-14T18:54:20	4148.43	-2334.70	-21.51	29.71	-8.12	25.74
2008-01-14T18:54:22	4143.14	-2322.73	-22.14	29.57	-7.84	25.76
