Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	3.88	1.96	27.27
2008-01-14T18:52:16	4470.58	-3073.19	17.87	3.75	1.72	27.12
2008-01-14T18:52:18	4465.44	-3061.29	17.23	3.59	1.55	26.98
2008-01-14T18:52:20	4460.35	-3049.48	16.60	3.39	1.47	26.84
2008-01-14T18:52:22	4455.23	-3037.62	15.96	3.15	1.45	26.70
2008-01-14T18:52:24	4450.11	-3025.75	15.33	2.99	1.52	26.56
2008-01-14T18:52:26	4444.99	-3013.89	14.69	2.86	1.59	26.45
2008-01-14T18:52:28	4439.86	-3002.03	14.06	2.70	1.64	26.39
2008-01-14T18:52:30	4434.73	-2990.16	13.42	2.52	1.69	26.37
2008-01-14T18:52:32	4429.60	-2978.29	12.79	2.32	1.72	26.39
2008-01-14T18:52:34	4424.47	-2966.42	12.15	2.24	1.87	26.36
2008-01-14T18:52:36	4419.33	-2954.55	11.52	2.21	2.09	26.33
2008-01-14T18:52:38	4414.19	-2942.67	10.88	2.14	2.37	26.18
2008-01-14T18:52:40	4409.05	-2930.80	10.25	2.03	2.60	26.14
2008-01-14T18:52:42	4403.91	-2918.92	9.61	1.90	2.79	26.20
2008-01-14T18:52:44	4398.76	-2907.04	8.98	1.95	2.54	26.18
2008-01-14T18:52:46	4393.62	-2895.16	8.34	2.03	2.32	26.10
2008-01-14T18:52:48	4388.46	-2883.28	7.71	2.14	2.13	25.95
2008-01-14T18:52:50	4383.31	-2871.39	7.07	2.26	1.97	25.73
2008-01-14T18:52:52	4378.15	-2859.51	6.44	2.55	1.86	25.43
2008-01-14T18:52:54	4372.99	-2847.62	5.80	3.31	1.81	25.02
2008-01-14T18:52:56	4367.83	-2835.73	5.17	4.13	1.70	24.61
2008-01-14T18:52:58	4362.67	-2823.84	4.53	5.00	1.53	24.18
2008-01-14T18:53:00	4357.50	-2811.95	3.90	5.89	1.34	23.59
2008-01-14T18:53:02	4352.33	-2800.05	3.26	6.61	1.21	23.02
2008-01-14T18:53:04	4347.16	-2788.15	2.63	7.09	1.12	22.45
2008-01-14T18:53:06	4341.98	-2776.26	1.99	7.53	0.97	21.91
2008-01-14T18:53:08	4336.80	-2764.35	1.36	7.93	0.76	21.39
2008-01-14T18:53:10	4331.62	-2752.45	0.72	8.30	0.49	20.90
2008-01-14T18:53:12	4326.44	-2740.55	0.09	8.68	0.15	20.39
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	9.08	-0.22	19.88
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	9.46	-0.60	19.41
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	9.83	-1.00	18.97
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	10.17	-1.41	18.56
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	10.00	-1.80	18.12
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	9.62	-2.19	17.54
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	9.21	-2.59	16.84
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	8.76	-3.00	16.03
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	8.26	-3.40	15.11
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	7.40	-3.64	14.52
