Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	72.60	-5.10	-1.13
2008-01-14T18:52:16	4470.58	-3073.19	17.87	72.75	-5.50	-1.39
2008-01-14T18:52:18	4465.44	-3061.29	17.23	72.81	-5.86	-1.62
2008-01-14T18:52:20	4460.35	-3049.48	16.60	72.78	-6.18	-1.84
2008-01-14T18:52:22	4455.23	-3037.62	15.96	72.67	-6.45	-2.05
2008-01-14T18:52:24	4450.11	-3025.75	15.33	72.29	-6.60	-2.36
2008-01-14T18:52:26	4444.99	-3013.89	14.69	71.89	-6.70	-2.71
2008-01-14T18:52:28	4439.86	-3002.03	14.06	71.58	-6.78	-3.04
2008-01-14T18:52:30	4434.73	-2990.16	13.42	71.35	-6.86	-3.35
2008-01-14T18:52:32	4429.60	-2978.29	12.79	71.20	-6.94	-3.66
2008-01-14T18:52:34	4424.47	-2966.42	12.15	70.98	-6.95	-3.68
2008-01-14T18:52:36	4419.33	-2954.55	11.52	70.76	-6.98	-3.61
2008-01-14T18:52:38	4414.19	-2942.67	10.88	70.46	-7.07	-3.39
2008-01-14T18:52:40	4409.05	-2930.80	10.25	70.07	-7.25	-3.19
2008-01-14T18:52:42	4403.91	-2918.92	9.61	69.57	-7.54	-3.01
2008-01-14T18:52:44	4398.76	-2907.04	8.98	68.46	-8.20	-2.56
2008-01-14T18:52:46	4393.62	-2895.16	8.34	67.48	-8.89	-2.25
2008-01-14T18:52:48	4388.46	-2883.28	7.71	66.65	-9.60	-2.07
2008-01-14T18:52:50	4383.31	-2871.39	7.07	65.96	-10.34	-2.03
2008-01-14T18:52:52	4378.15	-2859.51	6.44	65.38	-10.95	-2.29
2008-01-14T18:52:54	4372.99	-2847.62	5.80	64.86	-11.06	-3.11
2008-01-14T18:52:56	4367.83	-2835.73	5.17	64.39	-11.16	-3.96
2008-01-14T18:52:58	4362.67	-2823.84	4.53	63.96	-11.25	-4.83
2008-01-14T18:53:00	4357.50	-2811.95	3.90	63.25	-11.15	-5.39
2008-01-14T18:53:02	4352.33	-2800.05	3.26	62.38	-11.12	-5.45
2008-01-14T18:53:04	4347.16	-2788.15	2.63	61.35	-11.06	-4.92
2008-01-14T18:53:06	4341.98	-2776.26	1.99	60.46	-11.02	-4.42
2008-01-14T18:53:08	4336.80	-2764.35	1.36	59.70	-11.00	-3.93
2008-01-14T18:53:10	4331.62	-2752.45	0.72	59.09	-11.01	-3.47
2008-01-14T18:53:12	4326.44	-2740.55	0.09	58.45	-10.86	-3.40
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	57.69	-10.50	-3.58
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	56.90	-10.00	-3.80
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	56.07	-9.35	-4.05
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	55.20	-8.55	-4.32
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	54.19	-8.55	-4.39
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	53.28	-8.70	-4.47
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	52.53	-8.85	-4.55
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	51.93	-8.98	-4.64
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	51.49	-9.09	-4.73
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	51.92	-8.69	-4.52
2008-01-14T18:53:34	4269.23	-2609.48	-6.90	52.38	-8.22	-4.17
2008-01-14T18:53:36	4264.01	-2597.56	-7.54	52.86	-7.70	-3.69
2008-01-14T18:53:38	4258.79	-2585.63	-8.17	53.37	-7.11	-3.07
2008-01-14T18:53:40	4253.57	-2573.70	-8.81	53.81	-6.71	-2.65
2008-01-14T18:53:42	4248.34	-2561.77	-9.44	53.67	-7.07	-3.39
2008-01-14T18:53:44	4243.11	-2549.83	-10.08	53.55	-7.83	-4.45
2008-01-14T18:53:46	4237.88	-2537.90	-10.71	53.46	-8.49	-5.27
2008-01-14T18:53:48	4232.64	-2525.96	-11.35	53.38	-9.05	-5.85
2008-01-14T18:53:50	4227.40	-2514.02	-11.98	54.13	-9.51	-5.93
2008-01-14T18:53:52	4222.16	-2502.08	-12.62	55.89	-9.84	-5.58
2008-01-14T18:53:54	4216.92	-2490.13	-13.25	57.57	-10.04	-5.23
2008-01-14T18:53:56	4211.67	-2478.19	-13.89	59.16	-10.11	-4.89
2008-01-14T18:53:58	4206.42	-2466.24	-14.52	60.65	-10.06	-4.54
2008-01-14T18:54:00	4201.16	-2454.30	-15.16	61.47	-10.05	-4.41
2008-01-14T18:54:02	4195.90	-2442.34	-15.79	61.86	-10.12	-4.41
2008-01-14T18:54:04	4190.64	-2430.39	-16.43	62.15	-10.20	-4.44
2008-01-14T18:54:06	4185.38	-2418.44	-17.06	62.26	-10.42	-4.62
2008-01-14T18:54:08	4180.11	-2406.48	-17.70	62.31	-10.56	-4.81
2008-01-14T18:54:10	4174.84	-2394.52	-18.33	63.26	-10.98	-4.78
2008-01-14T18:54:12	4169.56	-2382.56	-18.97	64.44	-11.38	-4.71
2008-01-14T18:54:14	4164.29	-2370.60	-19.60	65.69	-11.73	-4.66
2008-01-14T18:54:16	4159.01	-2358.64	-20.24	67.00	-12.01	-4.62
2008-01-14T18:54:18	4153.72	-2346.67	-20.87	68.32	-12.24	-4.58
2008-01-14T18:54:20	4148.43	-2334.70	-21.51	69.13	-12.62	-4.68
2008-01-14T18:54:22	4143.14	-2322.73	-22.14	69.95	-13.02	-4.80
2008-01-14T18:54:24	4137.85	-2310.76	-22.77	70.79	-13.46	-4.93
2008-01-14T18:54:26	4132.55	-2298.79	-23.41	71.64	-13.92	-5.14
2008-01-14T18:54:28	4127.25	-2286.81	-24.05	72.37	-14.07	-5.40
2008-01-14T18:54:30	4121.95	-2274.83	-24.68	73.02	-13.64	-5.47
2008-01-14T18:54:32	4116.64	-2262.85	-25.32	73.73	-13.19	-5.45
2008-01-14T18:54:34	4111.33	-2250.87	-25.95	74.49	-12.74	-5.35
2008-01-14T18:54:36	4106.01	-2238.89	-26.58	75.32	-12.27	-5.17
2008-01-14T18:54:38	4100.70	-2226.91	-27.22	76.02	-11.95	-5.01
2008-01-14T18:54:40	4095.37	-2214.92	-27.86	76.54	-11.83	-4.93
2008-01-14T18:54:42	4090.05	-2202.93	-28.49	76.99	-11.81	-4.85
2008-01-14T18:54:44	4084.72	-2190.94	-29.12	77.37	-11.88	-4.79
2008-01-14T18:54:46	4079.39	-2178.94	-29.76	77.69	-12.04	-4.75
2008-01-14T18:54:48	4074.05	-2166.95	-30.39	77.57	-12.05	-4.79
2008-01-14T18:54:50	4068.71	-2154.95	-31.03	77.27	-11.97	-4.86
2008-01-14T18:54:52	4063.37	-2142.95	-31.66	76.95	-11.92	-4.91
2008-01-14T18:54:54	4058.03	-2130.95	-32.30	76.61	-11.90	-4.95
2008-01-14T18:54:56	4052.67	-2118.95	-32.93	76.26	-11.88	-4.96
