Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	8.05	14.31	4.92
2008-01-14T18:52:16	4470.58	-3073.19	17.87	7.89	14.44	5.44
2008-01-14T18:52:18	4465.44	-3061.29	17.23	7.71	14.57	5.96
2008-01-14T18:52:20	4460.35	-3049.48	16.60	7.53	14.71	6.46
2008-01-14T18:52:22	4455.23	-3037.62	15.96	7.33	14.84	6.95
2008-01-14T18:52:24	4450.11	-3025.75	15.33	7.09	15.02	7.53
2008-01-14T18:52:26	4444.99	-3013.89	14.69	6.87	15.23	8.10
2008-01-14T18:52:28	4439.86	-3002.03	14.06	6.71	15.48	8.62
2008-01-14T18:52:30	4434.73	-2990.16	13.42	6.61	15.77	9.09
2008-01-14T18:52:32	4429.60	-2978.29	12.79	6.57	16.09	9.50
2008-01-14T18:52:34	4424.47	-2966.42	12.15	6.41	16.44	10.28
2008-01-14T18:52:36	4419.33	-2954.55	11.52	6.23	16.77	11.14
2008-01-14T18:52:38	4414.19	-2942.67	10.88	6.03	17.04	12.14
2008-01-14T18:52:40	4409.05	-2930.80	10.25	5.89	17.32	13.13
2008-01-14T18:52:42	4403.91	-2918.92	9.61	5.84	17.63	14.11
2008-01-14T18:52:44	4398.76	-2907.04	8.98	5.88	18.35	15.37
2008-01-14T18:52:46	4393.62	-2895.16	8.34	5.89	19.06	16.63
2008-01-14T18:52:48	4388.46	-2883.28	7.71	5.88	19.75	17.90
2008-01-14T18:52:50	4383.31	-2871.39	7.07	5.84	20.42	19.17
2008-01-14T18:52:52	4378.15	-2859.51	6.44	5.87	20.99	20.38
2008-01-14T18:52:54	4372.99	-2847.62	5.80	6.24	21.29	21.35
2008-01-14T18:52:56	4367.83	-2835.73	5.17	6.65	21.58	22.30
2008-01-14T18:52:58	4362.67	-2823.84	4.53	7.11	21.88	23.23
2008-01-14T18:53:00	4357.50	-2811.95	3.90	7.55	22.34	23.97
2008-01-14T18:53:02	4352.33	-2800.05	3.26	7.69	22.89	24.72
2008-01-14T18:53:04	4347.16	-2788.15	2.63	7.48	23.47	25.53
2008-01-14T18:53:06	4341.98	-2776.26	1.99	7.31	24.04	26.41
2008-01-14T18:53:08	4336.80	-2764.35	1.36	7.20	24.59	27.35
2008-01-14T18:53:10	4331.62	-2752.45	0.72	7.13	25.12	28.34
2008-01-14T18:53:12	4326.44	-2740.55	0.09	7.54	26.02	29.09
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	8.18	27.13	29.69
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	8.80	28.23	30.33
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	9.39	29.31	31.00
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	9.96	30.37	31.71
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	10.13	31.58	32.17
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	10.07	32.79	32.51
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	9.91	33.94	32.74
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	9.65	35.03	32.84
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	9.29	36.04	32.82
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	8.92	35.80	32.49
2008-01-14T18:53:34	4269.23	-2609.48	-6.90	8.54	35.68	32.11
2008-01-14T18:53:36	4264.01	-2597.56	-7.54	8.16	35.66	31.69
2008-01-14T18:53:38	4258.79	-2585.63	-8.17	7.77	35.76	31.23
2008-01-14T18:53:40	4253.57	-2573.70	-8.81	7.49	36.10	30.98
2008-01-14T18:53:42	4248.34	-2561.77	-9.44	7.62	36.87	31.64
2008-01-14T18:53:44	4243.11	-2549.83	-10.08	7.98	37.43	32.77
2008-01-14T18:53:46	4237.88	-2537.90	-10.71	8.19	38.11	33.71
2008-01-14T18:53:48	4232.64	-2525.96	-11.35	8.25	38.91	34.45
2008-01-14T18:53:50	4227.40	-2514.02	-11.98	8.21	39.83	34.86
2008-01-14T18:53:52	4222.16	-2502.08	-12.62	8.14	40.80	35.01
2008-01-14T18:53:54	4216.92	-2490.13	-13.25	7.97	41.74	35.14
