Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	70.08	-6.77	-6.59
2008-01-14T18:52:16	4470.58	-3073.19	17.87	70.50	-6.68	-6.37
2008-01-14T18:52:18	4465.44	-3061.29	17.23	70.87	-6.63	-6.12
2008-01-14T18:52:20	4460.35	-3049.48	16.60	71.20	-6.63	-5.85
2008-01-14T18:52:22	4455.23	-3037.62	15.96	71.49	-6.67	-5.54
2008-01-14T18:52:24	4450.11	-3025.75	15.33	72.22	-6.65	-5.05
2008-01-14T18:52:26	4444.99	-3013.89	14.69	73.17	-6.61	-4.53
2008-01-14T18:52:28	4439.86	-3002.03	14.06	74.13	-6.62	-4.09
2008-01-14T18:52:30	4434.73	-2990.16	13.42	75.11	-6.65	-3.72
2008-01-14T18:52:32	4429.60	-2978.29	12.79	76.11	-6.71	-3.44
2008-01-14T18:52:34	4424.47	-2966.42	12.15	76.60	-6.96	-3.49
2008-01-14T18:52:36	4419.33	-2954.55	11.52	76.96	-7.17	-3.59
2008-01-14T18:52:38	4414.19	-2942.67	10.88	77.29	-7.25	-3.63
2008-01-14T18:52:40	4409.05	-2930.80	10.25	77.67	-7.35	-3.65
2008-01-14T18:52:42	4403.91	-2918.92	9.61	78.06	-7.46	-3.65
2008-01-14T18:52:44	4398.76	-2907.04	8.98	78.06	-7.48	-3.66
2008-01-14T18:52:46	4393.62	-2895.16	8.34	78.04	-7.53	-3.64
2008-01-14T18:52:48	4388.46	-2883.28	7.71	78.01	-7.61	-3.60
2008-01-14T18:52:50	4383.31	-2871.39	7.07	77.96	-7.73	-3.52
2008-01-14T18:52:52	4378.15	-2859.51	6.44	77.96	-7.80	-3.39
2008-01-14T18:52:54	4372.99	-2847.62	5.80	78.15	-7.56	-3.17
2008-01-14T18:52:56	4367.83	-2835.73	5.17	78.34	-7.27	-2.96
2008-01-14T18:52:58	4362.67	-2823.84	4.53	78.52	-6.93	-2.75
2008-01-14T18:53:00	4357.50	-2811.95	3.90	78.64	-6.67	-2.56
2008-01-14T18:53:02	4352.33	-2800.05	3.26	78.67	-6.60	-2.40
2008-01-14T18:53:04	4347.16	-2788.15	2.63	78.56	-6.72	-2.29
2008-01-14T18:53:06	4341.98	-2776.26	1.99	78.46	-6.84	-2.20
2008-01-14T18:53:08	4336.80	-2764.35	1.36	78.36	-6.95	-2.12
2008-01-14T18:53:10	4331.62	-2752.45	0.72	78.26	-7.06	-2.05
2008-01-14T18:53:12	4326.44	-2740.55	0.09	78.26	-7.20	-1.93
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	78.34	-7.35	-1.78
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	78.44	-7.48	-1.64
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	78.57	-7.58	-1.50
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	78.72	-7.65	-1.38
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	78.52	-7.66	-1.19
