Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	2.05	-1.10	18.06
2008-01-14T18:52:16	4470.58	-3073.19	17.87	2.07	-1.11	18.16
2008-01-14T18:52:18	4465.44	-3061.29	17.23	2.09	-1.12	18.27
2008-01-14T18:52:20	4460.35	-3049.48	16.60	2.12	-1.13	18.37
2008-01-14T18:52:22	4455.23	-3037.62	15.96	2.14	-1.14	18.48
2008-01-14T18:52:24	4450.11	-3025.75	15.33	2.17	-1.15	18.59
2008-01-14T18:52:26	4444.99	-3013.89	14.69	2.19	-1.17	18.69
2008-01-14T18:52:28	4439.86	-3002.03	14.06	2.21	-1.18	18.80
2008-01-14T18:52:30	4434.73	-2990.16	13.42	2.24	-1.19	18.91
2008-01-14T18:52:32	4429.60	-2978.29	12.79	2.26	-1.20	19.02
2008-01-14T18:52:34	4424.47	-2966.42	12.15	2.29	-1.21	19.13
2008-01-14T18:52:36	4419.33	-2954.55	11.52	2.31	-1.22	19.24
2008-01-14T18:52:38	4414.19	-2942.67	10.88	2.34	-1.23	19.35
2008-01-14T18:52:40	4409.05	-2930.80	10.25	2.36	-1.24	19.47
2008-01-14T18:52:42	4403.91	-2918.92	9.61	2.39	-1.25	19.58
2008-01-14T18:52:44	4398.76	-2907.04	8.98	2.42	-1.27	19.69
2008-01-14T18:52:46	4393.62	-2895.16	8.34	2.44	-1.28	19.81
2008-01-14T18:52:48	4388.46	-2883.28	7.71	2.47	-1.29	19.93
2008-01-14T18:52:50	4383.31	-2871.39	7.07	2.50	-1.30	20.04
2008-01-14T18:52:52	4378.15	-2859.51	6.44	2.53	-1.31	20.16
2008-01-14T18:52:54	4372.99	-2847.62	5.80	2.56	-1.32	20.28
2008-01-14T18:52:56	4367.83	-2835.73	5.17	2.58	-1.34	20.40
2008-01-14T18:52:58	4362.67	-2823.84	4.53	2.61	-1.35	20.52
2008-01-14T18:53:00	4357.50	-2811.95	3.90	2.64	-1.36	20.64
2008-01-14T18:53:02	4352.33	-2800.05	3.26	2.67	-1.37	20.76
2008-01-14T18:53:04	4347.16	-2788.15	2.63	2.70	-1.39	20.88
2008-01-14T18:53:06	4341.98	-2776.26	1.99	2.73	-1.40	21.01
2008-01-14T18:53:08	4336.80	-2764.35	1.36	2.76	-1.41	21.13
2008-01-14T18:53:10	4331.62	-2752.45	0.72	2.79	-1.42	21.26
2008-01-14T18:53:12	4326.44	-2740.55	0.09	2.82	-1.44	21.38
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	2.86	-1.45	21.51
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	2.89	-1.46	21.64
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	2.92	-1.47	21.77
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	2.95	-1.49	21.90
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	2.99	-1.50	22.03
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	3.02	-1.51	22.16
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	3.06	-1.53	22.29
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	3.09	-1.54	22.42
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	3.12	-1.55	22.56
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	3.16	-1.57	22.69
2008-01-14T18:53:34	4269.23	-2609.48	-6.90	3.20	-1.58	22.83
2008-01-14T18:53:36	4264.01	-2597.56	-7.54	3.23	-1.59	22.97
2008-01-14T18:53:38	4258.79	-2585.63	-8.17	3.27	-1.61	23.11
2008-01-14T18:53:40	4253.57	-2573.70	-8.81	3.31	-1.62	23.24
2008-01-14T18:53:42	4248.34	-2561.77	-9.44	3.34	-1.64	23.38
2008-01-14T18:53:44	4243.11	-2549.83	-10.08	3.38	-1.65	23.53
2008-01-14T18:53:46	4237.88	-2537.90	-10.71	3.42	-1.66	23.67
2008-01-14T18:53:48	4232.64	-2525.96	-11.35	3.46	-1.68	23.81
2008-01-14T18:53:50	4227.40	-2514.02	-11.98	3.50	-1.69	23.96
2008-01-14T18:53:52	4222.16	-2502.08	-12.62	3.54	-1.71	24.10
2008-01-14T18:53:54	4216.92	-2490.13	-13.25	3.58	-1.72	24.25
2008-01-14T18:53:56	4211.67	-2478.19	-13.89	3.62	-1.74	24.39
2008-01-14T18:53:58	4206.42	-2466.24	-14.52	3.66	-1.75	24.54
2008-01-14T18:54:00	4201.16	-2454.30	-15.16	3.70	-1.77	24.69
2008-01-14T18:54:02	4195.90	-2442.34	-15.79	3.74	-1.78	24.84
2008-01-14T18:54:04	4190.64	-2430.39	-16.43	3.79	-1.80	24.99
2008-01-14T18:54:06	4185.38	-2418.44	-17.06	3.83	-1.81	25.15
2008-01-14T18:54:08	4180.11	-2406.48	-17.70	3.87	-1.83	25.30
2008-01-14T18:54:10	4174.84	-2394.52	-18.33	3.92	-1.84	25.45
2008-01-14T18:54:12	4169.56	-2382.56	-18.97	3.96	-1.86	25.61
2008-01-14T18:54:14	4164.29	-2370.60	-19.60	4.01	-1.87	25.77
2008-01-14T18:54:16	4159.01	-2358.64	-20.24	4.05	-1.89	25.92
2008-01-14T18:54:18	4153.72	-2346.67	-20.87	4.10	-1.90	26.08
2008-01-14T18:54:20	4148.43	-2334.70	-21.51	4.15	-1.92	26.24
2008-01-14T18:54:22	4143.14	-2322.73	-22.14	4.19	-1.94	26.41
2008-01-14T18:54:24	4137.85	-2310.76	-22.77	4.24	-1.95	26.57
2008-01-14T18:54:26	4132.55	-2298.79	-23.41	4.29	-1.97	26.73
2008-01-14T18:54:28	4127.25	-2286.81	-24.05	4.34	-1.98	26.90
