Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-01-14T18:52:14	4475.69	-3085.05	18.50	3.62	-2.50	16.63
2008-01-14T18:52:16	4470.58	-3073.19	17.87	3.66	-2.52	16.72
2008-01-14T18:52:18	4465.44	-3061.29	17.23	3.70	-2.54	16.82
2008-01-14T18:52:20	4460.35	-3049.48	16.60	3.74	-2.55	16.92
2008-01-14T18:52:22	4455.23	-3037.62	15.96	3.78	-2.57	17.02
2008-01-14T18:52:24	4450.11	-3025.75	15.33	3.81	-2.59	17.12
2008-01-14T18:52:26	4444.99	-3013.89	14.69	3.85	-2.61	17.22
2008-01-14T18:52:28	4439.86	-3002.03	14.06	3.89	-2.63	17.32
2008-01-14T18:52:30	4434.73	-2990.16	13.42	3.93	-2.65	17.42
2008-01-14T18:52:32	4429.60	-2978.29	12.79	3.97	-2.67	17.53
2008-01-14T18:52:34	4424.47	-2966.42	12.15	4.02	-2.69	17.63
2008-01-14T18:52:36	4419.33	-2954.55	11.52	4.06	-2.71	17.73
2008-01-14T18:52:38	4414.19	-2942.67	10.88	4.10	-2.73	17.84
2008-01-14T18:52:40	4409.05	-2930.80	10.25	4.14	-2.75	17.94
2008-01-14T18:52:42	4403.91	-2918.92	9.61	4.19	-2.77	18.05
2008-01-14T18:52:44	4398.76	-2907.04	8.98	4.23	-2.79	18.16
2008-01-14T18:52:46	4393.62	-2895.16	8.34	4.27	-2.82	18.26
2008-01-14T18:52:48	4388.46	-2883.28	7.71	4.32	-2.84	18.37
2008-01-14T18:52:50	4383.31	-2871.39	7.07	4.36	-2.86	18.48
2008-01-14T18:52:52	4378.15	-2859.51	6.44	4.41	-2.88	18.59
2008-01-14T18:52:54	4372.99	-2847.62	5.80	4.46	-2.90	18.70
2008-01-14T18:52:56	4367.83	-2835.73	5.17	4.50	-2.92	18.81
2008-01-14T18:52:58	4362.67	-2823.84	4.53	4.55	-2.94	18.93
2008-01-14T18:53:00	4357.50	-2811.95	3.90	4.60	-2.97	19.04
2008-01-14T18:53:02	4352.33	-2800.05	3.26	4.65	-2.99	19.15
2008-01-14T18:53:04	4347.16	-2788.15	2.63	4.69	-3.01	19.27
2008-01-14T18:53:06	4341.98	-2776.26	1.99	4.74	-3.03	19.39
2008-01-14T18:53:08	4336.80	-2764.35	1.36	4.79	-3.06	19.50
2008-01-14T18:53:10	4331.62	-2752.45	0.72	4.84	-3.08	19.62
2008-01-14T18:53:12	4326.44	-2740.55	0.09	4.90	-3.10	19.74
2008-01-14T18:53:14	4321.25	-2728.64	-0.55	4.95	-3.12	19.86
2008-01-14T18:53:16	4316.06	-2716.74	-1.19	5.00	-3.15	19.98
2008-01-14T18:53:18	4310.87	-2704.83	-1.82	5.05	-3.17	20.10
2008-01-14T18:53:20	4305.68	-2692.91	-2.45	5.11	-3.19	20.22
2008-01-14T18:53:22	4300.48	-2681.00	-3.09	5.16	-3.22	20.34
2008-01-14T18:53:24	4295.28	-2669.08	-3.73	5.22	-3.24	20.47
2008-01-14T18:53:26	4290.08	-2657.17	-4.36	5.27	-3.27	20.59
2008-01-14T18:53:28	4284.87	-2645.25	-4.99	5.33	-3.29	20.72
2008-01-14T18:53:30	4279.66	-2633.33	-5.63	5.38	-3.31	20.84
2008-01-14T18:53:32	4274.45	-2621.41	-6.27	5.44	-3.34	20.97
2008-01-14T18:53:34	4269.23	-2609.48	-6.90	5.50	-3.36	21.10
2008-01-14T18:53:36	4264.01	-2597.56	-7.54	5.56	-3.39	21.23
2008-01-14T18:53:38	4258.79	-2585.63	-8.17	5.62	-3.41	21.36
2008-01-14T18:53:40	4253.57	-2573.70	-8.81	5.68	-3.44	21.49
2008-01-14T18:53:42	4248.34	-2561.77	-9.44	5.74	-3.46	21.62
2008-01-14T18:53:44	4243.11	-2549.83	-10.08	5.80	-3.49	21.75
2008-01-14T18:53:46	4237.88	-2537.90	-10.71	5.86	-3.51	21.88
2008-01-14T18:53:48	4232.64	-2525.96	-11.35	5.93	-3.54	22.02
2008-01-14T18:53:50	4227.40	-2514.02	-11.98	5.99	-3.56	22.16
2008-01-14T18:53:52	4222.16	-2502.08	-12.62	6.06	-3.59	22.29
2008-01-14T18:53:54	4216.92	-2490.13	-13.25	6.12	-3.61	22.43
2008-01-14T18:53:56	4211.67	-2478.19	-13.89	6.19	-3.64	22.57
2008-01-14T18:53:58	4206.42	-2466.24	-14.52	6.25	-3.67	22.71
2008-01-14T18:54:00	4201.16	-2454.30	-15.16	6.32	-3.69	22.85
2008-01-14T18:54:02	4195.90	-2442.34	-15.79	6.39	-3.72	22.99
2008-01-14T18:54:04	4190.64	-2430.39	-16.43	6.46	-3.75	23.13
2008-01-14T18:54:06	4185.38	-2418.44	-17.06	6.53	-3.77	23.28
2008-01-14T18:54:08	4180.11	-2406.48	-17.70	6.60	-3.80	23.42
2008-01-14T18:54:10	4174.84	-2394.52	-18.33	6.67	-3.83	23.57
2008-01-14T18:54:12	4169.56	-2382.56	-18.97	6.75	-3.85	23.71
2008-01-14T18:54:14	4164.29	-2370.60	-19.60	6.82	-3.88	23.86
2008-01-14T18:54:16	4159.01	-2358.64	-20.24	6.89	-3.91	24.01
2008-01-14T18:54:18	4153.72	-2346.67	-20.87	6.97	-3.94	24.16
2008-01-14T18:54:20	4148.43	-2334.70	-21.51	7.05	-3.97	24.31
2008-01-14T18:54:22	4143.14	-2322.73	-22.14	7.12	-3.99	24.46
2008-01-14T18:54:24	4137.85	-2310.76	-22.77	7.20	-4.02	24.62
2008-01-14T18:54:26	4132.55	-2298.79	-23.41	7.28	-4.05	24.77
2008-01-14T18:54:28	4127.25	-2286.81	-24.05	7.36	-4.08	24.93
2008-01-14T18:54:30	4121.95	-2274.83	-24.68	7.44	-4.11	25.08
2008-01-14T18:54:32	4116.64	-2262.85	-25.32	7.52	-4.13	25.24
2008-01-14T18:54:34	4111.33	-2250.87	-25.95	7.60	-4.16	25.40
2008-01-14T18:54:36	4106.01	-2238.89	-26.58	7.69	-4.19	25.56
2008-01-14T18:54:38	4100.70	-2226.91	-27.22	7.77	-4.22	25.72
2008-01-14T18:54:40	4095.37	-2214.92	-27.86	7.86	-4.25	25.89
2008-01-14T18:54:42	4090.05	-2202.93	-28.49	7.95	-4.28	26.05
2008-01-14T18:54:44	4084.72	-2190.94	-29.12	8.03	-4.31	26.21
2008-01-14T18:54:46	4079.39	-2178.94	-29.76	8.12	-4.34	26.38
2008-01-14T18:54:48	4074.05	-2166.95	-30.39	8.21	-4.37	26.55
2008-01-14T18:54:50	4068.71	-2154.95	-31.03	8.30	-4.40	26.72
2008-01-14T18:54:52	4063.37	-2142.95	-31.66	8.40	-4.43	26.89
2008-01-14T18:54:54	4058.03	-2130.95	-32.30	8.49	-4.46	27.06
