Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	36.95	-6.85	-3.66
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	37.52	-6.97	-3.77
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	38.06	-7.08	-3.81
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	38.59	-7.17	-3.79
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	39.42	-7.62	-3.97
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	40.32	-8.16	-3.96
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	41.02	-8.52	-3.86
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	41.50	-8.70	-3.66
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	41.77	-8.69	-3.36
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	41.83	-8.50	-2.95
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	42.15	-8.30	-2.57
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	43.41	-8.39	-2.38
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	44.83	-8.47	-2.32
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	46.32	-8.58	-2.46
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	47.57	-8.61	-2.58
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	48.58	-8.58	-2.67
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	49.69	-8.60	-3.21
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	51.29	-8.69	-4.18
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	53.08	-8.71	-4.96
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	55.05	-8.67	-5.55
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	57.20	-8.56	-5.94
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	59.23	-8.45	-6.27
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	60.31	-8.45	-6.30
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	60.83	-8.72	-5.98
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	61.43	-9.17	-5.47
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	62.08	-9.79	-4.77
2008-10-06T08:27:40	4836.71	-1845.01	-50.89	62.80	-10.61	-3.87
2008-10-06T08:27:42	4829.91	-1835.22	-51.20	63.58	-11.60	-2.77
2008-10-06T08:27:44	4823.10	-1825.43	-51.51	63.90	-11.76	-2.47
2008-10-06T08:27:46	4816.29	-1815.64	-51.82	63.99	-11.34	-3.03
2008-10-06T08:27:48	4809.48	-1805.84	-52.13	64.06	-10.80	-3.88
2008-10-06T08:27:50	4802.66	-1796.05	-52.44	64.24	-10.26	-4.67
2008-10-06T08:27:52	4795.84	-1786.25	-52.75	64.53	-9.72	-5.41
2008-10-06T08:27:54	4789.02	-1776.45	-53.06	64.93	-9.17	-6.08
2008-10-06T08:27:56	4782.19	-1766.66	-53.37	65.04	-8.66	-6.85
2008-10-06T08:27:58	4775.37	-1756.86	-53.68	65.26	-8.05	-7.61
2008-10-06T08:28:00	4768.53	-1747.05	-53.99	65.63	-7.32	-8.35
2008-10-06T08:28:02	4761.70	-1737.25	-54.30	66.11	-6.62	-9.00
2008-10-06T08:28:04	4754.86	-1727.45	-54.61	66.47	-6.44	-9.22
2008-10-06T08:28:06	4748.02	-1717.64	-54.92	66.74	-6.36	-9.12
2008-10-06T08:28:08	4741.17	-1707.84	-55.23	66.56	-6.38	-8.50
2008-10-06T08:28:10	4734.32	-1698.03	-55.54	66.21	-6.34	-8.04
2008-10-06T08:28:12	4727.47	-1688.22	-55.85	65.67	-6.23	-7.74
2008-10-06T08:28:14	4720.62	-1678.41	-56.16	64.95	-6.05	-7.61
2008-10-06T08:28:16	4713.76	-1668.60	-56.47	64.03	-5.80	-7.63
2008-10-06T08:28:18	4706.90	-1658.79	-56.78	63.12	-5.61	-7.66
2008-10-06T08:28:20	4700.04	-1648.98	-57.09	63.42	-6.28	-6.99
2008-10-06T08:28:22	4693.17	-1639.16	-57.40	63.79	-6.92	-6.40
2008-10-06T08:28:24	4686.30	-1629.35	-57.71	64.14	-7.41	-5.95
2008-10-06T08:28:26	4679.42	-1619.53	-58.02	64.48	-7.77	-5.66
2008-10-06T08:28:28	4672.54	-1609.71	-58.33	64.78	-7.98	-5.51
2008-10-06T08:28:30	4665.66	-1599.89	-58.64	65.22	-8.32	-5.50
2008-10-06T08:28:32	4658.78	-1590.07	-58.95	65.90	-9.03	-5.55
2008-10-06T08:28:34	4651.89	-1580.25	-59.26	66.64	-9.82	-5.69
2008-10-06T08:28:36	4645.00	-1570.43	-59.57	67.44	-10.64	-5.88
2008-10-06T08:28:38	4638.11	-1560.60	-59.88	68.26	-11.36	-6.25
2008-10-06T08:28:40	4631.21	-1550.78	-60.19	69.10	-11.98	-6.87
2008-10-06T08:28:42	4624.31	-1540.95	-60.49	69.47	-11.85	-7.16
2008-10-06T08:28:44	4617.40	-1531.12	-60.80	69.69	-11.32	-7.15
2008-10-06T08:28:46	4610.49	-1521.30	-61.11	70.05	-10.83	-7.15
2008-10-06T08:28:48	4603.58	-1511.47	-61.42	70.55	-10.36	-7.17
2008-10-06T08:28:50	4596.66	-1501.63	-61.73	71.18	-9.93	-7.19
2008-10-06T08:28:52	4589.74	-1491.80	-62.04	71.80	-9.58	-7.18
2008-10-06T08:28:54	4582.82	-1481.97	-62.35	71.93	-10.01	-7.30
2008-10-06T08:28:56	4575.90	-1472.13	-62.65	71.87	-10.46	-7.43
2008-10-06T08:28:58	4568.97	-1462.30	-62.96	71.63	-10.77	-7.52
2008-10-06T08:29:00	4562.03	-1452.46	-63.27	71.23	-10.94	-7.57
2008-10-06T08:29:02	4555.09	-1442.62	-63.58	70.65	-10.99	-7.57
2008-10-06T08:29:04	4548.15	-1432.78	-63.89	69.91	-10.89	-7.54
2008-10-06T08:29:06	4541.21	-1422.94	-64.20	70.37	-10.92	-8.31
2008-10-06T08:29:08	4534.26	-1413.10	-64.51	70.84	-10.96	-9.15
2008-10-06T08:29:10	4527.31	-1403.26	-64.82	72.36	-10.76	-10.10
2008-10-06T08:29:12	4520.35	-1393.41	-65.12	73.78	-10.47	-10.93
2008-10-06T08:29:14	4513.39	-1383.57	-65.43	75.12	-10.09	-11.65
2008-10-06T08:29:16	4506.43	-1373.72	-65.74	76.42	-9.59	-12.12
2008-10-06T08:29:18	4499.46	-1363.87	-66.05	77.86	-8.92	-11.90
2008-10-06T08:29:20	4492.50	-1354.02	-66.36	79.16	-8.25	-11.61
2008-10-06T08:29:22	4485.52	-1344.17	-66.67	80.30	-7.59	-11.24
2008-10-06T08:29:24	4478.54	-1334.32	-66.97	81.30	-6.92	-10.82
2008-10-06T08:29:26	4471.56	-1324.47	-67.28	81.96	-6.28	-10.46
2008-10-06T08:29:28	4464.58	-1314.61	-67.59	82.37	-5.69	-10.01
2008-10-06T08:29:30	4457.58	-1304.76	-67.90	82.51	-5.16	-9.27
2008-10-06T08:29:32	4450.59	-1294.90	-68.21	82.72	-4.61	-8.51
2008-10-06T08:29:34	4443.59	-1285.04	-68.51	82.99	-4.04	-7.72
2008-10-06T08:29:36	4436.59	-1275.19	-68.82	83.32	-3.45	-6.92
2008-10-06T08:29:38	4429.59	-1265.33	-69.13	83.72	-2.85	-6.10
2008-10-06T08:29:40	4422.58	-1255.47	-69.44	83.85	-2.36	-5.45
2008-10-06T08:29:42	4415.57	-1245.60	-69.74	83.52	-2.00	-4.92
2008-10-06T08:29:44	4408.55	-1235.74	-70.05	83.14	-1.67	-4.39
2008-10-06T08:29:46	4401.53	-1225.88	-70.36	82.80	-1.35	-3.89
2008-10-06T08:29:48	4394.50	-1216.01	-70.66	82.47	-1.05	-3.40
2008-10-06T08:29:50	4387.47	-1206.14	-70.97	82.18	-0.76	-2.94
2008-10-06T08:29:52	4380.44	-1196.28	-71.28	81.96	-0.50	-2.85
2008-10-06T08:29:54	4373.40	-1186.41	-71.59	81.65	-0.30	-2.86
2008-10-06T08:29:56	4366.36	-1176.54	-71.89	81.24	-0.16	-2.88
2008-10-06T08:29:58	4359.32	-1166.66	-72.20	80.77	-0.08	-2.90
2008-10-06T08:30:00	4352.26	-1156.79	-72.51	80.31	-0.02	-2.90
2008-10-06T08:30:02	4345.21	-1146.92	-72.81	79.87	0.04	-2.88
2008-10-06T08:30:04	4338.15	-1137.04	-73.12	79.79	-0.28	-2.98
2008-10-06T08:30:06	4331.09	-1127.17	-73.43	79.73	-0.61	-3.07
2008-10-06T08:30:08	4324.02	-1117.29	-73.73	79.68	-0.94	-3.13
2008-10-06T08:30:10	4316.95	-1107.41	-74.04	79.64	-1.27	-3.17
2008-10-06T08:30:12	4309.88	-1097.53	-74.35	79.62	-1.60	-3.20
2008-10-06T08:30:14	4302.80	-1087.65	-74.65	79.63	-1.84	-3.13
2008-10-06T08:30:16	4295.72	-1077.77	-74.96	79.78	-1.80	-2.74
2008-10-06T08:30:18	4288.63	-1067.89	-75.27	79.94	-1.75	-2.36
2008-10-06T08:30:20	4281.54	-1058.00	-75.57	80.10	-1.70	-1.98
2008-10-06T08:30:22	4274.44	-1048.12	-75.88	80.26	-1.66	-1.61
2008-10-06T08:30:24	4267.34	-1038.23	-76.18	80.43	-1.61	-1.25
2008-10-06T08:30:26	4260.23	-1028.35	-76.49	80.52	-1.53	-0.93
2008-10-06T08:30:28	4253.12	-1018.46	-76.80	80.48	-1.41	-0.68
2008-10-06T08:30:30	4246.01	-1008.57	-77.10	80.46	-1.30	-0.43
2008-10-06T08:30:32	4238.89	-998.68	-77.41	80.46	-1.20	-0.15
2008-10-06T08:30:34	4231.77	-988.79	-77.71	80.46	-1.11	0.12
2008-10-06T08:30:36	4224.64	-978.89	-78.02	80.46	-1.04	0.39
2008-10-06T08:30:38	4217.51	-969.00	-78.32	80.49	-0.99	0.71
2008-10-06T08:30:40	4210.37	-959.11	-78.63	80.54	-0.93	1.04
2008-10-06T08:30:42	4203.23	-949.21	-78.93	80.59	-0.86	1.36
2008-10-06T08:30:44	4196.09	-939.31	-79.24	80.65	-0.79	1.67
2008-10-06T08:30:46	4188.93	-929.41	-79.54	80.72	-0.71	1.96
2008-10-06T08:30:48	4181.78	-919.51	-79.85	80.81	-0.63	2.25
2008-10-06T08:30:50	4174.62	-909.61	-80.15	80.82	-0.65	2.54
2008-10-06T08:30:52	4167.45	-899.71	-80.46	80.81	-0.68	2.83
2008-10-06T08:30:54	4160.29	-889.81	-80.76	80.78	-0.71	3.12
2008-10-06T08:30:56	4153.11	-879.91	-81.07	80.75	-0.72	3.41
2008-10-06T08:30:58	4145.93	-870.00	-81.37	80.71	-0.72	3.70
2008-10-06T08:31:00	4138.75	-860.10	-81.68	80.66	-0.71	3.99
2008-10-06T08:31:02	4131.56	-850.19	-81.98	80.70	-0.74	4.17
2008-10-06T08:31:04	4124.37	-840.28	-82.29	80.73	-0.79	4.36
2008-10-06T08:31:06	4117.17	-830.38	-82.59	80.75	-0.83	4.55
2008-10-06T08:31:08	4109.97	-820.47	-82.89	80.78	-0.88	4.75
2008-10-06T08:31:10	4102.76	-810.56	-83.20	80.80	-0.94	4.95
