Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	11.32	34.24	9.85
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	11.22	34.55	10.72
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	11.09	34.73	11.57
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	10.93	34.78	12.40
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	10.63	34.42	12.99
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	10.43	34.28	13.26
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	10.24	34.06	13.58
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	10.06	33.75	13.96
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	9.90	33.37	14.40
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	9.77	32.91	14.90
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	9.52	32.34	15.31
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	8.94	31.78	15.44
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	8.31	31.44	15.61
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	7.69	31.19	15.81
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	7.11	30.99	16.19
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	6.57	30.84	16.73
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	6.05	30.55	17.22
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	5.42	30.14	17.53
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	4.68	29.81	17.86
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	3.82	29.58	18.23
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	2.86	29.45	18.62
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	2.23	29.05	18.72
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	2.08	28.52	18.82
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	2.13	27.88	18.91
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	2.04	27.22	19.03
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	1.80	26.52	19.20
2008-10-06T08:27:40	4836.71	-1845.01	-50.89	1.42	25.80	19.40
2008-10-06T08:27:42	4829.91	-1835.22	-51.20	0.88	25.05	19.66
2008-10-06T08:27:44	4823.10	-1825.43	-51.51	0.71	24.76	20.17
2008-10-06T08:27:46	4816.29	-1815.64	-51.82	0.92	24.71	20.62
2008-10-06T08:27:48	4809.48	-1805.84	-52.13	1.30	24.72	21.04
2008-10-06T08:27:50	4802.66	-1796.05	-52.44	1.73	24.81	21.53
2008-10-06T08:27:52	4795.84	-1786.25	-52.75	2.19	24.99	22.10
2008-10-06T08:27:54	4789.02	-1776.45	-53.06	2.70	25.25	22.74
2008-10-06T08:27:56	4782.19	-1766.66	-53.37	2.65	25.18	23.51
2008-10-06T08:27:58	4775.37	-1756.86	-53.68	2.42	25.12	24.33
2008-10-06T08:28:00	4768.53	-1747.05	-53.99	2.05	25.11	25.20
2008-10-06T08:28:02	4761.70	-1737.25	-54.30	1.52	25.02	25.95
2008-10-06T08:28:04	4754.86	-1727.45	-54.61	0.88	24.53	26.21
2008-10-06T08:28:06	4748.02	-1717.64	-54.92	0.24	23.97	26.50
2008-10-06T08:28:08	4741.17	-1707.84	-55.23	-0.77	23.36	26.59
2008-10-06T08:28:10	4734.32	-1698.03	-55.54	-1.87	22.78	26.78
2008-10-06T08:28:12	4727.47	-1688.22	-55.85	-3.05	22.24	27.08
2008-10-06T08:28:14	4720.62	-1678.41	-56.16	-4.33	21.72	27.48
2008-10-06T08:28:16	4713.76	-1668.60	-56.47	-5.69	21.23	27.99
2008-10-06T08:28:18	4706.90	-1658.79	-56.78	-6.92	20.77	28.54
2008-10-06T08:28:20	4700.04	-1648.98	-57.09	-6.95	20.60	28.54
2008-10-06T08:28:22	4693.17	-1639.16	-57.40	-6.92	20.67	28.57
2008-10-06T08:28:24	4686.30	-1629.35	-57.71	-6.91	20.95	28.70
2008-10-06T08:28:26	4679.42	-1619.53	-58.02	-6.93	21.45	28.92
2008-10-06T08:28:28	4672.54	-1609.71	-58.33	-6.98	22.16	29.25
2008-10-06T08:28:30	4665.66	-1599.89	-58.64	-7.05	22.65	29.47
2008-10-06T08:28:32	4658.78	-1590.07	-58.95	-7.15	22.60	29.43
2008-10-06T08:28:34	4651.89	-1580.25	-59.26	-7.27	22.51	29.33
2008-10-06T08:28:36	4645.00	-1570.43	-59.57	-7.57	22.26	29.32
2008-10-06T08:28:38	4638.11	-1560.60	-59.88	-7.97	21.94	29.45
2008-10-06T08:28:40	4631.21	-1550.78	-60.19	-8.34	21.68	29.62
2008-10-06T08:28:42	4624.31	-1540.95	-60.49	-8.63	21.62	30.02
2008-10-06T08:28:44	4617.40	-1531.12	-60.80	-8.81	21.65	30.49
2008-10-06T08:28:46	4610.49	-1521.30	-61.11	-8.93	21.69	30.91
2008-10-06T08:28:48	4603.58	-1511.47	-61.42	-8.96	21.73	31.27
2008-10-06T08:28:50	4596.66	-1501.63	-61.73	-8.93	21.77	31.58
2008-10-06T08:28:52	4589.74	-1491.80	-62.04	-8.88	21.82	31.82
2008-10-06T08:28:54	4582.82	-1481.97	-62.35	-9.35	21.60	32.23
2008-10-06T08:28:56	4575.90	-1472.13	-62.65	-9.94	21.25	32.73
2008-10-06T08:28:58	4568.97	-1462.30	-62.96	-10.56	20.85	33.26
2008-10-06T08:29:00	4562.03	-1452.46	-63.27	-11.20	20.39	33.83
2008-10-06T08:29:02	4555.09	-1442.62	-63.58	-11.86	19.89	34.41
2008-10-06T08:29:04	4548.15	-1432.78	-63.89	-12.55	19.33	35.02
2008-10-06T08:29:06	4541.21	-1422.94	-64.20	-13.05	19.67	35.44
2008-10-06T08:29:08	4534.26	-1413.10	-64.51	-13.39	19.96	35.82
2008-10-06T08:29:10	4527.31	-1403.26	-64.82	-13.38	20.77	36.05
2008-10-06T08:29:12	4520.35	-1393.41	-65.12	-13.40	21.53	36.32
2008-10-06T08:29:14	4513.39	-1383.57	-65.43	-13.44	22.24	36.64
2008-10-06T08:29:16	4506.43	-1373.72	-65.74	-13.61	22.80	36.97
2008-10-06T08:29:18	4499.46	-1363.87	-66.05	-14.25	22.71	37.13
2008-10-06T08:29:20	4492.50	-1354.02	-66.36	-14.80	22.46	37.34
2008-10-06T08:29:22	4485.52	-1344.17	-66.67	-15.26	22.05	37.60
2008-10-06T08:29:24	4478.54	-1334.32	-66.97	-15.61	21.49	37.92
2008-10-06T08:29:26	4471.56	-1324.47	-67.28	-16.27	21.11	38.40
2008-10-06T08:29:28	4464.58	-1314.61	-67.59	-16.92	21.30	39.12
2008-10-06T08:29:30	4457.58	-1304.76	-67.90	-17.40	21.90	40.03
2008-10-06T08:29:32	4450.59	-1294.90	-68.21	-17.76	22.43	40.91
2008-10-06T08:29:34	4443.59	-1285.04	-68.51	-18.02	22.88	41.74
2008-10-06T08:29:36	4436.59	-1275.19	-68.82	-18.15	23.27	42.53
2008-10-06T08:29:38	4429.59	-1265.33	-69.13	-18.17	23.59	43.27
2008-10-06T08:29:40	4422.58	-1255.47	-69.44	-18.04	23.78	43.83
2008-10-06T08:29:42	4415.57	-1245.60	-69.74	-17.93	23.68	43.94
2008-10-06T08:29:44	4408.55	-1235.74	-70.05	-17.85	23.53	43.90
2008-10-06T08:29:46	4401.53	-1225.88	-70.36	-17.77	23.44	43.91
2008-10-06T08:29:48	4394.50	-1216.01	-70.66	-17.67	23.39	43.98
2008-10-06T08:29:50	4387.47	-1206.14	-70.97	-17.57	23.38	44.09
2008-10-06T08:29:52	4380.44	-1196.28	-71.28	-17.51	23.39	43.67
2008-10-06T08:29:54	4373.40	-1186.41	-71.59	-17.53	23.41	43.11
2008-10-06T08:29:56	4366.36	-1176.54	-71.89	-17.62	23.48	42.56
2008-10-06T08:29:58	4359.32	-1166.66	-72.20	-17.60	23.55	41.94
2008-10-06T08:30:00	4352.26	-1156.79	-72.51	-17.37	23.65	41.31
2008-10-06T08:30:02	4345.21	-1146.92	-72.81	-17.06	23.80	40.74
2008-10-06T08:30:04	4338.15	-1137.04	-73.12	-17.07	24.15	40.71
2008-10-06T08:30:06	4331.09	-1127.17	-73.43	-17.15	24.47	40.71
2008-10-06T08:30:08	4324.02	-1117.29	-73.73	-17.31	24.76	40.72
2008-10-06T08:30:10	4316.95	-1107.41	-74.04	-17.53	25.01	40.76
2008-10-06T08:30:12	4309.88	-1097.53	-74.35	-17.83	25.24	40.81
2008-10-06T08:30:14	4302.80	-1087.65	-74.65	-18.13	25.19	40.95
2008-10-06T08:30:16	4295.72	-1077.77	-74.96	-18.24	24.79	41.50
2008-10-06T08:30:18	4288.63	-1067.89	-75.27	-18.38	24.48	42.03
2008-10-06T08:30:20	4281.54	-1058.00	-75.57	-18.53	24.25	42.54
2008-10-06T08:30:22	4274.44	-1048.12	-75.88	-18.70	24.12	43.02
2008-10-06T08:30:24	4267.34	-1038.23	-76.18	-18.88	24.07	43.49
2008-10-06T08:30:26	4260.23	-1028.35	-76.49	-19.10	24.04	43.62
2008-10-06T08:30:28	4253.12	-1018.46	-76.80	-19.43	23.97	43.29
2008-10-06T08:30:30	4246.01	-1008.57	-77.10	-19.82	23.96	43.08
2008-10-06T08:30:32	4238.89	-998.68	-77.41	-20.12	24.01	43.08
2008-10-06T08:30:34	4231.77	-988.79	-77.71	-20.41	24.08	43.14
2008-10-06T08:30:36	4224.64	-978.89	-78.02	-20.68	24.19	43.27
2008-10-06T08:30:38	4217.51	-969.00	-78.32	-20.85	24.19	43.20
2008-10-06T08:30:40	4210.37	-959.11	-78.63	-20.97	24.07	42.98
2008-10-06T08:30:42	4203.23	-949.21	-78.93	-21.13	23.90	42.77
2008-10-06T08:30:44	4196.09	-939.31	-79.24	-21.32	23.66	42.57
2008-10-06T08:30:46	4188.93	-929.41	-79.54	-21.44	23.38	42.52
2008-10-06T08:30:48	4181.78	-919.51	-79.85	-21.37	23.14	42.92
2008-10-06T08:30:50	4174.62	-909.61	-80.15	-20.57	23.44	43.60
2008-10-06T08:30:52	4167.45	-899.71	-80.46	-19.84	23.84	44.25
2008-10-06T08:30:54	4160.29	-889.81	-80.76	-19.32	24.23	44.81
2008-10-06T08:30:56	4153.11	-879.91	-81.07	-19.00	24.61	45.30
2008-10-06T08:30:58	4145.93	-870.00	-81.37	-18.88	24.98	45.70
2008-10-06T08:31:00	4138.75	-860.10	-81.68	-18.97	25.30	45.97
2008-10-06T08:31:02	4131.56	-850.19	-81.98	-19.14	24.81	45.14
2008-10-06T08:31:04	4124.37	-840.28	-82.29	-19.19	24.16	44.13
2008-10-06T08:31:06	4117.17	-830.38	-82.59	-19.16	23.55	43.32
2008-10-06T08:31:08	4109.97	-820.47	-82.89	-19.05	22.98	42.73
2008-10-06T08:31:10	4102.76	-810.56	-83.20	-18.86	22.45	42.34
