Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	-13.69	1.60	1.06
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	-13.73	1.76	1.13
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	-13.82	1.93	1.16
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	-13.96	2.11	1.17
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	-14.00	2.06	1.06
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	-14.28	1.73	0.86
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	-14.68	1.44	0.68
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	-15.19	1.18	0.53
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	-15.82	0.96	0.41
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	-16.56	0.76	0.32
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	-17.18	0.66	0.23
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	-17.30	0.75	0.10
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	-17.39	0.90	0.04
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	-17.47	1.09	0.08
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	-17.57	1.28	0.16
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	-17.68	1.47	0.29
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	-17.60	1.55	0.51
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	-17.31	1.50	0.75
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	-17.06	1.42	0.92
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	-16.83	1.34	1.02
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	-16.63	1.24	1.05
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	-16.47	1.01	0.87
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	-16.33	0.83	0.55
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	-16.16	0.69	0.20
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	-15.99	0.55	-0.10
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	-15.80	0.42	-0.35
2008-10-06T08:27:40	4836.71	-1845.01	-50.89	-15.59	0.27	-0.56
2008-10-06T08:27:42	4829.91	-1835.22	-51.20	-15.36	0.13	-0.72
2008-10-06T08:27:44	4823.10	-1825.43	-51.51	-14.36	-0.13	-0.79
2008-10-06T08:27:46	4816.29	-1815.64	-51.82	-12.96	-0.36	-0.87
2008-10-06T08:27:48	4809.48	-1805.84	-52.13	-11.45	-0.54	-0.98
2008-10-06T08:27:50	4802.66	-1796.05	-52.44	-9.95	-0.70	-1.12
2008-10-06T08:27:52	4795.84	-1786.25	-52.75	-8.46	-0.83	-1.30
2008-10-06T08:27:54	4789.02	-1776.45	-53.06	-6.98	-0.94	-1.51
2008-10-06T08:27:56	4782.19	-1766.66	-53.37	-5.38	-1.12	-1.87
2008-10-06T08:27:58	4775.37	-1756.86	-53.68	-3.82	-1.30	-2.20
2008-10-06T08:28:00	4768.53	-1747.05	-53.99	-2.32	-1.46	-2.50
2008-10-06T08:28:02	4761.70	-1737.25	-54.30	-0.84	-1.61	-2.76
2008-10-06T08:28:04	4754.86	-1727.45	-54.61	0.78	-1.79	-2.97
2008-10-06T08:28:06	4748.02	-1717.64	-54.92	2.56	-1.98	-3.17
2008-10-06T08:28:08	4741.17	-1707.84	-55.23	5.43	-2.30	-3.23
2008-10-06T08:28:10	4734.32	-1698.03	-55.54	8.21	-2.57	-3.24
2008-10-06T08:28:12	4727.47	-1688.22	-55.85	10.90	-2.80	-3.19
2008-10-06T08:28:14	4720.62	-1678.41	-56.16	13.51	-2.98	-3.08
2008-10-06T08:28:16	4713.76	-1668.60	-56.47	16.02	-3.11	-2.91
2008-10-06T08:28:18	4706.90	-1658.79	-56.78	18.46	-3.14	-2.74
2008-10-06T08:28:20	4700.04	-1648.98	-57.09	21.10	-3.23	-2.90
2008-10-06T08:28:22	4693.17	-1639.16	-57.40	23.72	-3.41	-3.10
2008-10-06T08:28:24	4686.30	-1629.35	-57.71	26.30	-3.65	-3.35
2008-10-06T08:28:26	4679.42	-1619.53	-58.02	28.84	-3.96	-3.62
2008-10-06T08:28:28	4672.54	-1609.71	-58.33	31.34	-4.33	-3.93
2008-10-06T08:28:30	4665.66	-1599.89	-58.64	33.85	-4.91	-4.08
2008-10-06T08:28:32	4658.78	-1590.07	-58.95	36.33	-5.73	-3.96
2008-10-06T08:28:34	4651.89	-1580.25	-59.26	38.68	-6.62	-3.79
2008-10-06T08:28:36	4645.00	-1570.43	-59.57	41.02	-7.22	-3.67
2008-10-06T08:28:38	4638.11	-1560.60	-59.88	43.50	-7.43	-3.66
2008-10-06T08:28:40	4631.21	-1550.78	-60.19	46.06	-7.46	-3.71
2008-10-06T08:28:42	4624.31	-1540.95	-60.49	48.46	-7.14	-3.79
2008-10-06T08:28:44	4617.40	-1531.12	-60.80	50.61	-6.74	-3.77
2008-10-06T08:28:46	4610.49	-1521.30	-61.11	52.62	-6.39	-3.64
2008-10-06T08:28:48	4603.58	-1511.47	-61.42	54.49	-6.11	-3.38
2008-10-06T08:28:50	4596.66	-1501.63	-61.73	56.22	-5.88	-3.01
2008-10-06T08:28:52	4589.74	-1491.80	-62.04	57.90	-5.74	-2.56
2008-10-06T08:28:54	4582.82	-1481.97	-62.35	60.04	-6.06	-2.42
2008-10-06T08:28:56	4575.90	-1472.13	-62.65	62.27	-6.49	-2.35
2008-10-06T08:28:58	4568.97	-1462.30	-62.96	64.51	-6.94	-2.28
2008-10-06T08:29:00	4562.03	-1452.46	-63.27	66.77	-7.42	-2.20
2008-10-06T08:29:02	4555.09	-1442.62	-63.58	69.05	-7.91	-2.12
2008-10-06T08:29:04	4548.15	-1432.78	-63.89	71.36	-8.42	-2.04
2008-10-06T08:29:06	4541.21	-1422.94	-64.20	73.34	-8.47	-2.79
2008-10-06T08:29:08	4534.26	-1413.10	-64.51	75.29	-8.54	-3.47
2008-10-06T08:29:10	4527.31	-1403.26	-64.82	76.92	-8.48	-4.55
2008-10-06T08:29:12	4520.35	-1393.41	-65.12	78.55	-8.51	-5.35
2008-10-06T08:29:14	4513.39	-1383.57	-65.43	80.19	-8.63	-5.88
2008-10-06T08:29:16	4506.43	-1373.72	-65.74	81.58	-8.70	-6.13
2008-10-06T08:29:18	4499.46	-1363.87	-66.05	81.77	-8.23	-6.24
2008-10-06T08:29:20	4492.50	-1354.02	-66.36	82.06	-7.80	-6.35
2008-10-06T08:29:22	4485.52	-1344.17	-66.67	82.43	-7.42	-6.45
2008-10-06T08:29:24	4478.54	-1334.32	-66.97	82.90	-7.07	-6.53
2008-10-06T08:29:26	4471.56	-1324.47	-67.28	83.64	-6.67	-6.73
