Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	80.99	-8.20	-2.30
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	81.04	-8.17	-2.29
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	81.07	-8.12	-2.28
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	81.11	-8.08	-2.26
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	81.15	-8.02	-2.26
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	81.23	-7.93	-2.24
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	81.32	-7.86	-2.22
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	81.41	-7.79	-2.20
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	81.51	-7.74	-2.19
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	81.62	-7.69	-2.17
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	81.72	-7.63	-2.17
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	81.83	-7.50	-2.20
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	81.94	-7.35	-2.23
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	82.06	-7.19	-2.25
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	82.19	-7.03	-2.27
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	82.32	-6.86	-2.29
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	82.43	-6.65	-2.27
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	82.48	-6.38	-2.20
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	82.53	-6.10	-2.12
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	82.57	-5.79	-2.03
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	82.61	-5.47	-1.93
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	82.65	-5.20	-1.81
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	82.78	-4.99	-1.62
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	82.95	-4.79	-1.37
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	83.09	-4.58	-1.10
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	83.20	-4.34	-0.81
2008-10-06T08:27:40	4836.71	-1845.01	-50.89	83.30	-4.10	-0.51
2008-10-06T08:27:42	4829.91	-1835.22	-51.20	83.36	-3.83	-0.18
2008-10-06T08:27:44	4823.10	-1825.43	-51.51	83.36	-3.62	0.34
2008-10-06T08:27:46	4816.29	-1815.64	-51.82	83.33	-3.48	0.95
2008-10-06T08:27:48	4809.48	-1805.84	-52.13	83.31	-3.39	1.56
2008-10-06T08:27:50	4802.66	-1796.05	-52.44	83.30	-3.31	2.18
2008-10-06T08:27:52	4795.84	-1786.25	-52.75	83.30	-3.24	2.81
2008-10-06T08:27:54	4789.02	-1776.45	-53.06	83.31	-3.18	3.44
2008-10-06T08:27:56	4782.19	-1766.66	-53.37	83.29	-3.15	3.52
2008-10-06T08:27:58	4775.37	-1756.86	-53.68	83.16	-3.09	3.50
2008-10-06T08:28:00	4768.53	-1747.05	-53.99	82.92	-3.01	3.44
2008-10-06T08:28:02	4761.70	-1737.25	-54.30	82.61	-2.91	3.30
2008-10-06T08:28:04	4754.86	-1727.45	-54.61	82.33	-2.88	2.98
2008-10-06T08:28:06	4748.02	-1717.64	-54.92	81.90	-2.85	2.55
2008-10-06T08:28:08	4741.17	-1707.84	-55.23	80.88	-2.79	1.61
2008-10-06T08:28:10	4734.32	-1698.03	-55.54	79.98	-2.64	0.76
2008-10-06T08:28:12	4727.47	-1688.22	-55.85	79.20	-2.40	0.02
2008-10-06T08:28:14	4720.62	-1678.41	-56.16	78.54	-2.08	-0.63
2008-10-06T08:28:16	4713.76	-1668.60	-56.47	77.99	-1.68	-1.16
2008-10-06T08:28:18	4706.90	-1658.79	-56.78	77.01	-1.23	-1.54
2008-10-06T08:28:20	4700.04	-1648.98	-57.09	74.11	-1.22	-1.93
2008-10-06T08:28:22	4693.17	-1639.16	-57.40	71.20	-1.38	-2.26
2008-10-06T08:28:24	4686.30	-1629.35	-57.71	68.35	-1.69	-2.49
2008-10-06T08:28:26	4679.42	-1619.53	-58.02	65.54	-2.13	-2.62
2008-10-06T08:28:28	4672.54	-1609.71	-58.33	62.78	-2.72	-2.65
2008-10-06T08:28:30	4665.66	-1599.89	-58.64	59.23	-3.30	-2.30
2008-10-06T08:28:32	4658.78	-1590.07	-58.95	54.62	-3.68	-1.55
2008-10-06T08:28:34	4651.89	-1580.25	-59.26	50.05	-4.00	-0.80
2008-10-06T08:28:36	4645.00	-1570.43	-59.57	45.78	-3.95	-0.33
2008-10-06T08:28:38	4638.11	-1560.60	-59.88	41.83	-3.70	-0.17
2008-10-06T08:28:40	4631.21	-1550.78	-60.19	38.03	-3.54	-0.12
2008-10-06T08:28:42	4624.31	-1540.95	-60.49	33.61	-3.45	0.02
2008-10-06T08:28:44	4617.40	-1531.12	-60.80	28.68	-3.31	0.38
2008-10-06T08:28:46	4610.49	-1521.30	-61.11	23.65	-3.12	0.88
2008-10-06T08:28:48	4603.58	-1511.47	-61.42	18.55	-2.86	1.53
2008-10-06T08:28:50	4596.66	-1501.63	-61.73	13.37	-2.55	2.30
2008-10-06T08:28:52	4589.74	-1491.80	-62.04	8.03	-2.21	3.20
2008-10-06T08:28:54	4582.82	-1481.97	-62.35	3.43	-1.98	4.07
2008-10-06T08:28:56	4575.90	-1472.13	-62.65	-0.83	-1.76	4.91
2008-10-06T08:28:58	4568.97	-1462.30	-62.96	-5.00	-1.53	5.74
2008-10-06T08:29:00	4562.03	-1452.46	-63.27	-9.07	-1.27	6.57
2008-10-06T08:29:02	4555.09	-1442.62	-63.58	-13.06	-1.00	7.39
2008-10-06T08:29:04	4548.15	-1432.78	-63.89	-16.94	-0.72	8.20
2008-10-06T08:29:06	4541.21	-1422.94	-64.20	-20.36	-0.68	9.21
2008-10-06T08:29:08	4534.26	-1413.10	-64.51	-23.81	-0.63	10.25
2008-10-06T08:29:10	4527.31	-1403.26	-64.82	-27.28	-0.67	11.32
2008-10-06T08:29:12	4520.35	-1393.41	-65.12	-30.70	-0.74	12.34
2008-10-06T08:29:14	4513.39	-1383.57	-65.43	-34.09	-0.85	13.31
2008-10-06T08:29:16	4506.43	-1373.72	-65.74	-37.37	-0.88	14.33
2008-10-06T08:29:18	4499.46	-1363.87	-66.05	-40.29	-0.34	15.77
2008-10-06T08:29:20	4492.50	-1354.02	-66.36	-43.09	0.25	17.27
2008-10-06T08:29:22	4485.52	-1344.17	-66.67	-45.76	0.88	18.82
2008-10-06T08:29:24	4478.54	-1334.32	-66.97	-48.29	1.55	20.41
