Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	62.14	-12.73	20.61
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	62.30	-12.71	20.78
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	62.42	-12.72	21.00
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	62.51	-12.75	21.28
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	62.57	-12.81	21.30
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	62.53	-12.88	21.16
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	62.49	-12.95	21.05
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	62.44	-13.02	20.99
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	62.39	-13.08	20.96
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	62.33	-13.14	20.97
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	62.30	-13.18	21.02
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	62.40	-13.17	21.11
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	62.48	-13.18	21.16
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	62.54	-13.22	21.18
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	62.62	-13.28	21.23
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	62.73	-13.34	21.31
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	62.80	-13.45	21.42
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	62.80	-13.58	21.55
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	62.81	-13.68	21.67
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	62.82	-13.75	21.80
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	62.85	-13.80	21.92
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	62.88	-13.95	22.02
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	62.92	-14.08	22.13
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	63.00	-14.19	22.26
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	63.08	-14.30	22.41
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	63.18	-14.40	22.58
2008-10-06T08:27:40	4836.71	-1845.01	-50.89	63.29	-14.51	22.77
2008-10-06T08:27:42	4829.91	-1835.22	-51.20	63.42	-14.62	22.98
2008-10-06T08:27:44	4823.10	-1825.43	-51.51	63.42	-14.74	23.18
2008-10-06T08:27:46	4816.29	-1815.64	-51.82	63.40	-14.81	23.34
2008-10-06T08:27:48	4809.48	-1805.84	-52.13	63.42	-14.87	23.48
2008-10-06T08:27:50	4802.66	-1796.05	-52.44	63.45	-14.96	23.61
2008-10-06T08:27:52	4795.84	-1786.25	-52.75	63.51	-15.07	23.74
2008-10-06T08:27:54	4789.02	-1776.45	-53.06	63.58	-15.21	23.87
2008-10-06T08:27:56	4782.19	-1766.66	-53.37	63.53	-15.24	23.98
2008-10-06T08:27:58	4775.37	-1756.86	-53.68	63.43	-15.23	24.10
2008-10-06T08:28:00	4768.53	-1747.05	-53.99	63.29	-15.19	24.25
2008-10-06T08:28:02	4761.70	-1737.25	-54.30	63.14	-15.12	24.42
2008-10-06T08:28:04	4754.86	-1727.45	-54.61	63.06	-15.05	24.61
2008-10-06T08:28:06	4748.02	-1717.64	-54.92	63.02	-15.03	24.77
2008-10-06T08:28:08	4741.17	-1707.84	-55.23	62.96	-15.09	24.75
2008-10-06T08:28:10	4734.32	-1698.03	-55.54	62.87	-15.17	24.73
2008-10-06T08:28:12	4727.47	-1688.22	-55.85	62.75	-15.26	24.70
2008-10-06T08:28:14	4720.62	-1678.41	-56.16	62.60	-15.35	24.67
2008-10-06T08:28:16	4713.76	-1668.60	-56.47	62.42	-15.45	24.63
2008-10-06T08:28:18	4706.90	-1658.79	-56.78	62.24	-15.55	24.62
2008-10-06T08:28:20	4700.04	-1648.98	-57.09	61.99	-15.57	24.72
2008-10-06T08:28:22	4693.17	-1639.16	-57.40	61.79	-15.58	24.85
2008-10-06T08:28:24	4686.30	-1629.35	-57.71	61.63	-15.59	24.99
