Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2008-10-06T08:26:48	5012.59	-2099.14	-42.81	3.59	-1.50	18.45
2008-10-06T08:26:50	5005.86	-2089.38	-43.12	3.62	-1.51	18.55
2008-10-06T08:26:52	4999.13	-2079.62	-43.43	3.66	-1.52	18.65
2008-10-06T08:26:54	4992.40	-2069.86	-43.75	3.69	-1.53	18.75
2008-10-06T08:26:56	4985.66	-2060.10	-44.06	3.72	-1.54	18.84
2008-10-06T08:26:58	4978.92	-2050.33	-44.37	3.75	-1.54	18.94
2008-10-06T08:27:00	4972.18	-2040.57	-44.68	3.78	-1.55	19.04
2008-10-06T08:27:02	4965.43	-2030.80	-44.99	3.82	-1.56	19.15
2008-10-06T08:27:04	4958.68	-2021.03	-45.30	3.85	-1.57	19.25
2008-10-06T08:27:06	4951.93	-2011.27	-45.61	3.88	-1.58	19.35
2008-10-06T08:27:08	4945.18	-2001.50	-45.92	3.92	-1.59	19.45
2008-10-06T08:27:10	4938.42	-1991.73	-46.23	3.95	-1.59	19.56
2008-10-06T08:27:12	4931.66	-1981.95	-46.54	3.99	-1.60	19.66
2008-10-06T08:27:14	4924.90	-1972.18	-46.85	4.02	-1.61	19.77
2008-10-06T08:27:16	4918.13	-1962.40	-47.17	4.05	-1.62	19.87
2008-10-06T08:27:18	4911.36	-1952.63	-47.48	4.09	-1.63	19.98
2008-10-06T08:27:20	4904.59	-1942.85	-47.78	4.13	-1.63	20.08
2008-10-06T08:27:22	4897.82	-1933.07	-48.09	4.16	-1.64	20.19
2008-10-06T08:27:24	4891.04	-1923.29	-48.41	4.20	-1.65	20.30
2008-10-06T08:27:26	4884.26	-1913.51	-48.72	4.24	-1.66	20.41
2008-10-06T08:27:28	4877.47	-1903.73	-49.03	4.27	-1.67	20.52
2008-10-06T08:27:30	4870.69	-1893.95	-49.34	4.31	-1.68	20.63
2008-10-06T08:27:32	4863.90	-1884.16	-49.65	4.35	-1.68	20.74
2008-10-06T08:27:34	4857.11	-1874.38	-49.96	4.39	-1.69	20.85
2008-10-06T08:27:36	4850.31	-1864.59	-50.27	4.43	-1.70	20.97
2008-10-06T08:27:38	4843.51	-1854.80	-50.58	4.46	-1.71	21.08
