AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	3939.99	0.00	-5.92	75.12	-1.01	-0.60
2.00	3939.98	0.00	-11.84	75.23	-0.59	-0.86
3.00	3939.95	0.00	-17.76	75.34	-0.18	-1.13
4.00	3939.92	0.00	-23.68	75.45	0.24	-1.40
5.00	3939.87	0.00	-29.60	75.56	0.66	-1.66
6.00	3939.81	0.00	-35.52	75.68	1.07	-1.92
7.00	3939.74	0.00	-41.44	75.79	1.49	-2.19
8.00	3939.67	0.00	-47.36	75.90	1.90	-2.45
9.00	3939.58	0.00	-53.28	76.02	2.32	-2.71
10.00	3939.48	0.00	-59.20	76.13	2.73	-2.97
11.00	3939.37	0.00	-65.12	76.47	2.92	-2.83
12.00	3939.25	0.00	-71.03	76.86	3.08	-2.61
13.00	3939.12	0.00	-76.95	77.24	3.23	-2.40
14.00	3938.97	0.00	-82.87	77.62	3.39	-2.18
15.00	3938.82	0.00	-88.79	78.00	3.55	-1.97
16.00	3938.66	0.00	-94.71	78.38	3.71	-1.76
17.00	3938.49	0.00	-100.62	78.76	3.87	-1.54
18.00	3938.31	0.00	-106.54	79.13	4.04	-1.33
19.00	3938.11	0.00	-112.46	79.51	4.21	-1.12
20.00	3937.91	0.00	-118.37	79.89	4.30	-0.93
21.00	3937.70	0.00	-124.29	80.28	4.05	-0.84
22.00	3937.47	0.00	-130.21	80.66	3.79	-0.75
23.00	3937.24	0.00	-136.12	81.05	3.54	-0.66
24.00	3936.99	0.00	-142.04	81.44	3.28	-0.57
25.00	3936.74	0.00	-147.95	81.83	3.03	-0.48
26.00	3936.47	0.00	-153.87	82.22	2.78	-0.39
27.00	3936.19	0.00	-159.78	82.61	2.53	-0.30
28.00	3935.91	0.00	-165.69	83.00	2.27	-0.21
29.00	3935.61	0.00	-171.61	83.38	2.02	-0.12
30.00	3935.30	0.00	-177.52	83.51	1.78	-0.13
31.00	3934.98	0.00	-183.43	83.37	1.56	-0.22
32.00	3934.65	0.00	-189.34	83.24	1.33	-0.31
33.00	3934.31	0.00	-195.25	83.11	1.10	-0.39
34.00	3933.96	0.00	-201.16	82.98	0.87	-0.48
35.00	3933.60	0.00	-207.07	82.85	0.64	-0.57
36.00	3933.23	0.00	-212.98	82.73	0.41	-0.66
37.00	3932.85	0.00	-218.89	82.60	0.17	-0.74
38.00	3932.46	0.00	-224.79	82.47	-0.07	-0.83
39.00	3932.06	0.00	-230.70	82.34	-0.31	-0.92
40.00	3931.65	0.00	-236.60	82.51	-0.50	-0.68
41.00	3931.22	0.00	-242.51	82.73	-0.67	-0.39
42.00	3930.79	0.00	-248.41	82.95	-0.85	-0.09
43.00	3930.34	0.00	-254.32	83.17	-1.02	0.21
44.00	3929.89	0.00	-260.22	83.39	-1.19	0.51
45.00	3929.43	0.00	-266.12	83.61	-1.37	0.81
46.00	3928.95	0.00	-272.02	83.83	-1.54	1.11
