AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	3939.99	0.00	-5.92	17.03	-15.82	35.95
2.00	3939.98	0.00	-11.84	17.33	-15.62	36.16
3.00	3939.95	0.00	-17.76	17.63	-15.41	36.38
4.00	3939.92	0.00	-23.68	17.93	-15.21	36.59
5.00	3939.87	0.00	-29.60	18.23	-15.00	36.81
6.00	3939.81	0.00	-35.52	18.53	-14.80	37.02
7.00	3939.74	0.00	-41.44	18.83	-14.60	37.24
8.00	3939.67	0.00	-47.36	19.12	-14.39	37.45
9.00	3939.58	0.00	-53.28	19.43	-14.19	37.67
10.00	3939.48	0.00	-59.20	19.73	-13.99	37.88
11.00	3939.37	0.00	-65.12	19.87	-13.78	38.10
12.00	3939.25	0.00	-71.03	19.98	-13.58	38.31
13.00	3939.12	0.00	-76.95	20.09	-13.38	38.52
14.00	3938.97	0.00	-82.87	20.20	-13.17	38.73
15.00	3938.82	0.00	-88.79	20.31	-12.96	38.94
16.00	3938.66	0.00	-94.71	20.41	-12.75	39.15
17.00	3938.49	0.00	-100.62	20.51	-12.54	39.36
18.00	3938.31	0.00	-106.54	20.61	-12.32	39.57
19.00	3938.11	0.00	-112.46	20.71	-12.10	39.78
20.00	3937.91	0.00	-118.37	20.81	-11.89	40.04
21.00	3937.70	0.00	-124.29	20.96	-11.71	40.53
22.00	3937.47	0.00	-130.21	21.11	-11.53	41.02
23.00	3937.24	0.00	-136.12	21.26	-11.34	41.51
24.00	3936.99	0.00	-142.04	21.41	-11.16	42.01
25.00	3936.74	0.00	-147.95	21.55	-10.98	42.50
26.00	3936.47	0.00	-153.87	21.70	-10.79	43.00
27.00	3936.19	0.00	-159.78	21.84	-10.60	43.49
28.00	3935.91	0.00	-165.69	21.99	-10.41	43.99
29.00	3935.61	0.00	-171.61	22.13	-10.22	44.50
30.00	3935.30	0.00	-177.52	22.44	-10.13	44.97
31.00	3934.98	0.00	-183.43	22.91	-10.15	45.42
32.00	3934.65	0.00	-189.34	23.39	-10.17	45.87
33.00	3934.31	0.00	-195.25	23.88	-10.19	46.31
34.00	3933.96	0.00	-201.16	24.37	-10.22	46.76
35.00	3933.60	0.00	-207.07	24.86	-10.24	47.20
36.00	3933.23	0.00	-212.98	25.35	-10.27	47.65
37.00	3932.85	0.00	-218.89	25.85	-10.30	48.09
38.00	3932.46	0.00	-224.79	26.36	-10.34	48.53
39.00	3932.06	0.00	-230.70	26.87	-10.37	48.97
40.00	3931.65	0.00	-236.60	27.29	-10.49	49.18
41.00	3931.22	0.00	-242.51	27.71	-10.62	49.34
42.00	3930.79	0.00	-248.41	28.13	-10.75	49.51
43.00	3930.34	0.00	-254.32	28.55	-10.90	49.68
44.00	3929.89	0.00	-260.22	28.99	-11.05	49.86
45.00	3929.43	0.00	-266.12	29.43	-11.20	50.04
46.00	3928.95	0.00	-272.02	29.88	-11.36	50.22
47.00	3928.47	0.00	-277.93	30.34	-11.53	50.40
48.00	3927.97	0.00	-283.83	30.81	-11.71	50.59
49.00	3927.47	0.00	-289.72	31.26	-11.87	50.74
50.00	3926.95	0.00	-295.62	31.58	-11.92	50.65
51.00	3926.42	0.00	-301.52	31.89	-11.98	50.56
52.00	3925.88	0.00	-307.41	32.21	-12.04	50.46
53.00	3925.34	0.00	-313.31	32.52	-12.10	50.37
54.00	3924.78	0.00	-319.20	32.84	-12.16	50.28
55.00	3924.21	0.00	-325.10	33.16	-12.23	50.19
56.00	3923.63	0.00	-330.99	33.48	-12.30	50.10
57.00	3923.04	0.00	-336.88	33.80	-12.37	50.02
58.00	3922.44	0.00	-342.77	34.13	-12.45	49.93
59.00	3921.83	0.00	-348.66	34.45	-12.40	49.97
60.00	3921.21	0.00	-354.55	34.76	-12.18	50.16
61.00	3920.58	0.00	-360.43	35.06	-11.95	50.36
62.00	3919.94	0.00	-366.32	35.34	-11.71	50.55
63.00	3919.29	0.00	-372.20	35.62	-11.45	50.75
64.00	3918.63	0.00	-378.09	35.88	-11.19	50.95
65.00	3917.95	0.00	-383.97	36.13	-10.91	51.15
66.00	3917.27	0.00	-389.85	36.36	-10.61	51.35
67.00	3916.58	0.00	-395.73	36.58	-10.30	51.55
68.00	3915.87	0.00	-401.61	36.79	-9.98	51.75
69.00	3915.16	0.00	-407.49	36.95	-9.73	51.68
70.00	3914.43	0.00	-413.37	37.10	-9.51	51.50
71.00	3913.70	0.00	-419.24	37.24	-9.29	51.32
72.00	3912.95	0.00	-425.11	37.39	-9.07	51.15
73.00	3912.20	0.00	-430.99	37.53	-8.85	50.99
74.00	3911.43	0.00	-436.86	37.67	-8.63	50.82
75.00	3910.66	0.00	-442.73	37.81	-8.40	50.67
76.00	3909.87	0.00	-448.60	37.95	-8.18	50.51
77.00	3909.07	0.00	-454.46	38.09	-7.96	50.37
78.00	3908.27	0.00	-460.33	38.23	-7.73	50.22
79.00	3907.45	0.00	-466.19	38.68	-7.67	50.39
80.00	3906.62	0.00	-472.06	39.15	-7.63	50.57
81.00	3905.78	0.00	-477.92	39.62	-7.58	50.75
82.00	3904.93	0.00	-483.78	40.13	-7.56	50.90
83.00	3904.07	0.00	-489.64	40.68	-7.56	51.01
84.00	3903.20	0.00	-495.50	41.21	-7.56	51.11
85.00	3902.32	0.00	-501.35	41.73	-7.57	51.20
