AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	2785.97	2785.97	-5.92	31.92	15.02	35.11
2.00	2785.96	2785.96	-11.84	32.40	15.07	35.22
3.00	2785.94	2785.94	-17.76	32.88	15.12	35.34
4.00	2785.91	2785.91	-23.68	33.36	15.17	35.45
5.00	2785.88	2785.88	-29.60	33.84	15.22	35.56
6.00	2785.84	2785.84	-35.52	34.32	15.27	35.67
7.00	2785.79	2785.79	-41.44	34.80	15.33	35.78
8.00	2785.74	2785.74	-47.36	35.28	15.38	35.89
9.00	2785.67	2785.67	-53.28	35.76	15.43	36.00
10.00	2785.60	2785.60	-59.20	36.24	15.49	36.11
11.00	2785.53	2785.53	-65.12	36.56	15.43	36.03
12.00	2785.44	2785.44	-71.03	36.87	15.35	35.91
13.00	2785.35	2785.35	-76.95	37.17	15.26	35.79
14.00	2785.25	2785.25	-82.87	37.47	15.18	35.68
15.00	2785.14	2785.14	-88.79	37.77	15.10	35.56
16.00	2785.03	2785.03	-94.71	38.07	15.02	35.45
17.00	2784.91	2784.91	-100.62	38.38	14.93	35.33
18.00	2784.78	2784.78	-106.54	38.68	14.85	35.22
19.00	2784.64	2784.64	-112.46	38.99	14.76	35.11
20.00	2784.50	2784.50	-118.37	39.34	14.72	35.06
21.00	2784.34	2784.34	-124.29	39.88	14.84	35.31
22.00	2784.19	2784.19	-130.21	40.43	14.96	35.56
23.00	2784.02	2784.02	-136.12	40.97	15.09	35.80
24.00	2783.85	2783.85	-142.04	41.52	15.21	36.05
25.00	2783.66	2783.66	-147.95	42.07	15.33	36.29
26.00	2783.48	2783.48	-153.87	42.61	15.45	36.53
27.00	2783.28	2783.28	-159.78	43.16	15.57	36.77
28.00	2783.08	2783.08	-165.69	43.71	15.69	37.01
29.00	2782.87	2782.87	-171.61	44.25	15.81	37.24
30.00	2782.65	2782.65	-177.52	44.80	15.94	37.39
31.00	2782.42	2782.42	-183.43	45.35	16.06	37.47
32.00	2782.19	2782.19	-189.34	45.90	16.19	37.54
