AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	2785.97	2785.97	-5.92	9.03	9.03	46.19
2.00	2785.96	2785.96	-11.84	9.17	9.17	46.13
3.00	2785.94	2785.94	-17.76	9.30	9.30	46.08
4.00	2785.91	2785.91	-23.68	9.44	9.44	46.02
5.00	2785.88	2785.88	-29.60	9.57	9.57	45.96
6.00	2785.84	2785.84	-35.52	9.71	9.71	45.90
7.00	2785.79	2785.79	-41.44	9.84	9.84	45.84
8.00	2785.74	2785.74	-47.36	9.98	9.98	45.78
9.00	2785.67	2785.67	-53.28	10.11	10.11	45.72
10.00	2785.60	2785.60	-59.20	10.25	10.25	45.66
11.00	2785.53	2785.53	-65.12	10.38	10.38	45.60
12.00	2785.44	2785.44	-71.03	10.52	10.52	45.54
13.00	2785.35	2785.35	-76.95	10.65	10.65	45.48
14.00	2785.25	2785.25	-82.87	10.79	10.79	45.41
15.00	2785.14	2785.14	-88.79	10.92	10.92	45.35
16.00	2785.03	2785.03	-94.71	11.05	11.05	45.29
17.00	2784.91	2784.91	-100.62	11.19	11.19	45.22
18.00	2784.78	2784.78	-106.54	11.32	11.32	45.16
19.00	2784.64	2784.64	-112.46	11.45	11.45	45.10
20.00	2784.50	2784.50	-118.37	11.58	11.58	45.03
21.00	2784.34	2784.34	-124.29	11.72	11.72	44.97
22.00	2784.19	2784.19	-130.21	11.85	11.85	44.90
23.00	2784.02	2784.02	-136.12	11.98	11.98	44.84
24.00	2783.85	2783.85	-142.04	12.11	12.11	44.77
25.00	2783.66	2783.66	-147.95	12.25	12.25	44.70
26.00	2783.48	2783.48	-153.87	12.38	12.38	44.64
27.00	2783.28	2783.28	-159.78	12.51	12.51	44.57
28.00	2783.08	2783.08	-165.69	12.64	12.64	44.50
29.00	2782.87	2782.87	-171.61	12.77	12.77	44.43
30.00	2782.65	2782.65	-177.52	12.90	12.90	44.36
31.00	2782.42	2782.42	-183.43	13.03	13.03	44.30
32.00	2782.19	2782.19	-189.34	13.16	13.16	44.23
33.00	2781.95	2781.95	-195.25	13.29	13.29	44.16
34.00	2781.70	2781.70	-201.16	13.42	13.42	44.09
35.00	2781.45	2781.45	-207.07	13.55	13.55	44.02
36.00	2781.19	2781.19	-212.98	13.68	13.68	43.95
37.00	2780.92	2780.92	-218.89	13.81	13.81	43.87
38.00	2780.64	2780.64	-224.79	13.94	13.94	43.80
39.00	2780.36	2780.36	-230.70	14.07	14.07	43.73
40.00	2780.07	2780.07	-236.60	14.20	14.20	43.66
41.00	2779.77	2779.77	-242.51	14.32	14.32	43.59
42.00	2779.46	2779.46	-248.41	14.45	14.45	43.51
43.00	2779.15	2779.15	-254.32	14.58	14.58	43.44
44.00	2778.83	2778.83	-260.22	14.71	14.71	43.37
45.00	2778.50	2778.50	-266.12	14.84	14.84	43.29
46.00	2778.16	2778.16	-272.02	14.96	14.96	43.22
47.00	2777.82	2777.82	-277.93	15.09	15.09	43.14
48.00	2777.47	2777.47	-283.83	15.22	15.22	43.07
49.00	2777.11	2777.11	-289.72	15.34	15.34	42.99
50.00	2776.74	2776.74	-295.62	15.47	15.47	42.92
51.00	2776.37	2776.37	-301.52	15.60	15.60	42.84
52.00	2775.99	2775.99	-307.41	15.72	15.72	42.76
53.00	2775.60	2775.60	-313.31	15.85	15.85	42.68
54.00	2775.21	2775.21	-319.20	15.97	15.97	42.61
55.00	2774.81	2774.81	-325.10	16.10	16.10	42.53
56.00	2774.40	2774.40	-330.99	16.23	16.23	42.45
57.00	2773.98	2773.98	-336.88	16.35	16.35	42.37
58.00	2773.56	2773.56	-342.77	16.48	16.48	42.29
59.00	2773.13	2773.13	-348.66	16.60	16.60	42.21
60.00	2772.69	2772.69	-354.55	16.72	16.72	42.13
61.00	2772.24	2772.24	-360.43	16.85	16.85	42.05
62.00	2771.79	2771.79	-366.32	16.97	16.97	41.97
63.00	2771.33	2771.33	-372.20	17.10	17.10	41.89
64.00	2770.86	2770.86	-378.09	17.22	17.22	41.81
