AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	3.99	12.87	42.10
2.00	0.00	3939.98	-11.84	4.11	12.52	42.09
3.00	0.00	3939.95	-17.76	4.23	12.18	42.08
4.00	0.00	3939.92	-23.68	4.36	11.84	42.07
5.00	0.00	3939.87	-29.60	4.48	11.50	42.06
6.00	0.00	3939.81	-35.52	4.61	11.16	42.06
7.00	0.00	3939.74	-41.44	4.74	10.82	42.06
8.00	0.00	3939.67	-47.36	4.87	10.48	42.06
9.00	0.00	3939.58	-53.28	5.00	10.14	42.07
10.00	0.00	3939.48	-59.20	5.13	9.80	42.08
11.00	0.00	3939.37	-65.12	5.25	9.51	42.23
12.00	0.00	3939.25	-71.03	5.36	9.23	42.41
13.00	0.00	3939.12	-76.95	5.48	8.95	42.59
14.00	0.00	3938.97	-82.87	5.59	8.67	42.76
15.00	0.00	3938.82	-88.79	5.70	8.40	42.94
16.00	0.00	3938.66	-94.71	5.82	8.13	43.12
17.00	0.00	3938.49	-100.62	5.93	7.86	43.29
18.00	0.00	3938.31	-106.54	6.03	7.60	43.47
19.00	0.00	3938.11	-112.46	6.14	7.34	43.64
20.00	0.00	3937.91	-118.37	6.23	7.17	43.74
21.00	0.00	3937.70	-124.29	6.22	7.39	43.49
22.00	0.00	3937.47	-130.21	6.21	7.61	43.25
23.00	0.00	3937.24	-136.12	6.20	7.83	43.01
24.00	0.00	3936.99	-142.04	6.19	8.05	42.77
25.00	0.00	3936.74	-147.95	6.17	8.27	42.54
26.00	0.00	3936.47	-153.87	6.16	8.49	42.31
27.00	0.00	3936.19	-159.78	6.14	8.71	42.09
28.00	0.00	3935.91	-165.69	6.13	8.92	41.87
29.00	0.00	3935.61	-171.61	6.11	9.14	41.66
30.00	0.00	3935.30	-177.52	6.12	9.48	41.64
31.00	0.00	3934.98	-183.43	6.15	9.94	41.80
32.00	0.00	3934.65	-189.34	6.19	10.39	41.96
33.00	0.00	3934.31	-195.25	6.23	10.85	42.12
34.00	0.00	3933.96	-201.16	6.28	11.30	42.27
35.00	0.00	3933.60	-207.07	6.32	11.74	42.42
36.00	0.00	3933.23	-212.98	6.37	12.19	42.57
37.00	0.00	3932.85	-218.89	6.43	12.63	42.71
38.00	0.00	3932.46	-224.79	6.48	13.06	42.85
39.00	0.00	3932.06	-230.70	6.54	13.49	42.98
40.00	0.00	3931.65	-236.60	6.27	13.87	42.84
41.00	0.00	3931.22	-242.51	5.93	14.23	42.64
42.00	0.00	3930.79	-248.41	5.60	14.60	42.45
43.00	0.00	3930.34	-254.32	5.26	14.96	42.27
44.00	0.00	3929.89	-260.22	4.93	15.32	42.09
45.00	0.00	3929.43	-266.12	4.59	15.68	41.91
46.00	0.00	3928.95	-272.02	4.26	16.04	41.74
47.00	0.00	3928.47	-277.93	3.93	16.40	41.58
48.00	0.00	3927.97	-283.83	3.60	16.75	41.42
49.00	0.00	3927.47	-289.72	3.31	17.03	41.24
50.00	0.00	3926.95	-295.62	3.23	16.88	40.92
51.00	0.00	3926.42	-301.52	3.15	16.73	40.61
52.00	0.00	3925.88	-307.41	3.07	16.59	40.29
53.00	0.00	3925.34	-313.31	2.99	16.46	39.97
54.00	0.00	3924.78	-319.20	2.91	16.34	39.65
55.00	0.00	3924.21	-325.10	2.82	16.23	39.33
56.00	0.00	3923.63	-330.99	2.73	16.12	39.01
57.00	0.00	3923.04	-336.88	2.64	16.03	38.68
58.00	0.00	3922.44	-342.77	2.55	15.95	38.36
59.00	0.00	3921.83	-348.66	2.68	15.94	38.09
60.00	0.00	3921.21	-354.55	3.09	16.02	37.92
61.00	0.00	3920.58	-360.43	3.50	16.09	37.76
62.00	0.00	3919.94	-366.32	3.90	16.17	37.61
63.00	0.00	3919.29	-372.20	4.31	16.25	37.47
64.00	0.00	3918.63	-378.09	4.71	16.32	37.34
65.00	0.00	3917.95	-383.97	5.10	16.40	37.22
66.00	0.00	3917.27	-389.85	5.50	16.48	37.12
67.00	0.00	3916.58	-395.73	5.89	16.56	37.02
68.00	0.00	3915.87	-401.61	6.27	16.63	36.94
69.00	0.00	3915.16	-407.49	6.38	16.47	36.90
70.00	0.00	3914.43	-413.37	6.39	16.22	36.87
71.00	0.00	3913.70	-419.24	6.40	15.95	36.86
72.00	0.00	3912.95	-425.11	6.42	15.68	36.86
73.00	0.00	3912.20	-430.99	6.44	15.41	36.87
74.00	0.00	3911.43	-436.86	6.47	15.12	36.89
75.00	0.00	3910.66	-442.73	6.50	14.83	36.92
76.00	0.00	3909.87	-448.60	6.54	14.52	36.97
77.00	0.00	3909.07	-454.46	6.59	14.22	37.03
78.00	0.00	3908.27	-460.33	6.63	13.90	37.11
79.00	0.00	3907.45	-466.19	6.64	13.63	37.12
80.00	0.00	3906.62	-472.06	6.65	13.37	37.11
81.00	0.00	3905.78	-477.92	6.67	13.11	37.08
82.00	0.00	3904.93	-483.78	6.70	12.86	37.03
83.00	0.00	3904.07	-489.64	6.73	12.61	36.96
84.00	0.00	3903.20	-495.50	6.77	12.38	36.87
85.00	0.00	3902.32	-501.35	6.82	12.14	36.76
86.00	0.00	3901.43	-507.21	6.88	11.92	36.62
87.00	0.00	3900.54	-513.06	6.95	11.69	36.47
88.00	0.00	3899.62	-518.91	6.99	11.55	36.24
89.00	0.00	3898.70	-524.76	6.92	11.68	35.80
90.00	0.00	3897.77	-530.60	6.84	11.80	35.34
91.00	0.00	3896.83	-536.45	6.77	11.92	34.88
92.00	0.00	3895.88	-542.30	6.69	12.05	34.40
93.00	0.00	3894.92	-548.14	6.61	12.18	33.91
94.00	0.00	3893.94	-553.98	6.52	12.30	33.41
95.00	0.00	3892.96	-559.82	6.43	12.43	32.90
96.00	0.00	3891.97	-565.66	6.34	12.57	32.38
97.00	0.00	3890.96	-571.49	6.24	12.70	31.84
98.00	0.00	3889.95	-577.33	6.26	12.96	31.57
99.00	0.00	3888.93	-583.16	6.44	13.38	31.67
100.00	0.00	3887.89	-588.99	6.63	13.80	31.77
101.00	0.00	3886.85	-594.82	6.81	14.22	31.89
102.00	0.00	3885.79	-600.65	7.01	14.65	32.01
103.00	0.00	3884.73	-606.47	7.20	15.10	32.21
104.00	0.00	3883.65	-612.30	7.39	15.53	32.39
105.00	0.00	3882.56	-618.12	7.57	15.96	32.55
106.00	0.00	3881.47	-623.94	7.75	16.38	32.68
107.00	0.00	3880.36	-629.76	7.92	16.79	32.79
108.00	0.00	3879.25	-635.57	7.95	16.93	32.76
109.00	0.00	3878.12	-641.39	7.91	16.92	32.68
110.00	0.00	3876.98	-647.20	7.87	16.91	32.61
111.00	0.00	3875.83	-653.01	7.83	16.90	32.54
112.00	0.00	3874.68	-658.82	7.80	16.88	32.49
113.00	0.00	3873.51	-664.62	7.77	16.86	32.45
114.00	0.00	3872.33	-670.43	7.75	16.83	32.42
115.00	0.00	3871.14	-676.23	7.74	16.80	32.39
116.00	0.00	3869.94	-682.03	7.73	16.77	32.38
117.00	0.00	3868.73	-687.83	7.72	16.74	32.38
118.00	0.00	3867.51	-693.62	7.80	16.68	32.31
119.00	0.00	3866.28	-699.42	7.90	16.63	32.22
120.00	0.00	3865.05	-705.21	8.02	16.58	32.11
121.00	0.00	3863.80	-711.00	8.13	16.55	32.00
122.00	0.00	3862.54	-716.79	8.26	16.52	31.89
123.00	0.00	3861.27	-722.57	8.39	16.51	31.76
124.00	0.00	3859.98	-728.35	8.52	16.51	31.64
125.00	0.00	3858.69	-734.13	8.66	16.52	31.50
126.00	0.00	3857.39	-739.91	8.81	16.55	31.36
127.00	0.00	3856.08	-745.69	8.96	16.58	31.22
128.00	0.00	3854.76	-751.46	8.93	16.69	30.91
129.00	0.00	3853.43	-757.24	8.88	16.81	30.58
130.00	0.00	3852.09	-763.01	8.81	16.93	30.24
131.00	0.00	3850.74	-768.77	8.74	17.05	29.88
132.00	0.00	3849.38	-774.54	8.67	17.17	29.52
133.00	0.00	3848.00	-780.30	8.58	17.28	29.15
134.00	0.00	3846.62	-786.06	8.50	17.40	28.76
135.00	0.00	3845.23	-791.82	8.40	17.52	28.37
136.00	0.00	3843.83	-797.57	8.31	17.63	27.96
137.00	0.00	3842.41	-803.33	8.20	17.75	27.54
138.00	0.00	3840.99	-809.07	7.88	17.49	27.21
139.00	0.00	3839.56	-814.82	7.53	17.21	26.89
140.00	0.00	3838.12	-820.57	7.18	16.91	26.57
141.00	0.00	3836.66	-826.31	6.81	16.60	26.26
142.00	0.00	3835.20	-832.05	6.44	16.27	25.96
143.00	0.00	3833.72	-837.79	6.05	15.93	25.67
144.00	0.00	3832.24	-843.53	5.65	15.57	25.38
145.00	0.00	3830.75	-849.26	5.24	15.20	25.10
146.00	0.00	3829.24	-854.99	4.82	14.81	24.83
147.00	0.00	3827.73	-860.71	4.39	14.44	24.60
148.00	0.00	3826.20	-866.44	4.43	14.41	24.77
149.00	0.00	3824.67	-872.16	4.49	14.38	24.93
150.00	0.00	3823.13	-877.88	4.56	14.36	25.08
151.00	0.00	3821.57	-883.60	4.64	14.33	25.23
152.00	0.00	3820.01	-889.31	4.73	14.31	25.37
153.00	0.00	3818.43	-895.02	4.83	14.28	25.50
154.00	0.00	3816.85	-900.73	4.94	14.25	25.63
155.00	0.00	3815.25	-906.44	5.06	14.23	25.74
156.00	0.00	3813.65	-912.14	5.20	14.20	25.85
157.00	0.00	3812.03	-917.84	5.34	14.18	25.95
158.00	0.00	3810.41	-923.54	5.72	14.47	25.96
159.00	0.00	3808.77	-929.23	6.09	14.79	25.97
160.00	0.00	3807.13	-934.93	6.47	15.11	25.96
161.00	0.00	3805.47	-940.62	6.84	15.44	25.94
162.00	0.00	3803.81	-946.30	7.21	15.79	25.91
163.00	0.00	3802.13	-951.99	7.58	16.14	25.87
164.00	0.00	3800.45	-957.67	7.95	16.51	25.83
165.00	0.00	3798.75	-963.34	8.32	16.88	25.77
166.00	0.00	3797.05	-969.02	8.68	17.27	25.70
167.00	0.00	3795.33	-974.69	9.05	17.67	25.62
168.00	0.00	3793.61	-980.36	8.85	17.75	25.33
169.00	0.00	3791.87	-986.03	8.60	17.82	25.06
170.00	0.00	3790.13	-991.69	8.36	17.91	24.80
171.00	0.00	3788.37	-997.35	8.11	18.00	24.57
172.00	0.00	3786.60	-1003.00	7.85	18.11	24.36
173.00	0.00	3784.83	-1008.66	7.60	18.23	24.18
174.00	0.00	3783.04	-1014.31	7.34	18.36	24.02
175.00	0.00	3781.25	-1019.96	7.08	18.50	23.89
176.00	0.00	3779.44	-1025.60	6.82	18.66	23.78
177.00	0.00	3777.63	-1031.24	6.55	18.83	23.69
178.00	0.00	3775.80	-1036.88	6.45	18.64	23.59
179.00	0.00	3773.97	-1042.51	6.38	18.35	23.47
180.00	0.00	3772.12	-1048.15	6.31	18.04	23.34
181.00	0.00	3770.27	-1053.78	6.24	17.67	23.18
182.00	0.00	3768.40	-1059.40	6.17	17.29	23.01
183.00	0.00	3766.53	-1065.02	6.10	16.92	22.85
184.00	0.00	3764.64	-1070.64	6.03	16.55	22.69
185.00	0.00	3762.75	-1076.26	5.95	16.20	22.52
186.00	0.00	3760.85	-1081.87	5.88	15.85	22.36
187.00	0.00	3758.93	-1087.48	5.81	15.52	22.20
188.00	0.00	3757.01	-1093.08	5.83	15.42	22.09
189.00	0.00	3755.07	-1098.69	5.90	15.46	22.00
190.00	0.00	3753.13	-1104.29	5.97	15.48	21.93
191.00	0.00	3751.18	-1109.88	6.04	15.49	21.88
192.00	0.00	3749.21	-1115.47	6.11	15.49	21.84
193.00	0.00	3747.24	-1121.06	6.19	15.48	21.81
194.00	0.00	3745.25	-1126.65	6.26	15.46	21.80
195.00	0.00	3743.26	-1132.23	6.34	15.42	21.81
196.00	0.00	3741.26	-1137.81	6.42	15.38	21.83
197.00	0.00	3739.24	-1143.38	6.49	15.32	21.87
198.00	0.00	3737.22	-1148.96	6.54	15.27	21.93
199.00	0.00	3735.19	-1154.53	6.56	15.27	22.02
200.00	0.00	3733.15	-1160.09	6.58	15.26	22.10
201.00	0.00	3731.09	-1165.65	6.60	15.27	22.18
202.00	0.00	3729.03	-1171.21	6.63	15.29	22.26
203.00	0.00	3726.96	-1176.76	6.66	15.31	22.33
204.00	0.00	3724.88	-1182.31	6.70	15.34	22.41
205.00	0.00	3722.79	-1187.86	6.74	15.38	22.47
206.00	0.00	3720.69	-1193.40	6.79	15.42	22.54
207.00	0.00	3718.57	-1198.94	6.83	15.47	22.60
208.00	0.00	3716.45	-1204.48	6.89	15.54	22.65
209.00	0.00	3714.32	-1210.01	6.92	15.66	22.60
210.00	0.00	3712.18	-1215.54	7.05	15.88	22.47
211.00	0.00	3710.03	-1221.06	7.18	16.10	22.34
212.00	0.00	3707.87	-1226.59	7.30	16.31	22.20
213.00	0.00	3705.70	-1232.10	7.43	16.52	22.05
214.00	0.00	3703.52	-1237.61	7.55	16.73	21.90
215.00	0.00	3701.33	-1243.13	7.67	16.94	21.75
216.00	0.00	3699.13	-1248.63	7.79	17.14	21.58
217.00	0.00	3696.92	-1254.13	7.91	17.34	21.42
218.00	0.00	3694.71	-1259.63	8.02	17.54	21.24
219.00	0.00	3692.48	-1265.13	8.16	17.65	21.12
220.00	0.00	3690.24	-1270.62	8.29	17.72	21.02
221.00	0.00	3687.99	-1276.11	8.43	17.79	20.93
222.00	0.00	3685.74	-1281.59	8.56	17.86	20.86
223.00	0.00	3683.47	-1287.07	8.68	17.93	20.80
224.00	0.00	3681.19	-1292.54	8.80	17.99	20.75
225.00	0.00	3678.91	-1298.01	8.92	18.05	20.71
226.00	0.00	3676.61	-1303.48	9.03	18.11	20.68
227.00	0.00	3674.31	-1308.94	9.14	18.16	20.66
228.00	0.00	3671.99	-1314.40	9.25	18.21	20.66
229.00	0.00	3669.66	-1319.86	9.35	18.23	20.68
230.00	0.00	3667.33	-1325.31	9.45	18.15	20.75
231.00	0.00	3664.99	-1330.76	9.56	18.07	20.81
232.00	0.00	3662.64	-1336.20	9.67	17.98	20.87
233.00	0.00	3660.27	-1341.64	9.79	17.88	20.92
234.00	0.00	3657.90	-1347.08	9.91	17.77	20.97
235.00	0.00	3655.52	-1352.51	10.02	17.64	21.03
236.00	0.00	3653.12	-1357.93	10.10	17.50	21.07
237.00	0.00	3650.72	-1363.35	10.18	17.35	21.10
238.00	0.00	3648.31	-1368.77	10.26	17.20	21.10
239.00	0.00	3645.89	-1374.19	10.32	17.05	21.08
240.00	0.00	3643.46	-1379.60	10.29	17.03	21.03
241.00	0.00	3641.02	-1385.01	10.22	17.06	20.98
242.00	0.00	3638.57	-1390.41	10.15	17.10	20.94
243.00	0.00	3636.11	-1395.80	10.07	17.13	20.91
244.00	0.00	3633.65	-1401.20	9.99	17.18	20.89
245.00	0.00	3631.17	-1406.59	9.90	17.22	20.87
246.00	0.00	3628.68	-1411.97	9.80	17.27	20.87
247.00	0.00	3626.18	-1417.35	9.70	17.33	20.87
248.00	0.00	3623.68	-1422.73	9.59	17.38	20.89
249.00	0.00	3621.16	-1428.10	9.47	17.45	20.91
250.00	0.00	3618.63	-1433.47	9.37	17.52	20.91
251.00	0.00	3616.10	-1438.83	9.39	17.63	20.78
252.00	0.00	3613.56	-1444.19	9.41	17.73	20.64
253.00	0.00	3611.00	-1449.54	9.44	17.80	20.50
254.00	0.00	3608.44	-1454.89	9.47	17.85	20.36
255.00	0.00	3605.87	-1460.24	9.52	17.88	20.22
256.00	0.00	3603.28	-1465.58	9.56	17.90	20.08
257.00	0.00	3600.69	-1470.92	9.62	17.89	19.93
258.00	0.00	3598.09	-1476.25	9.71	17.92	19.71
259.00	0.00	3595.48	-1481.58	9.83	17.98	19.46
260.00	0.00	3592.86	-1486.90	9.97	18.05	19.21
261.00	0.00	3590.24	-1492.22	10.15	18.22	19.06
262.00	0.00	3587.60	-1497.53	10.37	18.49	19.04
263.00	0.00	3584.95	-1502.84	10.59	18.76	19.01
264.00	0.00	3582.29	-1508.15	10.83	19.05	18.97
265.00	0.00	3579.62	-1513.45	11.09	19.36	18.93
266.00	0.00	3576.95	-1518.74	11.35	19.67	18.87
267.00	0.00	3574.26	-1524.03	11.62	19.99	18.81
