AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	-2.35	1.61	42.34
2.00	0.00	3939.98	-11.84	-2.76	1.65	42.20
3.00	0.00	3939.95	-17.76	-3.16	1.69	42.06
4.00	0.00	3939.92	-23.68	-3.56	1.72	41.93
5.00	0.00	3939.87	-29.60	-3.97	1.76	41.79
6.00	0.00	3939.81	-35.52	-4.37	1.79	41.66
7.00	0.00	3939.74	-41.44	-4.77	1.83	41.53
8.00	0.00	3939.67	-47.36	-5.17	1.87	41.41
9.00	0.00	3939.58	-53.28	-5.57	1.90	41.29
10.00	0.00	3939.48	-59.20	-5.97	1.94	41.17
11.00	0.00	3939.37	-65.12	-5.63	2.19	41.29
12.00	0.00	3939.25	-71.03	-5.16	2.47	41.45
13.00	0.00	3939.12	-76.95	-4.69	2.76	41.62
14.00	0.00	3938.97	-82.87	-4.22	3.04	41.79
15.00	0.00	3938.82	-88.79	-3.75	3.32	41.95
16.00	0.00	3938.66	-94.71	-3.28	3.61	42.12
17.00	0.00	3938.49	-100.62	-2.81	3.89	42.30
18.00	0.00	3938.31	-106.54	-2.33	4.17	42.47
19.00	0.00	3938.11	-112.46	-1.85	4.45	42.64
20.00	0.00	3937.91	-118.37	-1.40	4.68	42.73
21.00	0.00	3937.70	-124.29	-1.08	4.72	42.46
22.00	0.00	3937.47	-130.21	-0.76	4.75	42.19
23.00	0.00	3937.24	-136.12	-0.44	4.79	41.93
24.00	0.00	3936.99	-142.04	-0.12	4.83	41.67
25.00	0.00	3936.74	-147.95	0.20	4.86	41.41
26.00	0.00	3936.47	-153.87	0.51	4.90	41.15
27.00	0.00	3936.19	-159.78	0.83	4.94	40.89
28.00	0.00	3935.91	-165.69	1.15	4.98	40.64
29.00	0.00	3935.61	-171.61	1.46	5.01	40.39
30.00	0.00	3935.30	-177.52	1.73	4.90	40.34
31.00	0.00	3934.98	-183.43	1.94	4.64	40.49
32.00	0.00	3934.65	-189.34	2.15	4.38	40.64
33.00	0.00	3934.31	-195.25	2.37	4.14	40.79
34.00	0.00	3933.96	-201.16	2.59	3.90	40.94
35.00	0.00	3933.60	-207.07	2.81	3.67	41.09
36.00	0.00	3933.23	-212.98	3.03	3.45	41.24
37.00	0.00	3932.85	-218.89	3.26	3.24	41.40
38.00	0.00	3932.46	-224.79	3.49	3.04	41.55
