AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	4.17	9.88	95.17
2.00	0.00	3939.98	-11.84	4.13	10.18	95.30
3.00	0.00	3939.95	-17.76	4.09	10.48	95.43
4.00	0.00	3939.92	-23.68	4.05	10.79	95.56
5.00	0.00	3939.87	-29.60	4.01	11.09	95.69
6.00	0.00	3939.81	-35.52	3.97	11.39	95.82
7.00	0.00	3939.74	-41.44	3.93	11.70	95.95
8.00	0.00	3939.67	-47.36	3.90	12.00	96.08
9.00	0.00	3939.58	-53.28	3.86	12.31	96.21
10.00	0.00	3939.48	-59.20	3.82	12.61	96.34
11.00	0.00	3939.37	-65.12	3.76	12.78	96.12
12.00	0.00	3939.25	-71.03	3.70	12.92	95.84
13.00	0.00	3939.12	-76.95	3.64	13.06	95.55
14.00	0.00	3938.97	-82.87	3.58	13.20	95.27
15.00	0.00	3938.82	-88.79	3.51	13.35	94.98
16.00	0.00	3938.66	-94.71	3.45	13.49	94.70
17.00	0.00	3938.49	-100.62	3.39	13.64	94.42
18.00	0.00	3938.31	-106.54	3.32	13.79	94.13
19.00	0.00	3938.11	-112.46	3.25	13.94	93.85
20.00	0.00	3937.91	-118.37	3.23	14.15	93.61
21.00	0.00	3937.70	-124.29	3.43	14.62	93.58
22.00	0.00	3937.47	-130.21	3.62	15.08	93.56
23.00	0.00	3937.24	-136.12	3.82	15.55	93.53
24.00	0.00	3936.99	-142.04	4.01	16.02	93.49
25.00	0.00	3936.74	-147.95	4.21	16.49	93.46
26.00	0.00	3936.47	-153.87	4.41	16.96	93.42
27.00	0.00	3936.19	-159.78	4.60	17.43	93.38
28.00	0.00	3935.91	-165.69	4.80	17.90	93.33
29.00	0.00	3935.61	-171.61	5.00	18.37	93.28
30.00	0.00	3935.30	-177.52	5.16	18.80	93.12
31.00	0.00	3934.98	-183.43	5.28	19.17	92.86
32.00	0.00	3934.65	-189.34	5.40	19.54	92.60
33.00	0.00	3934.31	-195.25	5.52	19.90	92.34
34.00	0.00	3933.96	-201.16	5.63	20.26	92.08
35.00	0.00	3933.60	-207.07	5.74	20.62	91.82
36.00	0.00	3933.23	-212.98	5.85	20.97	91.56
37.00	0.00	3932.85	-218.89	5.96	21.31	91.31
38.00	0.00	3932.46	-224.79	6.06	21.65	91.05
39.00	0.00	3932.06	-230.70	6.16	21.98	90.80
40.00	0.00	3931.65	-236.60	5.97	22.33	90.98
41.00	0.00	3931.22	-242.51	5.72	22.69	91.24
42.00	0.00	3930.79	-248.41	5.48	23.05	91.50
43.00	0.00	3930.34	-254.32	5.24	23.40	91.77
44.00	0.00	3929.89	-260.22	5.00	23.75	92.03
45.00	0.00	3929.43	-266.12	4.77	24.10	92.30
46.00	0.00	3928.95	-272.02	4.53	24.45	92.57
47.00	0.00	3928.47	-277.93	4.30	24.80	92.85
48.00	0.00	3927.97	-283.83	4.07	25.14	93.12
49.00	0.00	3927.47	-289.72	3.90	25.49	93.34
50.00	0.00	3926.95	-295.62	4.15	25.88	93.19
51.00	0.00	3926.42	-301.52	4.39	26.28	93.05
52.00	0.00	3925.88	-307.41	4.64	26.68	92.90
53.00	0.00	3925.34	-313.31	4.89	27.09	92.75
54.00	0.00	3924.78	-319.20	5.14	27.49	92.59
55.00	0.00	3924.21	-325.10	5.39	27.91	92.44
56.00	0.00	3923.63	-330.99	5.65	28.33	92.28
57.00	0.00	3923.04	-336.88	5.91	28.75	92.12
58.00	0.00	3922.44	-342.77	6.17	29.18	91.96
59.00	0.00	3921.83	-348.66	6.28	29.46	91.78
60.00	0.00	3921.21	-354.55	6.20	29.55	91.58
61.00	0.00	3920.58	-360.43	6.11	29.64	91.39
62.00	0.00	3919.94	-366.32	6.03	29.74	91.20
63.00	0.00	3919.29	-372.20	5.95	29.83	91.01
64.00	0.00	3918.63	-378.09	5.86	29.93	90.83
65.00	0.00	3917.95	-383.97	5.77	30.03	90.65
66.00	0.00	3917.27	-389.85	5.68	30.13	90.47
67.00	0.00	3916.58	-395.73	5.59	30.24	90.30
68.00	0.00	3915.87	-401.61	5.50	30.34	90.13
69.00	0.00	3915.16	-407.49	5.37	30.48	90.04
70.00	0.00	3914.43	-413.37	5.23	30.63	89.99
71.00	0.00	3913.70	-419.24	5.09	30.77	89.93
72.00	0.00	3912.95	-425.11	4.96	30.91	89.88
73.00	0.00	3912.20	-430.99	4.84	31.04	89.82
74.00	0.00	3911.43	-436.86	4.72	31.17	89.76
75.00	0.00	3910.66	-442.73	4.60	31.30	89.71
76.00	0.00	3909.87	-448.60	4.50	31.42	89.65
77.00	0.00	3909.07	-454.46	4.39	31.53	89.59
78.00	0.00	3908.27	-460.33	4.29	31.64	89.54
79.00	0.00	3907.45	-466.19	4.59	32.12	89.56
80.00	0.00	3906.62	-472.06	4.90	32.61	89.57
81.00	0.00	3905.78	-477.92	5.20	33.10	89.58
82.00	0.00	3904.93	-483.78	5.50	33.59	89.58
83.00	0.00	3904.07	-489.64	5.79	34.09	89.57
84.00	0.00	3903.20	-495.50	6.09	34.59	89.56
85.00	0.00	3902.32	-501.35	6.37	35.10	89.54
86.00	0.00	3901.43	-507.21	6.66	35.61	89.51
87.00	0.00	3900.54	-513.06	6.94	36.12	89.47
88.00	0.00	3899.62	-518.91	7.19	36.61	89.42
89.00	0.00	3898.70	-524.76	7.32	36.98	89.35
90.00	0.00	3897.77	-530.60	7.45	37.36	89.29
91.00	0.00	3896.83	-536.45	7.58	37.72	89.24
92.00	0.00	3895.88	-542.30	7.69	38.08	89.20
93.00	0.00	3894.92	-548.14	7.80	38.44	89.16
94.00	0.00	3893.94	-553.98	7.91	38.79	89.14
95.00	0.00	3892.96	-559.82	8.00	39.14	89.12
96.00	0.00	3891.97	-565.66	8.09	39.48	89.11
97.00	0.00	3890.96	-571.49	8.17	39.81	89.11
98.00	0.00	3889.95	-577.33	8.25	39.96	89.04
99.00	0.00	3888.93	-583.16	8.32	39.87	88.88
100.00	0.00	3887.89	-588.99	8.39	39.77	88.71
101.00	0.00	3886.85	-594.82	8.46	39.65	88.53
102.00	0.00	3885.79	-600.65	8.52	39.53	88.35
103.00	0.00	3884.73	-606.47	8.60	39.48	88.23
104.00	0.00	3883.65	-612.30	8.68	39.44	88.10
