AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	7.12	15.43	55.35
2.00	0.00	3939.98	-11.84	6.70	15.48	55.04
3.00	0.00	3939.95	-17.76	6.28	15.52	54.74
4.00	0.00	3939.92	-23.68	5.86	15.56	54.44
5.00	0.00	3939.87	-29.60	5.44	15.61	54.15
6.00	0.00	3939.81	-35.52	5.03	15.65	53.86
7.00	0.00	3939.74	-41.44	4.61	15.70	53.57
8.00	0.00	3939.67	-47.36	4.20	15.74	53.29
9.00	0.00	3939.58	-53.28	3.78	15.79	53.01
10.00	0.00	3939.48	-59.20	3.37	15.84	52.73
11.00	0.00	3939.37	-65.12	3.15	15.52	52.15
12.00	0.00	3939.25	-71.03	2.95	15.15	51.52
13.00	0.00	3939.12	-76.95	2.76	14.77	50.89
14.00	0.00	3938.97	-82.87	2.56	14.40	50.26
15.00	0.00	3938.82	-88.79	2.37	14.02	49.63
16.00	0.00	3938.66	-94.71	2.19	13.65	49.01
17.00	0.00	3938.49	-100.62	2.00	13.28	48.39
18.00	0.00	3938.31	-106.54	1.82	12.92	47.77
19.00	0.00	3938.11	-112.46	1.63	12.55	47.16
20.00	0.00	3937.91	-118.37	1.51	12.24	46.61
21.00	0.00	3937.70	-124.29	1.65	12.13	46.33
22.00	0.00	3937.47	-130.21	1.80	12.02	46.04
23.00	0.00	3937.24	-136.12	1.94	11.92	45.77
24.00	0.00	3936.99	-142.04	2.08	11.81	45.49
25.00	0.00	3936.74	-147.95	2.22	11.71	45.22
26.00	0.00	3936.47	-153.87	2.35	11.61	44.95
27.00	0.00	3936.19	-159.78	2.49	11.51	44.68
28.00	0.00	3935.91	-165.69	2.63	11.41	44.42
29.00	0.00	3935.61	-171.61	2.76	11.31	44.15
30.00	0.00	3935.30	-177.52	3.09	11.37	44.01
31.00	0.00	3934.98	-183.43	3.59	11.57	43.97
32.00	0.00	3934.65	-189.34	4.10	11.78	43.93
33.00	0.00	3934.31	-195.25	4.60	11.98	43.90
34.00	0.00	3933.96	-201.16	5.09	12.18	43.85
35.00	0.00	3933.60	-207.07	5.59	12.39	43.81
36.00	0.00	3933.23	-212.98	6.07	12.59	43.77
37.00	0.00	3932.85	-218.89	6.56	12.79	43.72
38.00	0.00	3932.46	-224.79	7.04	12.98	43.68
