AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	5.42	5.06	56.33
2.00	0.00	3939.98	-11.84	5.62	5.12	56.24
3.00	0.00	3939.95	-17.76	5.81	5.17	56.16
4.00	0.00	3939.92	-23.68	6.01	5.22	56.08
5.00	0.00	3939.87	-29.60	6.20	5.27	56.00
6.00	0.00	3939.81	-35.52	6.40	5.32	55.93
7.00	0.00	3939.74	-41.44	6.59	5.38	55.85
8.00	0.00	3939.67	-47.36	6.79	5.43	55.78
9.00	0.00	3939.58	-53.28	6.98	5.49	55.71
10.00	0.00	3939.48	-59.20	7.18	5.54	55.64
11.00	0.00	3939.37	-65.12	7.18	5.85	55.23
12.00	0.00	3939.25	-71.03	7.14	6.20	54.75
13.00	0.00	3939.12	-76.95	7.10	6.55	54.28
14.00	0.00	3938.97	-82.87	7.06	6.90	53.81
15.00	0.00	3938.82	-88.79	7.03	7.25	53.35
16.00	0.00	3938.66	-94.71	6.99	7.61	52.88
17.00	0.00	3938.49	-100.62	6.96	7.97	52.42
18.00	0.00	3938.31	-106.54	6.94	8.33	51.95
19.00	0.00	3938.11	-112.46	6.91	8.70	51.49
20.00	0.00	3937.91	-118.37	6.91	9.08	51.03
21.00	0.00	3937.70	-124.29	6.96	9.54	50.53
22.00	0.00	3937.47	-130.21	7.02	10.01	50.03
23.00	0.00	3937.24	-136.12	7.08	10.47	49.53
24.00	0.00	3936.99	-142.04	7.14	10.94	49.03
25.00	0.00	3936.74	-147.95	7.20	11.40	48.53
26.00	0.00	3936.47	-153.87	7.27	11.87	48.03
27.00	0.00	3936.19	-159.78	7.34	12.33	47.53
28.00	0.00	3935.91	-165.69	7.41	12.80	47.03
29.00	0.00	3935.61	-171.61	7.49	13.27	46.53
30.00	0.00	3935.30	-177.52	7.51	13.43	46.11
31.00	0.00	3934.98	-183.43	7.48	13.30	45.76
32.00	0.00	3934.65	-189.34	7.44	13.17	45.43
33.00	0.00	3934.31	-195.25	7.41	13.04	45.10
34.00	0.00	3933.96	-201.16	7.36	12.90	44.78
35.00	0.00	3933.60	-207.07	7.31	12.76	44.48
36.00	0.00	3933.23	-212.98	7.26	12.62	44.18
37.00	0.00	3932.85	-218.89	7.20	12.47	43.90
38.00	0.00	3932.46	-224.79	7.14	12.31	43.62
39.00	0.00	3932.06	-230.70	7.08	12.15	43.36
40.00	0.00	3931.65	-236.60	6.74	12.08	43.35
41.00	0.00	3931.22	-242.51	6.35	12.02	43.39
42.00	0.00	3930.79	-248.41	5.95	11.96	43.42
43.00	0.00	3930.34	-254.32	5.55	11.90	43.46
44.00	0.00	3929.89	-260.22	5.14	11.85	43.50
45.00	0.00	3929.43	-266.12	4.73	11.79	43.53
46.00	0.00	3928.95	-272.02	4.32	11.73	43.56
47.00	0.00	3928.47	-277.93	3.90	11.68	43.60
48.00	0.00	3927.97	-283.83	3.47	11.63	43.63
49.00	0.00	3927.47	-289.72	3.09	11.61	43.66
50.00	0.00	3926.95	-295.62	3.02	11.80	43.69
51.00	0.00	3926.42	-301.52	2.96	12.00	43.73
52.00	0.00	3925.88	-307.41	2.90	12.20	43.78
53.00	0.00	3925.34	-313.31	2.85	12.42	43.84
54.00	0.00	3924.78	-319.20	2.80	12.64	43.92
55.00	0.00	3924.21	-325.10	2.77	12.88	44.00
56.00	0.00	3923.63	-330.99	2.74	13.12	44.09
57.00	0.00	3923.04	-336.88	2.72	13.37	44.19
58.00	0.00	3922.44	-342.77	2.70	13.64	44.30
59.00	0.00	3921.83	-348.66	2.88	13.70	44.13
60.00	0.00	3921.21	-354.55	3.30	13.51	43.60
61.00	0.00	3920.58	-360.43	3.72	13.32	43.06
