AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	-3939.99	0.00	-5.92	-9.09	22.38	-11.94
2.00	-3939.98	0.00	-11.84	-9.19	22.40	-11.97
3.00	-3939.95	0.00	-17.76	-9.28	22.42	-12.00
4.00	-3939.92	0.00	-23.68	-9.38	22.44	-12.03
5.00	-3939.87	0.00	-29.60	-9.47	22.46	-12.05
6.00	-3939.81	0.00	-35.52	-9.57	22.48	-12.08
7.00	-3939.74	0.00	-41.44	-9.66	22.50	-12.11
8.00	-3939.67	0.00	-47.36	-9.76	22.53	-12.14
9.00	-3939.58	0.00	-53.28	-9.86	22.55	-12.17
10.00	-3939.48	0.00	-59.20	-9.95	22.57	-12.20
11.00	-3939.37	0.00	-65.12	-10.11	22.63	-12.11
12.00	-3939.25	0.00	-71.03	-10.27	22.69	-11.98
13.00	-3939.12	0.00	-76.95	-10.44	22.75	-11.86
14.00	-3938.97	0.00	-82.87	-10.60	22.81	-11.73
15.00	-3938.82	0.00	-88.79	-10.77	22.86	-11.61
16.00	-3938.66	0.00	-94.71	-10.93	22.92	-11.49
17.00	-3938.49	0.00	-100.62	-11.09	22.97	-11.36
18.00	-3938.31	0.00	-106.54	-11.26	23.02	-11.24
19.00	-3938.11	0.00	-112.46	-11.42	23.07	-11.11
20.00	-3937.91	0.00	-118.37	-11.55	23.11	-10.98
21.00	-3937.70	0.00	-124.29	-11.57	23.15	-10.80
22.00	-3937.47	0.00	-130.21	-11.59	23.18	-10.63
23.00	-3937.24	0.00	-136.12	-11.61	23.22	-10.45
24.00	-3936.99	0.00	-142.04	-11.63	23.25	-10.28
25.00	-3936.74	0.00	-147.95	-11.65	23.29	-10.10
26.00	-3936.47	0.00	-153.87	-11.66	23.33	-9.93
27.00	-3936.19	0.00	-159.78	-11.68	23.37	-9.75
28.00	-3935.91	0.00	-165.69	-11.70	23.41	-9.58
29.00	-3935.61	0.00	-171.61	-11.72	23.46	-9.40
30.00	-3935.30	0.00	-177.52	-11.71	23.60	-9.21
31.00	-3934.98	0.00	-183.43	-11.67	23.84	-9.01
32.00	-3934.65	0.00	-189.34	-11.63	24.08	-8.80
33.00	-3934.31	0.00	-195.25	-11.60	24.33	-8.60
34.00	-3933.96	0.00	-201.16	-11.57	24.58	-8.40
35.00	-3933.60	0.00	-207.07	-11.54	24.84	-8.19
36.00	-3933.23	0.00	-212.98	-11.51	25.10	-7.99
37.00	-3932.85	0.00	-218.89	-11.48	25.36	-7.78
38.00	-3932.46	0.00	-224.79	-11.45	25.64	-7.58
39.00	-3932.06	0.00	-230.70	-11.43	25.91	-7.38
40.00	-3931.65	0.00	-236.60	-11.17	25.97	-7.32
41.00	-3931.22	0.00	-242.51	-10.86	25.98	-7.29
42.00	-3930.79	0.00	-248.41	-10.55	26.00	-7.25
43.00	-3930.34	0.00	-254.32	-10.23	26.01	-7.22
44.00	-3929.89	0.00	-260.22	-9.91	26.02	-7.18
45.00	-3929.43	0.00	-266.12	-9.58	26.04	-7.14
46.00	-3928.95	0.00	-272.02	-9.25	26.03	-7.12
47.00	-3928.47	0.00	-277.93	-8.93	26.01	-7.11
48.00	-3927.97	0.00	-283.83	-8.61	25.99	-7.09
49.00	-3927.47	0.00	-289.72	-8.32	25.97	-7.08
50.00	-3926.95	0.00	-295.62	-8.27	25.95	-7.11
51.00	-3926.42	0.00	-301.52	-8.21	25.93	-7.13
52.00	-3925.88	0.00	-307.41	-8.16	25.91	-7.14
53.00	-3925.34	0.00	-313.31	-8.10	25.89	-7.16
54.00	-3924.78	0.00	-319.20	-8.05	25.88	-7.16
55.00	-3924.21	0.00	-325.10	-7.99	25.86	-7.16
56.00	-3923.63	0.00	-330.99	-7.94	25.85	-7.16
57.00	-3923.04	0.00	-336.88	-7.88	25.84	-7.15
58.00	-3922.44	0.00	-342.77	-7.83	25.83	-7.13
59.00	-3921.83	0.00	-348.66	-7.81	25.79	-7.18
60.00	-3921.21	0.00	-354.55	-7.85	25.70	-7.34
61.00	-3920.58	0.00	-360.43	-7.89	25.63	-7.50
62.00	-3919.94	0.00	-366.32	-7.93	25.55	-7.66
63.00	-3919.29	0.00	-372.20	-7.96	25.48	-7.81
64.00	-3918.63	0.00	-378.09	-8.00	25.42	-7.97
65.00	-3917.95	0.00	-383.97	-8.03	25.37	-8.13
