AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	-3939.99	0.00	-5.92	-5.90	24.95	22.38
2.00	-3939.98	0.00	-11.84	-5.92	24.95	22.53
3.00	-3939.95	0.00	-17.76	-5.94	24.94	22.68
4.00	-3939.92	0.00	-23.68	-5.96	24.94	22.84
5.00	-3939.87	0.00	-29.60	-5.98	24.93	22.99
6.00	-3939.81	0.00	-35.52	-6.00	24.93	23.14
7.00	-3939.74	0.00	-41.44	-6.01	24.93	23.30
8.00	-3939.67	0.00	-47.36	-6.03	24.92	23.45
9.00	-3939.58	0.00	-53.28	-6.05	24.92	23.61
10.00	-3939.48	0.00	-59.20	-6.07	24.92	23.76
11.00	-3939.37	0.00	-65.12	-6.25	24.85	23.59
12.00	-3939.25	0.00	-71.03	-6.46	24.78	23.35
13.00	-3939.12	0.00	-76.95	-6.68	24.70	23.12
14.00	-3938.97	0.00	-82.87	-6.89	24.63	22.89
15.00	-3938.82	0.00	-88.79	-7.11	24.55	22.66
16.00	-3938.66	0.00	-94.71	-7.33	24.48	22.43
17.00	-3938.49	0.00	-100.62	-7.54	24.40	22.20
18.00	-3938.31	0.00	-106.54	-7.76	24.33	21.98
19.00	-3938.11	0.00	-112.46	-7.98	24.26	21.75
20.00	-3937.91	0.00	-118.37	-8.13	24.17	21.58
21.00	-3937.70	0.00	-124.29	-7.95	24.00	21.66
22.00	-3937.47	0.00	-130.21	-7.76	23.83	21.74
23.00	-3937.24	0.00	-136.12	-7.58	23.65	21.82
24.00	-3936.99	0.00	-142.04	-7.40	23.47	21.89
25.00	-3936.74	0.00	-147.95	-7.22	23.29	21.97
26.00	-3936.47	0.00	-153.87	-7.03	23.11	22.04
27.00	-3936.19	0.00	-159.78	-6.85	22.92	22.11
28.00	-3935.91	0.00	-165.69	-6.67	22.74	22.17
29.00	-3935.61	0.00	-171.61	-6.48	22.55	22.24
30.00	-3935.30	0.00	-177.52	-6.24	22.42	22.27
31.00	-3934.98	0.00	-183.43	-5.93	22.37	22.28
32.00	-3934.65	0.00	-189.34	-5.62	22.32	22.29
33.00	-3934.31	0.00	-195.25	-5.31	22.26	22.30
34.00	-3933.96	0.00	-201.16	-5.00	22.21	22.31
35.00	-3933.60	0.00	-207.07	-4.70	22.16	22.32
36.00	-3933.23	0.00	-212.98	-4.39	22.11	22.33
37.00	-3932.85	0.00	-218.89	-4.08	22.06	22.34
38.00	-3932.46	0.00	-224.79	-3.78	22.00	22.35
39.00	-3932.06	0.00	-230.70	-3.47	21.95	22.36
40.00	-3931.65	0.00	-236.60	-3.42	21.93	22.16
41.00	-3931.22	0.00	-242.51	-3.43	21.92	21.92
42.00	-3930.79	0.00	-248.41	-3.43	21.90	21.68
43.00	-3930.34	0.00	-254.32	-3.44	21.88	21.43
44.00	-3929.89	0.00	-260.22	-3.45	21.86	21.19
45.00	-3929.43	0.00	-266.12	-3.46	21.84	20.94
46.00	-3928.95	0.00	-272.02	-3.48	21.81	20.70
47.00	-3928.47	0.00	-277.93	-3.50	21.79	20.47
48.00	-3927.97	0.00	-283.83	-3.53	21.77	20.25
49.00	-3927.47	0.00	-289.72	-3.56	21.78	20.04
50.00	-3926.95	0.00	-295.62	-3.64	21.97	19.84
51.00	-3926.42	0.00	-301.52	-3.73	22.17	19.63
52.00	-3925.88	0.00	-307.41	-3.81	22.36	19.41
53.00	-3925.34	0.00	-313.31	-3.89	22.55	19.19
54.00	-3924.78	0.00	-319.20	-3.97	22.73	18.96
55.00	-3924.21	0.00	-325.10	-4.05	22.92	18.73
56.00	-3923.63	0.00	-330.99	-4.13	23.10	18.49
57.00	-3923.04	0.00	-336.88	-4.21	23.27	18.25
58.00	-3922.44	0.00	-342.77	-4.29	23.44	18.00
59.00	-3921.83	0.00	-348.66	-4.48	23.53	17.77
60.00	-3921.21	0.00	-354.55	-4.81	23.53	17.56
61.00	-3920.58	0.00	-360.43	-5.13	23.52	17.35
62.00	-3919.94	0.00	-366.32	-5.45	23.52	17.13
63.00	-3919.29	0.00	-372.20	-5.77	23.52	16.92
64.00	-3918.63	0.00	-378.09	-6.07	23.52	16.69
65.00	-3917.95	0.00	-383.97	-6.38	23.52	16.47
66.00	-3917.27	0.00	-389.85	-6.68	23.52	16.24
67.00	-3916.58	0.00	-395.73	-6.97	23.52	16.01
68.00	-3915.87	0.00	-401.61	-7.26	23.52	15.77
69.00	-3915.16	0.00	-407.49	-7.65	23.56	15.98
70.00	-3914.43	0.00	-413.37	-8.08	23.62	16.37
71.00	-3913.70	0.00	-419.24	-8.51	23.68	16.75
72.00	-3912.95	0.00	-425.11	-8.95	23.75	17.13
73.00	-3912.20	0.00	-430.99	-9.39	23.81	17.51
74.00	-3911.43	0.00	-436.86	-9.83	23.88	17.89
