AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	-3939.99	0.00	-5.92	-8.62	23.54	21.75
2.00	-3939.98	0.00	-11.84	-8.37	23.66	21.67
3.00	-3939.95	0.00	-17.76	-8.12	23.79	21.60
4.00	-3939.92	0.00	-23.68	-7.87	23.91	21.52
5.00	-3939.87	0.00	-29.60	-7.61	24.03	21.44
6.00	-3939.81	0.00	-35.52	-7.36	24.15	21.36
7.00	-3939.74	0.00	-41.44	-7.11	24.28	21.28
8.00	-3939.67	0.00	-47.36	-6.86	24.40	21.21
9.00	-3939.58	0.00	-53.28	-6.61	24.53	21.13
10.00	-3939.48	0.00	-59.20	-6.36	24.65	21.04
11.00	-3939.37	0.00	-65.12	-6.27	24.48	20.92
12.00	-3939.25	0.00	-71.03	-6.22	24.26	20.79
13.00	-3939.12	0.00	-76.95	-6.17	24.04	20.66
14.00	-3938.97	0.00	-82.87	-6.12	23.81	20.52
15.00	-3938.82	0.00	-88.79	-6.07	23.59	20.39
16.00	-3938.66	0.00	-94.71	-6.02	23.36	20.26
17.00	-3938.49	0.00	-100.62	-5.97	23.14	20.13
18.00	-3938.31	0.00	-106.54	-5.92	22.91	20.00
19.00	-3938.11	0.00	-112.46	-5.87	22.68	19.87
20.00	-3937.91	0.00	-118.37	-5.86	22.48	19.80
21.00	-3937.70	0.00	-124.29	-6.00	22.39	19.96
22.00	-3937.47	0.00	-130.21	-6.14	22.31	20.12
23.00	-3937.24	0.00	-136.12	-6.28	22.22	20.29
24.00	-3936.99	0.00	-142.04	-6.41	22.13	20.45
25.00	-3936.74	0.00	-147.95	-6.55	22.05	20.62
26.00	-3936.47	0.00	-153.87	-6.68	21.96	20.79
27.00	-3936.19	0.00	-159.78	-6.81	21.88	20.96
28.00	-3935.91	0.00	-165.69	-6.94	21.79	21.13
29.00	-3935.61	0.00	-171.61	-7.07	21.71	21.31
30.00	-3935.30	0.00	-177.52	-7.20	21.78	21.31
31.00	-3934.98	0.00	-183.43	-7.34	22.00	21.16
32.00	-3934.65	0.00	-189.34	-7.48	22.22	21.01
33.00	-3934.31	0.00	-195.25	-7.63	22.44	20.85
34.00	-3933.96	0.00	-201.16	-7.77	22.67	20.70
35.00	-3933.60	0.00	-207.07	-7.92	22.90	20.54
36.00	-3933.23	0.00	-212.98	-8.06	23.13	20.38
37.00	-3932.85	0.00	-218.89	-8.21	23.37	20.23
38.00	-3932.46	0.00	-224.79	-8.36	23.60	20.07
39.00	-3932.06	0.00	-230.70	-8.51	23.84	19.91
40.00	-3931.65	0.00	-236.60	-8.32	23.79	19.71
41.00	-3931.22	0.00	-242.51	-8.06	23.68	19.50
42.00	-3930.79	0.00	-248.41	-7.79	23.57	19.29
43.00	-3930.34	0.00	-254.32	-7.53	23.45	19.07
44.00	-3929.89	0.00	-260.22	-7.27	23.33	18.85
45.00	-3929.43	0.00	-266.12	-7.00	23.21	18.63
46.00	-3928.95	0.00	-272.02	-6.74	23.08	18.43
47.00	-3928.47	0.00	-277.93	-6.49	22.96	18.24
48.00	-3927.97	0.00	-283.83	-6.24	22.84	18.06
49.00	-3927.47	0.00	-289.72	-6.04	22.72	17.95
50.00	-3926.95	0.00	-295.62	-6.08	22.56	18.28
51.00	-3926.42	0.00	-301.52	-6.12	22.40	18.60
52.00	-3925.88	0.00	-307.41	-6.16	22.25	18.91
53.00	-3925.34	0.00	-313.31	-6.20	22.10	19.22
54.00	-3924.78	0.00	-319.20	-6.24	21.95	19.52
55.00	-3924.21	0.00	-325.10	-6.27	21.79	19.82
56.00	-3923.63	0.00	-330.99	-6.31	21.65	20.11
57.00	-3923.04	0.00	-336.88	-6.35	21.50	20.39
58.00	-3922.44	0.00	-342.77	-6.39	21.35	20.66
59.00	-3921.83	0.00	-348.66	-6.39	21.44	20.78
60.00	-3921.21	0.00	-354.55	-6.36	21.82	20.72
61.00	-3920.58	0.00	-360.43	-6.33	22.20	20.66
62.00	-3919.94	0.00	-366.32	-6.30	22.57	20.60
63.00	-3919.29	0.00	-372.20	-6.26	22.95	20.54
64.00	-3918.63	0.00	-378.09	-6.23	23.32	20.48
65.00	-3917.95	0.00	-383.97	-6.20	23.68	20.42
66.00	-3917.27	0.00	-389.85	-6.17	24.04	20.36
67.00	-3916.58	0.00	-395.73	-6.14	24.41	20.30
68.00	-3915.87	0.00	-401.61	-6.10	24.76	20.24
69.00	-3915.16	0.00	-407.49	-6.26	25.04	20.35
70.00	-3914.43	0.00	-413.37	-6.48	25.29	20.53
71.00	-3913.70	0.00	-419.24	-6.70	25.53	20.71
72.00	-3912.95	0.00	-425.11	-6.91	25.76	20.89
73.00	-3912.20	0.00	-430.99	-7.12	25.99	21.07
74.00	-3911.43	0.00	-436.86	-7.32	26.20	21.26
75.00	-3910.66	0.00	-442.73	-7.52	26.40	21.44
76.00	-3909.87	0.00	-448.60	-7.71	26.60	21.63
77.00	-3909.07	0.00	-454.46	-7.90	26.79	21.83
78.00	-3908.27	0.00	-460.33	-8.08	26.96	22.02
79.00	-3907.45	0.00	-466.19	-8.10	26.85	21.99
80.00	-3906.62	0.00	-472.06	-8.12	26.74	21.95
81.00	-3905.78	0.00	-477.92	-8.14	26.64	21.90
82.00	-3904.93	0.00	-483.78	-8.18	26.54	21.84
83.00	-3904.07	0.00	-489.64	-8.22	26.45	21.77
84.00	-3903.20	0.00	-495.50	-8.27	26.36	21.70
85.00	-3902.32	0.00	-501.35	-8.32	26.28	21.61
86.00	-3901.43	0.00	-507.21	-8.39	26.21	21.52
87.00	-3900.54	0.00	-513.06	-8.46	26.14	21.42
88.00	-3899.62	0.00	-518.91	-8.54	26.06	21.31
89.00	-3898.70	0.00	-524.76	-8.60	25.88	21.20
90.00	-3897.77	0.00	-530.60	-8.65	25.71	21.10
91.00	-3896.83	0.00	-536.45	-8.70	25.54	20.99
92.00	-3895.88	0.00	-542.30	-8.74	25.38	20.89
93.00	-3894.92	0.00	-548.14	-8.77	25.23	20.78
94.00	-3893.94	0.00	-553.98	-8.80	25.09	20.67
95.00	-3892.96	0.00	-559.82	-8.82	24.95	20.56
96.00	-3891.97	0.00	-565.66	-8.84	24.83	20.44
97.00	-3890.96	0.00	-571.49	-8.85	24.71	20.33
98.00	-3889.95	0.00	-577.33	-8.86	24.69	20.39
99.00	-3888.93	0.00	-583.16	-8.88	24.81	20.70
100.00	-3887.89	0.00	-588.99	-8.90	24.92	21.01
101.00	-3886.85	0.00	-594.82	-8.91	25.04	21.35
102.00	-3885.79	0.00	-600.65	-8.91	25.16	21.70
103.00	-3884.73	0.00	-606.47	-8.91	25.27	22.07
104.00	-3883.65	0.00	-612.30	-8.90	25.39	22.45
105.00	-3882.56	0.00	-618.12	-8.89	25.50	22.85
106.00	-3881.47	0.00	-623.94	-8.87	25.62	23.26
107.00	-3880.36	0.00	-629.76	-8.84	25.73	23.69
108.00	-3879.25	0.00	-635.57	-8.85	25.77	23.80
109.00	-3878.12	0.00	-641.39	-8.88	25.76	23.71
