AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	-3939.99	0.00	-5.92	-11.48	0.36	44.44
2.00	-3939.98	0.00	-11.84	-11.67	0.36	44.39
3.00	-3939.95	0.00	-17.76	-11.85	0.36	44.34
4.00	-3939.92	0.00	-23.68	-12.03	0.36	44.29
5.00	-3939.87	0.00	-29.60	-12.21	0.36	44.24
6.00	-3939.81	0.00	-35.52	-12.39	0.36	44.19
7.00	-3939.74	0.00	-41.44	-12.57	0.36	44.14
8.00	-3939.67	0.00	-47.36	-12.75	0.36	44.09
9.00	-3939.58	0.00	-53.28	-12.93	0.36	44.04
10.00	-3939.48	0.00	-59.20	-13.11	0.36	43.99
11.00	-3939.37	0.00	-65.12	-13.29	0.36	43.94
12.00	-3939.25	0.00	-71.03	-13.47	0.36	43.89
13.00	-3939.12	0.00	-76.95	-13.65	0.36	43.84
14.00	-3938.97	0.00	-82.87	-13.83	0.36	43.78
15.00	-3938.82	0.00	-88.79	-14.01	0.36	43.73
16.00	-3938.66	0.00	-94.71	-14.19	0.36	43.68
17.00	-3938.49	0.00	-100.62	-14.37	0.36	43.62
18.00	-3938.31	0.00	-106.54	-14.55	0.36	43.57
19.00	-3938.11	0.00	-112.46	-14.72	0.36	43.51
20.00	-3937.91	0.00	-118.37	-14.90	0.36	43.46
21.00	-3937.70	0.00	-124.29	-15.08	0.36	43.40
22.00	-3937.47	0.00	-130.21	-15.26	0.36	43.35
23.00	-3937.24	0.00	-136.12	-15.43	0.36	43.29
24.00	-3936.99	0.00	-142.04	-15.61	0.36	43.24
25.00	-3936.74	0.00	-147.95	-15.79	0.36	43.18
26.00	-3936.47	0.00	-153.87	-15.96	0.36	43.12
27.00	-3936.19	0.00	-159.78	-16.14	0.36	43.06
28.00	-3935.91	0.00	-165.69	-16.32	0.36	43.01
29.00	-3935.61	0.00	-171.61	-16.49	0.36	42.95
30.00	-3935.30	0.00	-177.52	-16.67	0.36	42.89
31.00	-3934.98	0.00	-183.43	-16.84	0.36	42.83
