Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2021-10-01T23:23:36	4868.82	-2409.96	-87.23	79.33	-10.95	-1.75
2021-10-01T23:23:38	4860.77	-2398.42	-90.39	79.38	-11.00	-1.78
2021-10-01T23:23:40	4852.72	-2386.89	-93.55	79.35	-11.01	-1.85
2021-10-01T23:23:42	4844.66	-2375.35	-96.71	79.32	-11.02	-1.91
2021-10-01T23:23:44	4836.60	-2363.82	-99.87	79.29	-11.05	-1.96
2021-10-01T23:23:46	4828.54	-2352.28	-103.02	79.25	-11.08	-2.00
2021-10-01T23:23:48	4820.48	-2340.74	-106.18	79.22	-11.15	-1.99
2021-10-01T23:23:50	4812.41	-2329.19	-109.34	79.18	-11.26	-1.92
2021-10-01T23:23:52	4804.35	-2317.65	-112.50	79.18	-11.36	-1.86
2021-10-01T23:23:54	4796.28	-2306.11	-115.65	79.20	-11.47	-1.82
2021-10-01T23:23:56	4788.20	-2294.56	-118.81	79.28	-11.56	-1.80
2021-10-01T23:23:58	4780.13	-2283.02	-121.97	79.36	-11.62	-1.73
2021-10-01T23:24:00	4772.05	-2271.47	-125.12	79.43	-11.65	-1.64
2021-10-01T23:24:02	4763.97	-2259.92	-128.28	79.49	-11.68	-1.56
2021-10-01T23:24:04	4755.88	-2248.37	-131.44	79.53	-11.73	-1.48
2021-10-01T23:24:06	4747.79	-2236.81	-134.59	79.57	-11.79	-1.41
2021-10-01T23:24:08	4739.70	-2225.26	-137.75	79.62	-11.90	-1.36
2021-10-01T23:24:10	4731.61	-2213.71	-140.91	79.67	-12.01	-1.32
2021-10-01T23:24:12	4723.51	-2202.15	-144.06	79.72	-12.11	-1.29
2021-10-01T23:24:14	4715.41	-2190.59	-147.22	79.75	-12.20	-1.25
2021-10-01T23:24:16	4707.31	-2179.03	-150.37	79.78	-12.28	-1.21
2021-10-01T23:24:18	4699.21	-2167.47	-153.53	79.82	-12.35	-1.13
2021-10-01T23:24:20	4691.10	-2155.91	-156.69	79.86	-12.41	-1.04
2021-10-01T23:24:22	4682.98	-2144.35	-159.84	79.90	-12.47	-0.96
2021-10-01T23:24:24	4674.87	-2132.78	-163.00	79.94	-12.53	-0.87
2021-10-01T23:24:26	4666.75	-2121.21	-166.15	79.97	-12.59	-0.79
2021-10-01T23:24:28	4658.63	-2109.65	-169.31	80.02	-12.65	-0.70
2021-10-01T23:24:30	4650.51	-2098.08	-172.46	80.07	-12.70	-0.60
2021-10-01T23:24:32	4642.39	-2086.51	-175.62	80.12	-12.76	-0.49
2021-10-01T23:24:34	4634.26	-2074.93	-178.77	80.18	-12.81	-0.38
2021-10-01T23:24:36	4626.13	-2063.36	-181.93	80.24	-12.86	-0.27
2021-10-01T23:24:38	4617.99	-2051.79	-185.09	80.29	-12.91	-0.18
2021-10-01T23:24:40	4609.85	-2040.21	-188.24	80.34	-12.96	-0.09
2021-10-01T23:24:42	4601.71	-2028.63	-191.40	80.39	-13.01	0.01
2021-10-01T23:24:44	4593.57	-2017.05	-194.55	80.43	-13.06	0.11
2021-10-01T23:24:46	4585.42	-2005.47	-197.70	80.47	-13.13	0.20
2021-10-01T23:24:48	4577.27	-1993.89	-200.86	80.52	-13.20	0.28
2021-10-01T23:24:50	4569.11	-1982.31	-204.01	80.57	-13.26	0.36
2021-10-01T23:24:52	4560.96	-1970.72	-207.17	80.62	-13.33	0.44
2021-10-01T23:24:54	4552.79	-1959.14	-210.32	80.67	-13.39	0.53
2021-10-01T23:24:56	4544.63	-1947.55	-213.47	80.72	-13.45	0.62
2021-10-01T23:24:58	4536.46	-1935.96	-216.63	80.78	-13.51	0.71
2021-10-01T23:25:00	4528.29	-1924.37	-219.78	80.86	-13.56	0.80
2021-10-01T23:25:02	4520.12	-1912.78	-222.93	80.95	-13.60	0.88
2021-10-01T23:25:04	4511.94	-1901.18	-226.09	81.04	-13.65	0.97
2021-10-01T23:25:06	4503.76	-1889.59	-229.24	81.13	-13.69	1.05
2021-10-01T23:25:08	4495.58	-1877.99	-232.39	81.22	-13.73	1.13
2021-10-01T23:25:10	4487.39	-1866.40	-235.55	81.30	-13.77	1.20
2021-10-01T23:25:12	4479.20	-1854.79	-238.70	81.37	-13.81	1.27
