Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2021-10-01T23:23:36	4868.82	-2409.96	-87.23	2.47	-9.32	9.82
2021-10-01T23:23:38	4860.77	-2398.42	-90.39	2.89	-9.44	9.52
2021-10-01T23:23:40	4852.72	-2386.89	-93.55	3.43	-9.43	9.22
2021-10-01T23:23:42	4844.66	-2375.35	-96.71	3.98	-9.50	8.88
2021-10-01T23:23:44	4836.60	-2363.82	-99.87	4.54	-9.67	8.50
2021-10-01T23:23:46	4828.54	-2352.28	-103.02	5.08	-9.94	8.10
2021-10-01T23:23:48	4820.48	-2340.74	-106.18	5.46	-10.33	7.70
2021-10-01T23:23:50	4812.41	-2329.19	-109.34	5.72	-10.71	7.27
2021-10-01T23:23:52	4804.35	-2317.65	-112.50	5.99	-11.05	6.84
2021-10-01T23:23:54	4796.28	-2306.11	-115.65	6.30	-11.35	6.40
2021-10-01T23:23:56	4788.20	-2294.56	-118.81	6.64	-11.59	5.97
2021-10-01T23:23:58	4780.13	-2283.02	-121.97	7.13	-11.66	5.75
2021-10-01T23:24:00	4772.05	-2271.47	-125.12	7.70	-11.65	5.61
2021-10-01T23:24:02	4763.97	-2259.92	-128.28	8.30	-11.65	5.47
2021-10-01T23:24:04	4755.88	-2248.37	-131.44	8.92	-11.58	5.39
2021-10-01T23:24:06	4747.79	-2236.81	-134.59	9.57	-11.50	5.28
2021-10-01T23:24:08	4739.70	-2225.26	-137.75	10.15	-11.50	5.29
2021-10-01T23:24:10	4731.61	-2213.71	-140.91	10.70	-11.51	5.32
2021-10-01T23:24:12	4723.51	-2202.15	-144.06	11.25	-11.51	5.33
2021-10-01T23:24:14	4715.41	-2190.59	-147.22	11.78	-11.48	5.30
2021-10-01T23:24:16	4707.31	-2179.03	-150.37	12.32	-11.43	5.26
2021-10-01T23:24:18	4699.21	-2167.47	-153.53	12.86	-11.64	5.22
2021-10-01T23:24:20	4691.10	-2155.91	-156.69	13.41	-11.96	5.16
2021-10-01T23:24:22	4682.98	-2144.35	-159.84	13.95	-12.31	5.06
2021-10-01T23:24:24	4674.87	-2132.78	-163.00	14.51	-12.69	4.93
2021-10-01T23:24:26	4666.75	-2121.21	-166.15	15.06	-13.09	4.75
2021-10-01T23:24:28	4658.63	-2109.65	-169.31	15.54	-13.32	4.44
2021-10-01T23:24:30	4650.51	-2098.08	-172.46	16.01	-13.50	4.10
2021-10-01T23:24:32	4642.39	-2086.51	-175.62	16.42	-13.74	3.75
2021-10-01T23:24:34	4634.26	-2074.93	-178.77	16.82	-13.89	3.44
2021-10-01T23:24:36	4626.13	-2063.36	-181.93	17.28	-13.96	3.20
2021-10-01T23:24:38	4617.99	-2051.79	-185.09	17.92	-14.18	3.04
2021-10-01T23:24:40	4609.85	-2040.21	-188.24	18.56	-14.48	2.90
2021-10-01T23:24:42	4601.71	-2028.63	-191.40	19.14	-14.82	2.76
2021-10-01T23:24:44	4593.57	-2017.05	-194.55	19.66	-15.20	2.63
2021-10-01T23:24:46	4585.42	-2005.47	-197.70	20.04	-15.48	2.53
2021-10-01T23:24:48	4577.27	-1993.89	-200.86	20.49	-15.78	2.47
2021-10-01T23:24:50	4569.11	-1982.31	-204.01	21.03	-16.12	2.37
2021-10-01T23:24:52	4560.96	-1970.72	-207.17	21.64	-16.46	2.24
2021-10-01T23:24:54	4552.79	-1959.14	-210.32	22.33	-16.78	2.09
2021-10-01T23:24:56	4544.63	-1947.55	-213.47	23.08	-17.06	1.94
2021-10-01T23:24:58	4536.46	-1935.96	-216.63	23.42	-17.06	1.86
2021-10-01T23:25:00	4528.29	-1924.37	-219.78	23.63	-17.05	1.79
2021-10-01T23:25:02	4520.12	-1912.78	-222.93	23.89	-17.03	1.72
2021-10-01T23:25:04	4511.94	-1901.18	-226.09	24.21	-16.98	1.65
2021-10-01T23:25:06	4503.76	-1889.59	-229.24	24.60	-16.90	1.56
2021-10-01T23:25:08	4495.58	-1877.99	-232.39	25.01	-17.08	1.12
2021-10-01T23:25:10	4487.39	-1866.40	-235.55	25.41	-17.31	0.64
2021-10-01T23:25:12	4479.20	-1854.79	-238.70	25.83	-17.58	0.17
2021-10-01T23:25:14	4471.00	-1843.19	-241.85	26.14	-17.75	-0.23
2021-10-01T23:25:16	4462.81	-1831.59	-245.00	26.42	-17.78	-0.52
2021-10-01T23:25:18	4454.61	-1819.99	-248.15	26.87	-17.67	-0.64
2021-10-01T23:25:20	4446.40	-1808.38	-251.31	27.35	-17.67	-0.79
2021-10-01T23:25:22	4438.19	-1796.78	-254.46	27.89	-17.81	-0.98
2021-10-01T23:25:24	4429.98	-1785.17	-257.61	28.49	-18.12	-1.20
2021-10-01T23:25:26	4421.77	-1773.56	-260.76	29.08	-18.58	-1.44
2021-10-01T23:25:28	4413.55	-1761.95	-263.91	29.02	-18.97	-1.45
2021-10-01T23:25:30	4405.33	-1750.33	-267.06	28.94	-19.24	-1.40
2021-10-01T23:25:32	4397.10	-1738.72	-270.21	28.94	-19.41	-1.31
2021-10-01T23:25:34	4388.87	-1727.11	-273.36	29.07	-19.49	-1.20
2021-10-01T23:25:36	4380.64	-1715.49	-276.51	29.36	-19.40	-1.22
2021-10-01T23:25:38	4372.40	-1703.87	-279.66	29.67	-18.99	-1.63
2021-10-01T23:25:40	4364.16	-1692.25	-282.81	29.88	-18.52	-2.11
2021-10-01T23:25:42	4355.92	-1680.63	-285.96	30.15	-18.07	-2.76
2021-10-01T23:25:44	4347.67	-1669.01	-289.11	30.38	-17.74	-3.44
2021-10-01T23:25:46	4339.42	-1657.38	-292.26	30.93	-17.60	-3.71
2021-10-01T23:25:48	4331.17	-1645.76	-295.41	31.66	-17.63	-3.47
2021-10-01T23:25:50	4322.91	-1634.13	-298.55	32.24	-17.58	-3.20
2021-10-01T23:25:52	4314.65	-1622.50	-301.70	32.67	-17.46	-2.91
2021-10-01T23:25:54	4306.38	-1610.87	-304.85	32.95	-17.28	-2.59
2021-10-01T23:25:56	4298.11	-1599.24	-308.00	33.28	-17.24	-2.40
2021-10-01T23:25:58	4289.83	-1587.60	-311.14	33.65	-17.28	-2.41
2021-10-01T23:26:00	4281.56	-1575.97	-314.29	33.96	-17.27	-2.38
2021-10-01T23:26:02	4273.28	-1564.33	-317.44	34.23	-17.19	-2.32
2021-10-01T23:26:04	4264.99	-1552.70	-320.58	34.45	-17.05	-2.24
2021-10-01T23:26:06	4256.70	-1541.06	-323.73	34.80	-16.84	-2.02
2021-10-01T23:26:08	4248.41	-1529.42	-326.87	35.27	-16.54	-1.76
2021-10-01T23:26:10	4240.11	-1517.78	-330.02	35.61	-15.94	-1.36
2021-10-01T23:26:12	4231.81	-1506.13	-333.16	35.79	-15.31	-1.04
2021-10-01T23:26:14	4223.50	-1494.49	-336.31	35.83	-14.66	-0.79
2021-10-01T23:26:16	4215.19	-1482.84	-339.45	36.07	-14.09	-0.16
2021-10-01T23:26:18	4206.88	-1471.19	-342.60	36.50	-13.59	0.80
2021-10-01T23:26:20	4198.56	-1459.54	-345.74	36.93	-13.12	1.76
2021-10-01T23:26:22	4190.24	-1447.89	-348.89	37.60	-12.69	2.67
2021-10-01T23:26:24	4181.91	-1436.24	-352.03	38.36	-12.48	3.51
2021-10-01T23:26:26	4173.58	-1424.58	-355.17	39.36	-12.23	4.02
2021-10-01T23:26:28	4165.25	-1412.93	-358.31	40.46	-11.90	4.47
2021-10-01T23:26:30	4156.91	-1401.27	-361.45	41.59	-11.55	4.95
2021-10-01T23:26:32	4148.56	-1389.61	-364.60	42.77	-11.18	5.45
2021-10-01T23:26:34	4140.22	-1377.95	-367.74	44.02	-10.84	5.94
2021-10-01T23:26:36	4131.86	-1366.29	-370.88	44.86	-10.85	6.60
2021-10-01T23:26:38	4123.51	-1354.63	-374.02	45.35	-11.02	7.45
2021-10-01T23:26:40	4115.15	-1342.97	-377.16	45.82	-11.20	8.27
2021-10-01T23:26:42	4106.78	-1331.30	-380.30	46.30	-11.40	9.07
2021-10-01T23:26:44	4098.41	-1319.63	-383.44	46.83	-11.66	9.86
2021-10-01T23:26:46	4090.04	-1307.96	-386.57	47.09	-11.79	10.90
2021-10-01T23:26:48	4081.66	-1296.29	-389.71	47.34	-11.81	11.99
2021-10-01T23:26:50	4073.28	-1284.62	-392.85	47.60	-11.66	13.11
2021-10-01T23:26:52	4064.89	-1272.95	-395.99	47.91	-11.46	14.12
2021-10-01T23:26:54	4056.50	-1261.28	-399.13	48.34	-11.32	14.91
2021-10-01T23:26:56	4048.10	-1249.60	-402.26	48.95	-11.36	15.43
2021-10-01T23:26:58	4039.70	-1237.92	-405.40	49.53	-11.36	15.81
2021-10-01T23:27:00	4031.30	-1226.24	-408.53	50.09	-11.27	15.97
2021-10-01T23:27:02	4022.89	-1214.56	-411.67	50.64	-11.09	15.90
2021-10-01T23:27:04	4014.47	-1202.88	-414.80	51.33	-10.88	15.84
2021-10-01T23:27:06	4006.05	-1191.20	-417.94	52.24	-10.88	16.42
2021-10-01T23:27:08	3997.63	-1179.51	-421.07	53.22	-10.94	16.94
2021-10-01T23:27:10	3989.20	-1167.83	-424.21	54.23	-11.05	17.39
2021-10-01T23:27:12	3980.77	-1156.14	-427.34	55.24	-11.21	17.74
2021-10-01T23:27:14	3972.33	-1144.45	-430.47	56.28	-11.47	17.98
2021-10-01T23:27:16	3963.88	-1132.76	-433.60	57.41	-12.04	18.30
2021-10-01T23:27:18	3955.44	-1121.07	-436.73	58.31	-12.81	18.61
2021-10-01T23:27:20	3946.98	-1109.38	-439.86	59.23	-13.55	18.87
2021-10-01T23:27:22	3938.53	-1097.68	-442.99	60.18	-14.22	19.05
2021-10-01T23:27:24	3930.06	-1085.99	-446.12	61.40	-14.67	19.36
2021-10-01T23:27:26	3921.59	-1074.29	-449.25	63.29	-14.79	20.25
2021-10-01T23:27:28	3913.12	-1062.59	-452.38	65.37	-14.82	21.27
2021-10-01T23:27:30	3904.64	-1050.89	-455.51	67.66	-14.75	22.44
2021-10-01T23:27:32	3896.16	-1039.19	-458.63	69.88	-14.40	23.66
