Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2021-10-01T23:23:36	4868.82	-2409.96	-87.23	81.32	-9.12	-1.59
2021-10-01T23:23:38	4860.77	-2398.42	-90.39	81.36	-9.13	-1.41
2021-10-01T23:23:40	4852.72	-2386.89	-93.55	81.40	-9.14	-1.23
2021-10-01T23:23:42	4844.66	-2375.35	-96.71	81.42	-9.14	-1.05
2021-10-01T23:23:44	4836.60	-2363.82	-99.87	81.45	-9.10	-0.89
2021-10-01T23:23:46	4828.54	-2352.28	-103.02	81.47	-9.05	-0.74
2021-10-01T23:23:48	4820.48	-2340.74	-106.18	81.48	-9.01	-0.62
2021-10-01T23:23:50	4812.41	-2329.19	-109.34	81.47	-9.04	-0.55
2021-10-01T23:23:52	4804.35	-2317.65	-112.50	81.47	-9.07	-0.48
2021-10-01T23:23:54	4796.28	-2306.11	-115.65	81.46	-9.09	-0.40
2021-10-01T23:23:56	4788.20	-2294.56	-118.81	81.48	-9.10	-0.32
2021-10-01T23:23:58	4780.13	-2283.02	-121.97	81.56	-9.06	-0.24
2021-10-01T23:24:00	4772.05	-2271.47	-125.12	81.68	-8.98	-0.15
2021-10-01T23:24:02	4763.97	-2259.92	-128.28	81.79	-8.89	-0.04
2021-10-01T23:24:04	4755.88	-2248.37	-131.44	81.90	-8.82	0.06
2021-10-01T23:24:06	4747.79	-2236.81	-134.59	82.00	-8.76	0.15
2021-10-01T23:24:08	4739.70	-2225.26	-137.75	82.12	-8.74	0.22
2021-10-01T23:24:10	4731.61	-2213.71	-140.91	82.25	-8.74	0.29
2021-10-01T23:24:12	4723.51	-2202.15	-144.06	82.39	-8.72	0.38
2021-10-01T23:24:14	4715.41	-2190.59	-147.22	82.54	-8.69	0.48
2021-10-01T23:24:16	4707.31	-2179.03	-150.37	82.69	-8.66	0.59
2021-10-01T23:24:18	4699.21	-2167.47	-153.53	82.90	-8.57	0.71
2021-10-01T23:24:20	4691.10	-2155.91	-156.69	83.12	-8.46	0.83
2021-10-01T23:24:22	4682.98	-2144.35	-159.84	83.34	-8.35	0.96
2021-10-01T23:24:24	4674.87	-2132.78	-163.00	83.55	-8.25	1.10
2021-10-01T23:24:26	4666.75	-2121.21	-166.15	83.76	-8.14	1.24
2021-10-01T23:24:28	4658.63	-2109.65	-169.31	83.97	-8.07	1.39
2021-10-01T23:24:30	4650.51	-2098.08	-172.46	84.16	-8.00	1.55
2021-10-01T23:24:32	4642.39	-2086.51	-175.62	84.34	-7.94	1.72
2021-10-01T23:24:34	4634.26	-2074.93	-178.77	84.50	-7.89	1.90
2021-10-01T23:24:36	4626.13	-2063.36	-181.93	84.66	-7.84	2.09
2021-10-01T23:24:38	4617.99	-2051.79	-185.09	84.80	-7.77	2.36
2021-10-01T23:24:40	4609.85	-2040.21	-188.24	84.93	-7.71	2.63
2021-10-01T23:24:42	4601.71	-2028.63	-191.40	85.06	-7.65	2.90
2021-10-01T23:24:44	4593.57	-2017.05	-194.55	85.20	-7.60	3.17
2021-10-01T23:24:46	4585.42	-2005.47	-197.70	85.35	-7.55	3.44
2021-10-01T23:24:48	4577.27	-1993.89	-200.86	85.43	-7.51	3.70
2021-10-01T23:24:50	4569.11	-1982.31	-204.01	85.49	-7.46	3.97
2021-10-01T23:24:52	4560.96	-1970.72	-207.17	85.55	-7.41	4.26
2021-10-01T23:24:54	4552.79	-1959.14	-210.32	85.59	-7.37	4.56
2021-10-01T23:24:56	4544.63	-1947.55	-213.47	85.63	-7.33	4.88
2021-10-01T23:24:58	4536.46	-1935.96	-216.63	85.63	-7.24	5.06
2021-10-01T23:25:00	4528.29	-1924.37	-219.78	85.63	-7.16	5.21
2021-10-01T23:25:02	4520.12	-1912.78	-222.93	85.63	-7.09	5.36
2021-10-01T23:25:04	4511.94	-1901.18	-226.09	85.63	-7.02	5.52
2021-10-01T23:25:06	4503.76	-1889.59	-229.24	85.63	-6.96	5.69
2021-10-01T23:25:08	4495.58	-1877.99	-232.39	85.57	-6.97	5.96
2021-10-01T23:25:10	4487.39	-1866.40	-235.55	85.52	-6.98	6.23
2021-10-01T23:25:12	4479.20	-1854.79	-238.70	85.46	-6.98	6.51
2021-10-01T23:25:14	4471.00	-1843.19	-241.85	85.49	-6.97	6.83
2021-10-01T23:25:16	4462.81	-1831.59	-245.00	85.66	-6.92	7.20
2021-10-01T23:25:18	4454.61	-1819.99	-248.15	86.43	-6.62	7.62
2021-10-01T23:25:20	4446.40	-1808.38	-251.31	87.08	-6.25	8.05
2021-10-01T23:25:22	4438.19	-1796.78	-254.46	87.63	-5.80	8.49
2021-10-01T23:25:24	4429.98	-1785.17	-257.61	88.10	-5.27	8.92
2021-10-01T23:25:26	4421.77	-1773.56	-260.76	88.18	-4.76	9.20
2021-10-01T23:25:28	4413.55	-1761.95	-263.91	87.11	-4.53	8.94
2021-10-01T23:25:30	4405.33	-1750.33	-267.06	86.21	-4.21	8.74
2021-10-01T23:25:32	4397.10	-1738.72	-270.21	85.36	-3.83	8.58
2021-10-01T23:25:34	4388.87	-1727.11	-273.36	84.50	-3.42	8.47
2021-10-01T23:25:36	4380.64	-1715.49	-276.51	83.31	-3.11	8.34
2021-10-01T23:25:38	4372.40	-1703.87	-279.66	81.43	-3.26	7.94
2021-10-01T23:25:40	4364.16	-1692.25	-282.81	79.63	-3.66	7.45
2021-10-01T23:25:42	4355.92	-1680.63	-285.96	77.60	-4.18	7.02
2021-10-01T23:25:44	4347.67	-1669.01	-289.11	75.40	-4.69	6.82
2021-10-01T23:25:46	4339.42	-1657.38	-292.26	72.43	-4.70	6.67
2021-10-01T23:25:48	4331.17	-1645.76	-295.41	68.64	-4.60	6.35
2021-10-01T23:25:50	4322.91	-1634.13	-298.55	65.06	-4.69	5.87
2021-10-01T23:25:52	4314.65	-1622.50	-301.70	61.68	-4.91	5.25
2021-10-01T23:25:54	4306.38	-1610.87	-304.85	58.51	-5.18	4.55
2021-10-01T23:25:56	4298.11	-1599.24	-308.00	55.15	-3.92	3.87
2021-10-01T23:25:58	4289.83	-1587.60	-311.14	51.31	-2.12	3.51
