Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2022-06-23T09:32:50	5334.52	-967.62	-325.79	62.01	-11.10	10.82
2022-06-23T09:32:52	5324.07	-958.60	-327.13	62.12	-11.20	10.89
2022-06-23T09:32:54	5313.62	-949.57	-328.48	62.25	-11.29	10.94
2022-06-23T09:32:56	5303.16	-940.55	-329.82	62.40	-11.38	10.97
2022-06-23T09:32:58	5292.70	-931.53	-331.17	62.57	-11.45	11.00
2022-06-23T09:33:00	5282.24	-922.50	-332.52	62.76	-11.51	11.02
2022-06-23T09:33:02	5271.78	-913.48	-333.86	62.87	-11.53	11.07
2022-06-23T09:33:04	5261.31	-904.45	-335.21	62.88	-11.52	11.19
2022-06-23T09:33:06	5250.84	-895.43	-336.55	62.87	-11.51	11.32
2022-06-23T09:33:08	5240.37	-886.40	-337.90	62.86	-11.49	11.48
2022-06-23T09:33:10	5229.89	-877.37	-339.24	62.82	-11.47	11.67
2022-06-23T09:33:12	5219.41	-868.34	-340.59	62.78	-11.45	11.86
2022-06-23T09:33:14	5208.93	-859.32	-341.93	62.82	-11.49	11.91
2022-06-23T09:33:16	5198.45	-850.29	-343.28	62.89	-11.57	11.82
2022-06-23T09:33:18	5187.96	-841.26	-344.62	62.93	-11.68	11.76
2022-06-23T09:33:20	5177.47	-832.23	-345.97	62.92	-11.82	11.72
2022-06-23T09:33:22	5166.97	-823.20	-347.31	62.89	-11.97	11.71
2022-06-23T09:33:24	5156.47	-814.17	-348.65	62.85	-12.04	11.70
2022-06-23T09:33:26	5145.97	-805.14	-350.00	62.81	-12.03	11.72
2022-06-23T09:33:28	5135.47	-796.10	-351.34	62.99	-11.92	11.68
2022-06-23T09:33:30	5124.96	-787.07	-352.68	63.18	-11.80	11.66
2022-06-23T09:33:32	5114.45	-778.04	-354.02	63.36	-11.69	11.68
2022-06-23T09:33:34	5103.94	-769.01	-355.37	63.53	-11.60	11.72
2022-06-23T09:33:36	5093.42	-759.97	-356.71	63.70	-11.57	11.73
2022-06-23T09:33:38	5082.90	-750.94	-358.05	63.81	-11.56	11.74
2022-06-23T09:33:40	5072.38	-741.90	-359.39	63.86	-11.59	11.75
2022-06-23T09:33:42	5061.85	-732.87	-360.73	63.92	-11.62	11.77
2022-06-23T09:33:44	5051.32	-723.83	-362.07	63.98	-11.65	11.82
2022-06-23T09:33:46	5040.79	-714.79	-363.42	64.09	-11.67	11.86
2022-06-23T09:33:48	5030.25	-705.76	-364.76	64.19	-11.70	11.88
2022-06-23T09:33:50	5019.71	-696.72	-366.10	64.27	-11.73	11.88
2022-06-23T09:33:52	5009.17	-687.68	-367.44	64.35	-11.76	11.85
2022-06-23T09:33:54	4998.62	-678.64	-368.78	64.43	-11.78	11.84
2022-06-23T09:33:56	4988.07	-669.60	-370.12	64.48	-11.82	11.87
2022-06-23T09:33:58	4977.52	-660.56	-371.46	64.54	-11.85	11.92
2022-06-23T09:34:00	4966.96	-651.52	-372.80	64.59	-11.89	11.99
2022-06-23T09:34:02	4956.40	-642.48	-374.13	64.64	-11.94	12.07
2022-06-23T09:34:04	4945.84	-633.44	-375.47	64.69	-11.98	12.18
2022-06-23T09:34:06	4935.27	-624.40	-376.81	64.74	-12.05	12.23
2022-06-23T09:34:08	4924.70	-615.36	-378.15	64.79	-12.20	12.33
2022-06-23T09:34:10	4914.13	-606.31	-379.49	64.84	-12.34	12.42
