Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2022-06-23T09:32:50	5334.52	-967.62	-325.79	81.08	-0.71	-6.51
2022-06-23T09:32:52	5324.07	-958.60	-327.13	81.09	-0.67	-6.47
2022-06-23T09:32:54	5313.62	-949.57	-328.48	81.11	-0.64	-6.43
2022-06-23T09:32:56	5303.16	-940.55	-329.82	81.13	-0.62	-6.40
2022-06-23T09:32:58	5292.70	-931.53	-331.17	81.15	-0.60	-6.37
2022-06-23T09:33:00	5282.24	-922.50	-332.52	81.18	-0.59	-6.35
2022-06-23T09:33:02	5271.78	-913.48	-333.86	81.19	-0.57	-6.30
2022-06-23T09:33:04	5261.31	-904.45	-335.21	81.20	-0.54	-6.23
2022-06-23T09:33:06	5250.84	-895.43	-336.55	81.21	-0.52	-6.17
2022-06-23T09:33:08	5240.37	-886.40	-337.90	81.22	-0.50	-6.10
2022-06-23T09:33:10	5229.89	-877.37	-339.24	81.23	-0.48	-6.04
2022-06-23T09:33:12	5219.41	-868.34	-340.59	81.24	-0.46	-5.98
2022-06-23T09:33:14	5208.93	-859.32	-341.93	81.22	-0.44	-5.90
2022-06-23T09:33:16	5198.45	-850.29	-343.28	81.20	-0.40	-5.83
2022-06-23T09:33:18	5187.96	-841.26	-344.62	81.19	-0.36	-5.76
2022-06-23T09:33:20	5177.47	-832.23	-345.97	81.19	-0.32	-5.69
2022-06-23T09:33:22	5166.97	-823.20	-347.31	81.19	-0.27	-5.62
2022-06-23T09:33:24	5156.47	-814.17	-348.65	81.18	-0.21	-5.55
2022-06-23T09:33:26	5145.97	-805.14	-350.00	81.15	-0.18	-5.47
2022-06-23T09:33:28	5135.47	-796.10	-351.34	81.11	-0.16	-5.40
2022-06-23T09:33:30	5124.96	-787.07	-352.68	81.07	-0.14	-5.33
2022-06-23T09:33:32	5114.45	-778.04	-354.02	81.04	-0.13	-5.26
2022-06-23T09:33:34	5103.94	-769.01	-355.37	81.02	-0.11	-5.19
2022-06-23T09:33:36	5093.42	-759.97	-356.71	81.01	-0.09	-5.13
2022-06-23T09:33:38	5082.90	-750.94	-358.05	81.02	-0.08	-5.06
2022-06-23T09:33:40	5072.38	-741.90	-359.39	81.03	-0.06	-4.99
2022-06-23T09:33:42	5061.85	-732.87	-360.73	81.06	-0.03	-4.91
2022-06-23T09:33:44	5051.32	-723.83	-362.07	81.08	-0.01	-4.83
