Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-18.89	8.71	38.87
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-18.69	8.71	38.62
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-18.49	8.71	38.38
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-18.28	8.70	38.15
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-18.07	8.69	37.93
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-17.86	8.67	37.73
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-17.68	8.66	37.54
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-17.98	8.73	37.39
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-18.29	8.81	37.24
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-18.61	8.90	37.09
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-18.93	8.99	36.94
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-19.25	9.10	36.79
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-19.58	9.20	36.63
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-20.04	9.13	36.25
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-20.53	9.01	35.79
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-21.02	8.90	35.32
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-21.51	8.81	34.84
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-22.00	8.73	34.35
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-22.49	8.67	33.85
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-23.05	8.77	33.52
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-23.64	8.97	33.31
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-24.21	9.15	33.07
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-24.77	9.33	32.85
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-25.32	9.52	32.64
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-25.87	9.71	32.43
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-26.17	9.81	32.09
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-26.12	9.78	31.55
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-26.08	9.76	31.03
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-26.07	9.75	30.52
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-26.07	9.75	30.03
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-26.10	9.77	29.56
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	-26.23	9.83	29.12
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	-26.76	10.10	28.74
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	-27.29	10.36	28.35
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	-27.80	10.60	27.95
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	-28.32	10.82	27.54
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	-28.83	11.03	27.11
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	-29.33	11.23	26.68
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	-29.89	11.61	26.61
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	-30.44	12.00	26.53
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	-30.97	12.38	26.46
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	-31.47	12.75	26.38
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	-31.96	13.13	26.31
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	-32.43	13.50	26.23
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	-32.44	13.44	25.59
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	-32.35	13.28	24.83
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	-32.25	13.12	24.05
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	-32.16	12.95	23.26
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	-32.07	12.79	22.47
