Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-30.11	2.66	20.22
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-30.57	2.95	19.90
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-31.06	3.25	19.59
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-31.56	3.56	19.29
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-32.08	3.89	19.00
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-32.62	4.23	18.72
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-33.21	4.57	18.46
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-34.49	4.50	18.30
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-35.76	4.41	18.14
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-37.02	4.31	17.97
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-38.28	4.18	17.80
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-39.53	4.04	17.62
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-40.77	3.89	17.44
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-41.75	3.96	17.08
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-42.62	4.08	16.66
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-43.44	4.18	16.24
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-44.22	4.29	15.81
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-44.96	4.38	15.39
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-45.66	4.47	14.97
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-46.20	4.77	14.12
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-46.65	5.22	12.98
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-47.21	5.73	11.84
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-47.78	6.24	10.74
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-48.36	6.76	9.67
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-48.96	7.28	8.63
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-49.73	7.92	7.83
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-50.77	8.73	7.36
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-51.76	9.50	6.88
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-52.74	10.23	6.39
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-53.68	10.93	5.90
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-54.59	11.58	5.39
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	-55.45	12.15	4.84
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	-56.15	12.42	4.07
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	-56.87	12.69	3.29
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	-57.59	12.94	2.52
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	-58.32	13.19	1.74
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	-59.06	13.42	0.97
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	-59.81	13.65	0.19
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	-61.23	13.85	-0.19
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	-62.64	14.07	-0.57
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	-64.05	14.32	-0.96
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	-65.45	14.58	-1.35
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	-66.85	14.86	-1.74
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	-68.25	15.15	-2.13
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	-69.11	15.40	-2.43
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	-69.86	15.64	-2.71
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	-70.62	15.90	-3.00
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	-71.41	16.17	-3.28
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	-72.22	16.45	-3.56
2023-06-19T19:18:30	3357.77	-3551.92	1353.37	-73.04	16.75	-3.84
