Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-32.03	4.29	29.61
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-30.41	3.97	29.89
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-28.77	3.65	30.17
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-27.13	3.33	30.45
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-25.48	3.00	30.72
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-23.82	2.68	30.99
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-22.16	2.37	31.25
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-20.58	2.38	31.46
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-19.00	2.38	31.66
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-17.41	2.38	31.87
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-15.82	2.38	32.08
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-14.21	2.37	32.28
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-12.60	2.35	32.49
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-11.25	2.54	32.45
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-9.97	2.80	32.38
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-8.70	3.07	32.32
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-7.43	3.35	32.26
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-6.17	3.63	32.20
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-4.91	3.92	32.15
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-3.89	4.23	32.39
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-3.01	4.56	32.85
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-2.12	4.88	33.31
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-1.23	5.19	33.76
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-0.34	5.47	34.21
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	0.55	5.74	34.64
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	1.29	5.74	34.82
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	1.78	5.32	34.61
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	2.27	4.92	34.39
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	2.77	4.53	34.17
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	3.27	4.15	33.94
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	3.77	3.78	33.70
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	4.24	3.44	33.54
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	4.59	3.17	33.75
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	4.96	2.92	33.95
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	5.32	2.67	34.13
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	5.70	2.42	34.31
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	6.08	2.18	34.47
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	6.47	1.95	34.62
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	6.83	1.83	34.63
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	7.18	1.69	34.64
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	7.52	1.55	34.66
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	7.85	1.40	34.68
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	8.17	1.24	34.71
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	8.47	1.07	34.73
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	8.85	0.99	34.61
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	9.23	0.94	34.47
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	9.62	0.89	34.33
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	10.02	0.83	34.20
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	10.41	0.77	34.08
2023-06-19T19:18:30	3357.77	-3551.92	1353.37	10.81	0.71	33.97
2023-06-19T19:18:32	3356.61	-3542.65	1352.90	11.03	0.51	33.79
2023-06-19T19:18:34	3355.44	-3533.37	1352.43	11.16	0.25	33.56
2023-06-19T19:18:36	3354.27	-3524.10	1351.95	11.30	0.01	33.33
2023-06-19T19:18:38	3353.10	-3514.82	1351.48	11.45	-0.23	33.09
2023-06-19T19:18:40	3351.93	-3505.53	1351.01	11.62	-0.46	32.83
2023-06-19T19:18:42	3350.76	-3496.25	1350.53	11.79	-0.68	32.58
2023-06-19T19:18:44	3349.58	-3486.96	1350.05	11.86	-0.85	32.60
2023-06-19T19:18:46	3348.40	-3477.67	1349.57	11.78	-0.99	32.96
2023-06-19T19:18:48	3347.22	-3468.38	1349.09	11.69	-1.13	33.31
2023-06-19T19:18:50	3346.04	-3459.08	1348.61	11.59	-1.28	33.66
2023-06-19T19:18:52	3344.85	-3449.78	1348.13	11.48	-1.43	34.01
2023-06-19T19:18:54	3343.66	-3440.49	1347.65	11.36	-1.58	34.35
2023-06-19T19:18:56	3342.47	-3431.18	1347.17	11.18	-1.65	34.61
2023-06-19T19:18:58	3341.28	-3421.88	1346.68	10.93	-1.53	34.69
2023-06-19T19:19:00	3340.08	-3412.57	1346.20	10.69	-1.42	34.76
2023-06-19T19:19:02	3338.89	-3403.26	1345.71	10.44	-1.32	34.83
2023-06-19T19:19:04	3337.69	-3393.95	1345.23	10.20	-1.22	34.89
2023-06-19T19:19:06	3336.49	-3384.64	1344.74	9.96	-1.12	34.94
2023-06-19T19:19:08	3335.28	-3375.32	1344.25	9.78	-1.04	35.01
2023-06-19T19:19:10	3334.07	-3366.00	1343.76	9.80	-0.99	35.15
2023-06-19T19:19:12	3332.86	-3356.68	1343.27	9.84	-0.92	35.32
2023-06-19T19:19:14	3331.65	-3347.35	1342.78	9.87	-0.85	35.48
2023-06-19T19:19:16	3330.44	-3338.02	1342.28	9.89	-0.78	35.65
2023-06-19T19:19:18	3329.22	-3328.69	1341.79	9.89	-0.71	35.81
2023-06-19T19:19:20	3328.00	-3319.36	1341.29	9.85	-0.64	35.94
2023-06-19T19:19:22	3326.78	-3310.03	1340.80	9.57	-0.44	35.41
2023-06-19T19:19:24	3325.56	-3300.69	1340.30	9.29	-0.26	34.88
2023-06-19T19:19:26	3324.33	-3291.35	1339.80	9.01	-0.08	34.37
2023-06-19T19:19:28	3323.10	-3282.01	1339.31	8.73	0.08	33.87
2023-06-19T19:19:30	3321.87	-3272.66	1338.81	8.45	0.24	33.38
2023-06-19T19:19:32	3320.64	-3263.32	1338.31	8.18	0.38	32.89
2023-06-19T19:19:34	3319.40	-3253.97	1337.80	8.05	0.64	32.64
2023-06-19T19:19:36	3318.16	-3244.61	1337.30	7.93	0.91	32.41
2023-06-19T19:19:38	3316.92	-3235.26	1336.80	7.81	1.18	32.19
2023-06-19T19:19:40	3315.67	-3225.90	1336.29	7.68	1.45	31.99
2023-06-19T19:19:42	3314.43	-3216.54	1335.79	7.55	1.71	31.79
2023-06-19T19:19:44	3313.18	-3207.18	1335.28	7.41	1.98	31.61
2023-06-19T19:19:46	3311.92	-3197.82	1334.77	7.20	2.11	31.51
2023-06-19T19:19:48	3310.67	-3188.45	1334.26	6.99	2.21	31.40
2023-06-19T19:19:50	3309.41	-3179.08	1333.75	6.78	2.32	31.27
2023-06-19T19:19:52	3308.15	-3169.71	1333.24	6.58	2.44	31.13
2023-06-19T19:19:54	3306.89	-3160.33	1332.73	6.39	2.56	30.98
2023-06-19T19:19:56	3305.62	-3150.95	1332.21	6.21	2.69	30.81
2023-06-19T19:19:58	3304.35	-3141.57	1331.70	5.81	2.87	30.64
2023-06-19T19:20:00	3303.08	-3132.19	1331.18	5.31	3.06	30.49
2023-06-19T19:20:02	3301.81	-3122.80	1330.66	4.79	3.26	30.37
2023-06-19T19:20:04	3300.53	-3113.41	1330.15	4.25	3.44	30.27
2023-06-19T19:20:06	3299.26	-3104.02	1329.63	3.71	3.63	30.19
2023-06-19T19:20:08	3297.97	-3094.63	1329.11	3.15	3.80	30.13
2023-06-19T19:20:10	3296.69	-3085.23	1328.58	2.67	3.97	30.00
2023-06-19T19:20:12	3295.40	-3075.83	1328.06	2.24	4.13	29.82
2023-06-19T19:20:14	3294.11	-3066.43	1327.54	1.80	4.30	29.64
2023-06-19T19:20:16	3292.82	-3057.03	1327.01	1.35	4.47	29.44
2023-06-19T19:20:18	3291.53	-3047.62	1326.49	0.90	4.65	29.24
2023-06-19T19:20:20	3290.23	-3038.21	1325.96	0.43	4.83	29.03
2023-06-19T19:20:22	3288.93	-3028.80	1325.43	-0.16	4.94	28.86
2023-06-19T19:20:24	3287.62	-3019.39	1324.90	-0.83	4.98	28.72
2023-06-19T19:20:26	3286.32	-3009.97	1324.37	-1.49	5.01	28.57
2023-06-19T19:20:28	3285.01	-3000.55	1323.84	-2.14	5.04	28.42
2023-06-19T19:20:30	3283.69	-2991.13	1323.31	-2.79	5.06	28.25
2023-06-19T19:20:32	3282.38	-2981.70	1322.78	-3.43	5.07	28.08
2023-06-19T19:20:34	3281.06	-2972.27	1322.24	-3.91	5.20	27.97
2023-06-19T19:20:36	3279.74	-2962.85	1321.70	-4.21	5.47	27.95
2023-06-19T19:20:38	3278.42	-2953.41	1321.16	-4.52	5.76	27.96
2023-06-19T19:20:40	3277.09	-2943.98	1320.63	-4.83	6.05	28.00
2023-06-19T19:20:42	3275.76	-2934.54	1320.09	-5.13	6.36	28.07
2023-06-19T19:20:44	3274.43	-2925.10	1319.54	-5.44	6.67	28.14
2023-06-19T19:20:46	3273.09	-2915.65	1319.00	-5.80	6.85	27.92
2023-06-19T19:20:48	3271.75	-2906.21	1318.46	-6.24	6.84	27.22
2023-06-19T19:20:50	3270.41	-2896.76	1317.91	-6.66	6.84	26.51
2023-06-19T19:20:52	3269.07	-2887.31	1317.37	-7.09	6.84	25.80
2023-06-19T19:20:54	3267.72	-2877.85	1316.82	-7.50	6.86	25.07
2023-06-19T19:20:56	3266.37	-2868.39	1316.27	-7.91	6.88	24.34
2023-06-19T19:20:58	3265.02	-2858.93	1315.72	-8.25	6.93	23.85
2023-06-19T19:21:00	3263.66	-2849.47	1315.17	-8.48	7.02	23.78
2023-06-19T19:21:02	3262.30	-2840.01	1314.62	-8.69	7.09	23.69
2023-06-19T19:21:04	3260.94	-2830.54	1314.07	-8.90	7.16	23.58
2023-06-19T19:21:06	3259.57	-2821.07	1313.51	-9.09	7.22	23.44
2023-06-19T19:21:08	3258.20	-2811.59	1312.95	-9.28	7.27	23.27
2023-06-19T19:21:10	3256.83	-2802.12	1312.40	-9.74	7.27	23.23
2023-06-19T19:21:12	3255.46	-2792.64	1311.84	-10.84	7.18	23.54
2023-06-19T19:21:14	3254.08	-2783.16	1311.28	-11.94	7.06	23.87
2023-06-19T19:21:16	3252.70	-2773.67	1310.72	-13.04	6.91	24.21
2023-06-19T19:21:18	3251.31	-2764.19	1310.16	-14.14	6.73	24.56
2023-06-19T19:21:20	3249.92	-2754.69	1309.59	-15.23	6.53	24.93
2023-06-19T19:21:22	3248.53	-2745.20	1309.03	-16.28	6.40	25.26
2023-06-19T19:21:24	3247.14	-2735.71	1308.46	-17.22	6.53	25.44
2023-06-19T19:21:26	3245.74	-2726.21	1307.89	-18.18	6.66	25.63
2023-06-19T19:21:28	3244.34	-2716.71	1307.33	-19.17	6.81	25.83
2023-06-19T19:21:30	3242.94	-2707.20	1306.75	-20.20	6.97	26.06
2023-06-19T19:21:32	3241.53	-2697.70	1306.18	-21.24	7.13	26.29
2023-06-19T19:21:34	3240.12	-2688.19	1305.61	-22.19	7.32	26.50
2023-06-19T19:21:36	3238.71	-2678.68	1305.03	-22.81	7.51	26.62
2023-06-19T19:21:38	3237.29	-2669.16	1304.46	-23.40	7.71	26.74
2023-06-19T19:21:40	3235.87	-2659.64	1303.88	-23.98	7.90	26.85
2023-06-19T19:21:42	3234.45	-2650.12	1303.30	-24.54	8.10	26.96
2023-06-19T19:21:44	3233.02	-2640.60	1302.73	-25.09	8.30	27.07
2023-06-19T19:21:46	3231.59	-2631.07	1302.15	-25.58	8.52	27.15
2023-06-19T19:21:48	3230.15	-2621.55	1301.56	-25.98	8.79	27.14
2023-06-19T19:21:50	3228.72	-2612.02	1300.98	-26.40	9.07	27.13
2023-06-19T19:21:52	3227.28	-2602.48	1300.39	-26.82	9.36	27.10
2023-06-19T19:21:54	3225.84	-2592.94	1299.81	-27.25	9.66	27.06
2023-06-19T19:21:56	3224.39	-2583.40	1299.22	-27.70	9.96	27.01
2023-06-19T19:21:58	3222.94	-2573.86	1298.63	-28.20	10.31	27.04
2023-06-19T19:22:00	3221.48	-2564.32	1298.04	-28.83	10.74	27.35
2023-06-19T19:22:02	3220.02	-2554.77	1297.45	-29.44	11.17	27.68
2023-06-19T19:22:04	3218.56	-2545.22	1296.85	-30.07	11.57	28.06
2023-06-19T19:22:06	3217.10	-2535.66	1296.25	-30.74	11.95	28.49
2023-06-19T19:22:08	3215.63	-2526.11	1295.66	-31.44	12.32	28.93
2023-06-19T19:22:10	3214.16	-2516.55	1295.06	-32.33	12.66	29.50
2023-06-19T19:22:12	3212.68	-2506.98	1294.46	-33.66	12.98	30.39
2023-06-19T19:22:14	3211.21	-2497.42	1293.86	-34.98	13.26	31.26
2023-06-19T19:22:16	3209.72	-2487.85	1293.26	-36.27	13.52	32.11
2023-06-19T19:22:18	3208.24	-2478.28	1292.66	-37.55	13.75	32.92
