Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-8.19	0.17	11.20
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-9.57	0.22	11.39
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-10.97	0.27	11.58
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-12.38	0.31	11.77
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-13.80	0.35	11.95
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-15.23	0.38	12.14
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-16.67	0.39	12.31
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-18.14	0.19	12.37
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-19.60	-0.00	12.44
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-21.06	-0.19	12.52
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-22.51	-0.38	12.61
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-23.95	-0.56	12.70
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-25.39	-0.74	12.81
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-26.84	-0.45	12.87
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-28.27	-0.04	12.91
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-29.67	0.39	12.94
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-31.05	0.83	12.96
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-32.41	1.29	12.97
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-33.75	1.76	12.97
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-34.98	2.26	12.86
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-36.16	2.77	12.67
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-37.35	3.27	12.48
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-38.53	3.78	12.31
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-39.71	4.28	12.14
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-40.89	4.79	11.97
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-42.02	5.17	11.77
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-43.06	5.35	11.49
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-44.08	5.51	11.23
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-45.08	5.67	10.98
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-46.07	5.82	10.73
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-47.03	5.95	10.49
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	-47.99	6.10	10.38
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	-48.93	6.30	10.83
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	-49.90	6.51	11.26
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	-50.88	6.72	11.66
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	-51.88	6.93	12.03
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	-52.89	7.15	12.38
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	-53.92	7.36	12.70
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	-54.86	7.50	12.17
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	-55.82	7.63	11.64
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	-56.79	7.76	11.14
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	-57.79	7.88	10.66
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	-58.81	7.99	10.20
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	-59.85	8.10	9.76
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	-60.57	8.18	9.37
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	-61.23	8.27	8.99
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	-61.90	8.36	8.62
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	-62.58	8.46	8.25
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	-63.28	8.56	7.90
2023-06-19T19:18:30	3357.77	-3551.92	1353.37	-63.98	8.68	7.55
2023-06-19T19:18:32	3356.61	-3542.65	1352.90	-64.39	8.79	7.14
2023-06-19T19:18:34	3355.44	-3533.37	1352.43	-64.61	8.89	6.69
2023-06-19T19:18:36	3354.27	-3524.10	1351.95	-64.83	8.97	6.23
2023-06-19T19:18:38	3353.10	-3514.82	1351.48	-65.03	9.05	5.76
2023-06-19T19:18:40	3351.93	-3505.53	1351.01	-65.21	9.13	5.28
2023-06-19T19:18:42	3350.76	-3496.25	1350.53	-65.39	9.19	4.79
2023-06-19T19:18:44	3349.58	-3486.96	1350.05	-65.60	9.25	4.33
2023-06-19T19:18:46	3348.40	-3477.67	1349.57	-65.85	9.30	3.89
2023-06-19T19:18:48	3347.22	-3468.38	1349.09	-66.10	9.35	3.45
2023-06-19T19:18:50	3346.04	-3459.08	1348.61	-66.34	9.40	3.02
2023-06-19T19:18:52	3344.85	-3449.78	1348.13	-66.58	9.45	2.59
2023-06-19T19:18:54	3343.66	-3440.49	1347.65	-66.81	9.50	2.16
2023-06-19T19:18:56	3342.47	-3431.18	1347.17	-67.07	9.60	1.88
2023-06-19T19:18:58	3341.28	-3421.88	1346.68	-67.39	9.83	1.89
2023-06-19T19:19:00	3340.08	-3412.57	1346.20	-67.71	10.06	1.91
2023-06-19T19:19:02	3338.89	-3403.26	1345.71	-68.04	10.29	1.93
2023-06-19T19:19:04	3337.69	-3393.95	1345.23	-68.37	10.52	1.94
2023-06-19T19:19:06	3336.49	-3384.64	1344.74	-68.71	10.74	1.96
2023-06-19T19:19:08	3335.28	-3375.32	1344.25	-69.00	10.96	1.95
2023-06-19T19:19:10	3334.07	-3366.00	1343.76	-69.04	11.11	1.88
2023-06-19T19:19:12	3332.86	-3356.68	1343.27	-69.06	11.26	1.80
2023-06-19T19:19:14	3331.65	-3347.35	1342.78	-69.08	11.42	1.70
2023-06-19T19:19:16	3330.44	-3338.02	1342.28	-69.10	11.58	1.61
2023-06-19T19:19:18	3329.22	-3328.69	1341.79	-69.13	11.74	1.51
2023-06-19T19:19:20	3328.00	-3319.36	1341.29	-69.16	11.90	1.42
2023-06-19T19:19:22	3326.78	-3310.03	1340.80	-69.33	12.16	1.40
2023-06-19T19:19:24	3325.56	-3300.69	1340.30	-69.49	12.42	1.40
2023-06-19T19:19:26	3324.33	-3291.35	1339.80	-69.66	12.68	1.39
2023-06-19T19:19:28	3323.10	-3282.01	1339.31	-69.83	12.93	1.40
2023-06-19T19:19:30	3321.87	-3272.66	1338.81	-70.01	13.18	1.41
2023-06-19T19:19:32	3320.64	-3263.32	1338.31	-70.19	13.44	1.42
2023-06-19T19:19:34	3319.40	-3253.97	1337.80	-70.26	13.50	1.37
2023-06-19T19:19:36	3318.16	-3244.61	1337.30	-70.31	13.55	1.30
2023-06-19T19:19:38	3316.92	-3235.26	1336.80	-70.37	13.60	1.23
2023-06-19T19:19:40	3315.67	-3225.90	1336.29	-70.42	13.66	1.16
2023-06-19T19:19:42	3314.43	-3216.54	1335.79	-70.47	13.71	1.09
2023-06-19T19:19:44	3313.18	-3207.18	1335.28	-70.52	13.78	1.01
2023-06-19T19:19:46	3311.92	-3197.82	1334.77	-70.62	13.85	1.03
2023-06-19T19:19:48	3310.67	-3188.45	1334.26	-70.72	13.92	1.08
