Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-30.41	10.75	44.68
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-29.50	10.31	45.19
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-28.60	9.86	45.72
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-27.70	9.40	46.27
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-26.82	8.93	46.83
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-25.94	8.44	47.41
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-25.05	7.94	47.98
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-23.92	7.60	47.92
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-22.79	7.25	47.85
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-21.65	6.89	47.79
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-20.52	6.53	47.73
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-19.38	6.15	47.67
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-18.24	5.77	47.62
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-17.27	5.72	47.31
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-16.34	5.77	46.93
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-15.40	5.84	46.54
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-14.44	5.92	46.16
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-13.48	6.01	45.77
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-12.50	6.12	45.37
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-11.78	5.94	45.34
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-11.24	5.54	45.54
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-10.72	5.15	45.71
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-10.20	4.75	45.87
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-9.67	4.34	46.02
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-9.14	3.93	46.16
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-8.66	3.60	46.17
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-8.24	3.42	45.97
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-7.81	3.25	45.78
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-7.37	3.08	45.60
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-6.92	2.92	45.42
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-6.47	2.76	45.26
