Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-7.14	8.37	17.71
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-7.18	8.41	17.78
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-7.22	8.44	17.85
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-7.27	8.48	17.93
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-7.32	8.51	18.00
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-7.36	8.55	18.07
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-7.41	8.59	18.14
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-7.45	8.62	18.22
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-7.50	8.66	18.29
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-7.55	8.70	18.36
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-7.59	8.73	18.44
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-7.64	8.77	18.51
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-7.69	8.81	18.59
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-7.74	8.85	18.66
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-7.79	8.88	18.74
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-7.84	8.92	18.81
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-7.89	8.96	18.89
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-7.94	9.00	18.97
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-7.99	9.04	19.04
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-8.04	9.07	19.12
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-8.09	9.11	19.20
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-8.14	9.15	19.28
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-8.19	9.19	19.36
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-8.24	9.23	19.44
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-8.30	9.27	19.52
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-8.35	9.31	19.60
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-8.40	9.35	19.68
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-8.46	9.39	19.76
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-8.51	9.43	19.84
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-8.56	9.47	19.92
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-8.62	9.51	20.00
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	-8.67	9.55	20.09
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	-8.73	9.59	20.17
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	-8.79	9.63	20.25
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	-8.84	9.67	20.34
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	-8.90	9.71	20.42
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	-8.96	9.75	20.51
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	-9.01	9.79	20.59
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	-9.07	9.84	20.68
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	-9.13	9.88	20.76
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	-9.19	9.92	20.85
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	-9.25	9.96	20.94
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	-9.31	10.00	21.02
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	-9.37	10.05	21.11
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	-9.43	10.09	21.20
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	-9.49	10.13	21.29
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	-9.55	10.17	21.38
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	-9.62	10.22	21.47
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	-9.68	10.26	21.56
2023-06-19T19:18:30	3357.77	-3551.92	1353.37	-9.74	10.30	21.65
2023-06-19T19:18:32	3356.61	-3542.65	1352.90	-9.80	10.35	21.74
2023-06-19T19:18:34	3355.44	-3533.37	1352.43	-9.87	10.39	21.83
2023-06-19T19:18:36	3354.27	-3524.10	1351.95	-9.93	10.44	21.92
2023-06-19T19:18:38	3353.10	-3514.82	1351.48	-10.00	10.48	22.02
2023-06-19T19:18:40	3351.93	-3505.53	1351.01	-10.06	10.52	22.11
2023-06-19T19:18:42	3350.76	-3496.25	1350.53	-10.13	10.57	22.20
2023-06-19T19:18:44	3349.58	-3486.96	1350.05	-10.20	10.61	22.30
2023-06-19T19:18:46	3348.40	-3477.67	1349.57	-10.26	10.66	22.39
2023-06-19T19:18:48	3347.22	-3468.38	1349.09	-10.33	10.70	22.49
2023-06-19T19:18:50	3346.04	-3459.08	1348.61	-10.40	10.75	22.58
2023-06-19T19:18:52	3344.85	-3449.78	1348.13	-10.47	10.80	22.68
2023-06-19T19:18:54	3343.66	-3440.49	1347.65	-10.54	10.84	22.78
2023-06-19T19:18:56	3342.47	-3431.18	1347.17	-10.61	10.89	22.87
2023-06-19T19:18:58	3341.28	-3421.88	1346.68	-10.68	10.93	22.97
2023-06-19T19:19:00	3340.08	-3412.57	1346.20	-10.75	10.98	23.07
2023-06-19T19:19:02	3338.89	-3403.26	1345.71	-10.82	11.03	23.17
2023-06-19T19:19:04	3337.69	-3393.95	1345.23	-10.89	11.07	23.27
2023-06-19T19:19:06	3336.49	-3384.64	1344.74	-10.96	11.12	23.37
2023-06-19T19:19:08	3335.28	-3375.32	1344.25	-11.03	11.17	23.47
2023-06-19T19:19:10	3334.07	-3366.00	1343.76	-11.11	11.21	23.57
2023-06-19T19:19:12	3332.86	-3356.68	1343.27	-11.18	11.26	23.67
2023-06-19T19:19:14	3331.65	-3347.35	1342.78	-11.25	11.31	23.77
2023-06-19T19:19:16	3330.44	-3338.02	1342.28	-11.33	11.35	23.87
2023-06-19T19:19:18	3329.22	-3328.69	1341.79	-11.40	11.40	23.98
2023-06-19T19:19:20	3328.00	-3319.36	1341.29	-11.48	11.45	24.08
2023-06-19T19:19:22	3326.78	-3310.03	1340.80	-11.56	11.50	24.19
2023-06-19T19:19:24	3325.56	-3300.69	1340.30	-11.63	11.55	24.29
2023-06-19T19:19:26	3324.33	-3291.35	1339.80	-11.71	11.60	24.40
2023-06-19T19:19:28	3323.10	-3282.01	1339.31	-11.79	11.64	24.50
2023-06-19T19:19:30	3321.87	-3272.66	1338.81	-11.87	11.69	24.61
2023-06-19T19:19:32	3320.64	-3263.32	1338.31	-11.95	11.74	24.71
2023-06-19T19:19:34	3319.40	-3253.97	1337.80	-12.03	11.79	24.82
2023-06-19T19:19:36	3318.16	-3244.61	1337.30	-12.11	11.84	24.93
2023-06-19T19:19:38	3316.92	-3235.26	1336.80	-12.19	11.89	25.04
2023-06-19T19:19:40	3315.67	-3225.90	1336.29	-12.27	11.94	25.15
2023-06-19T19:19:42	3314.43	-3216.54	1335.79	-12.35	11.99	25.26
2023-06-19T19:19:44	3313.18	-3207.18	1335.28	-12.44	12.04	25.37
2023-06-19T19:19:46	3311.92	-3197.82	1334.77	-12.52	12.09	25.48
2023-06-19T19:19:48	3310.67	-3188.45	1334.26	-12.61	12.14	25.59
2023-06-19T19:19:50	3309.41	-3179.08	1333.75	-12.69	12.19	25.70
2023-06-19T19:19:52	3308.15	-3169.71	1333.24	-12.78	12.24	25.82
2023-06-19T19:19:54	3306.89	-3160.33	1332.73	-12.86	12.29	25.93
2023-06-19T19:19:56	3305.62	-3150.95	1332.21	-12.95	12.34	26.04
2023-06-19T19:19:58	3304.35	-3141.57	1331.70	-13.04	12.39	26.16
2023-06-19T19:20:00	3303.08	-3132.19	1331.18	-13.13	12.45	26.27
2023-06-19T19:20:02	3301.81	-3122.80	1330.66	-13.21	12.50	26.39
