Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2023-06-19T19:16:52	3412.20	-4003.44	1375.44	-5.83	6.83	16.72
2023-06-19T19:16:54	3411.13	-3994.28	1375.00	-5.86	6.86	16.79
2023-06-19T19:16:56	3410.07	-3985.12	1374.57	-5.90	6.90	16.86
2023-06-19T19:16:58	3409.00	-3975.95	1374.14	-5.94	6.93	16.93
2023-06-19T19:17:00	3407.93	-3966.79	1373.71	-5.98	6.96	17.00
2023-06-19T19:17:02	3406.86	-3957.62	1373.27	-6.01	6.99	17.07
2023-06-19T19:17:04	3405.79	-3948.45	1372.84	-6.05	7.02	17.14
2023-06-19T19:17:06	3404.71	-3939.28	1372.40	-6.09	7.05	17.22
2023-06-19T19:17:08	3403.64	-3930.10	1371.97	-6.13	7.08	17.29
2023-06-19T19:17:10	3402.56	-3920.92	1371.53	-6.17	7.11	17.36
2023-06-19T19:17:12	3401.48	-3911.74	1371.09	-6.21	7.14	17.43
2023-06-19T19:17:14	3400.39	-3902.56	1370.65	-6.25	7.17	17.51
2023-06-19T19:17:16	3399.31	-3893.37	1370.21	-6.29	7.20	17.58
2023-06-19T19:17:18	3398.22	-3884.18	1369.77	-6.33	7.24	17.65
2023-06-19T19:17:20	3397.13	-3875.00	1369.33	-6.37	7.27	17.73
2023-06-19T19:17:22	3396.05	-3865.80	1368.89	-6.41	7.30	17.80
2023-06-19T19:17:24	3394.95	-3856.61	1368.45	-6.45	7.33	17.88
2023-06-19T19:17:26	3393.86	-3847.41	1368.00	-6.50	7.36	17.95
2023-06-19T19:17:28	3392.76	-3838.22	1367.56	-6.54	7.40	18.03
2023-06-19T19:17:30	3391.66	-3829.02	1367.11	-6.58	7.43	18.11
2023-06-19T19:17:32	3390.56	-3819.82	1366.67	-6.62	7.46	18.18
2023-06-19T19:17:34	3389.46	-3810.61	1366.22	-6.67	7.50	18.26
2023-06-19T19:17:36	3388.36	-3801.40	1365.78	-6.71	7.53	18.34
2023-06-19T19:17:38	3387.25	-3792.19	1365.33	-6.75	7.56	18.41
2023-06-19T19:17:40	3386.14	-3782.98	1364.88	-6.80	7.60	18.49
2023-06-19T19:17:42	3385.03	-3773.76	1364.43	-6.84	7.63	18.57
2023-06-19T19:17:44	3383.92	-3764.55	1363.98	-6.89	7.66	18.65
2023-06-19T19:17:46	3382.81	-3755.33	1363.53	-6.93	7.70	18.73
2023-06-19T19:17:48	3381.69	-3746.11	1363.07	-6.98	7.73	18.81
2023-06-19T19:17:50	3380.57	-3736.88	1362.62	-7.02	7.76	18.89
2023-06-19T19:17:52	3379.45	-3727.66	1362.16	-7.07	7.80	18.97
2023-06-19T19:17:54	3378.33	-3718.43	1361.71	-7.12	7.83	19.05
2023-06-19T19:17:56	3377.21	-3709.20	1361.25	-7.16	7.87	19.13
2023-06-19T19:17:58	3376.08	-3699.97	1360.80	-7.21	7.90	19.22
2023-06-19T19:18:00	3374.95	-3690.73	1360.34	-7.26	7.94	19.30
2023-06-19T19:18:02	3373.82	-3681.50	1359.88	-7.31	7.97	19.38
2023-06-19T19:18:04	3372.69	-3672.26	1359.42	-7.35	8.01	19.47
2023-06-19T19:18:06	3371.56	-3663.01	1358.96	-7.40	8.04	19.55
2023-06-19T19:18:08	3370.42	-3653.77	1358.50	-7.45	8.08	19.63
2023-06-19T19:18:10	3369.28	-3644.52	1358.04	-7.50	8.11	19.72
2023-06-19T19:18:12	3368.14	-3635.27	1357.58	-7.55	8.15	19.80
2023-06-19T19:18:14	3366.99	-3626.02	1357.11	-7.60	8.19	19.89
2023-06-19T19:18:16	3365.85	-3616.77	1356.65	-7.65	8.22	19.98
2023-06-19T19:18:18	3364.70	-3607.51	1356.18	-7.70	8.26	20.06
2023-06-19T19:18:20	3363.55	-3598.25	1355.72	-7.75	8.30	20.15
2023-06-19T19:18:22	3362.40	-3588.99	1355.25	-7.81	8.33	20.24
2023-06-19T19:18:24	3361.24	-3579.73	1354.78	-7.86	8.37	20.33
2023-06-19T19:18:26	3360.09	-3570.46	1354.31	-7.91	8.41	20.42
2023-06-19T19:18:28	3358.93	-3561.19	1353.84	-7.96	8.44	20.50
2023-06-19T19:18:30	3357.77	-3551.92	1353.37	-8.02	8.48	20.59
2023-06-19T19:18:32	3356.61	-3542.65	1352.90	-8.07	8.52	20.68
2023-06-19T19:18:34	3355.44	-3533.37	1352.43	-8.13	8.56	20.78
2023-06-19T19:18:36	3354.27	-3524.10	1351.95	-8.18	8.59	20.87
2023-06-19T19:18:38	3353.10	-3514.82	1351.48	-8.23	8.63	20.96
2023-06-19T19:18:40	3351.93	-3505.53	1351.01	-8.29	8.67	21.05
2023-06-19T19:18:42	3350.76	-3496.25	1350.53	-8.35	8.71	21.14
2023-06-19T19:18:44	3349.58	-3486.96	1350.05	-8.40	8.75	21.24
2023-06-19T19:18:46	3348.40	-3477.67	1349.57	-8.46	8.79	21.33
2023-06-19T19:18:48	3347.22	-3468.38	1349.09	-8.52	8.82	21.42
2023-06-19T19:18:50	3346.04	-3459.08	1348.61	-8.57	8.86	21.52
2023-06-19T19:18:52	3344.85	-3449.78	1348.13	-8.63	8.90	21.61
2023-06-19T19:18:54	3343.66	-3440.49	1347.65	-8.69	8.94	21.71
2023-06-19T19:18:56	3342.47	-3431.18	1347.17	-8.75	8.98	21.81
2023-06-19T19:18:58	3341.28	-3421.88	1346.68	-8.81	9.02	21.90
2023-06-19T19:19:00	3340.08	-3412.57	1346.20	-8.87	9.06	22.00
2023-06-19T19:19:02	3338.89	-3403.26	1345.71	-8.93	9.10	22.10
2023-06-19T19:19:04	3337.69	-3393.95	1345.23	-8.99	9.14	22.20
2023-06-19T19:19:06	3336.49	-3384.64	1344.74	-9.05	9.18	22.29
2023-06-19T19:19:08	3335.28	-3375.32	1344.25	-9.11	9.22	22.39
2023-06-19T19:19:10	3334.07	-3366.00	1343.76	-9.17	9.26	22.49
2023-06-19T19:19:12	3332.86	-3356.68	1343.27	-9.24	9.30	22.59
2023-06-19T19:19:14	3331.65	-3347.35	1342.78	-9.30	9.34	22.70
2023-06-19T19:19:16	3330.44	-3338.02	1342.28	-9.36	9.39	22.80
2023-06-19T19:19:18	3329.22	-3328.69	1341.79	-9.43	9.43	22.90
2023-06-19T19:19:20	3328.00	-3319.36	1341.29	-9.49	9.47	23.00
2023-06-19T19:19:22	3326.78	-3310.03	1340.80	-9.56	9.51	23.11
2023-06-19T19:19:24	3325.56	-3300.69	1340.30	-9.62	9.55	23.21
2023-06-19T19:19:26	3324.33	-3291.35	1339.80	-9.69	9.59	23.31
2023-06-19T19:19:28	3323.10	-3282.01	1339.31	-9.76	9.64	23.42
2023-06-19T19:19:30	3321.87	-3272.66	1338.81	-9.82	9.68	23.53
2023-06-19T19:19:32	3320.64	-3263.32	1338.31	-9.89	9.72	23.63
2023-06-19T19:19:34	3319.40	-3253.97	1337.80	-9.96	9.76	23.74
2023-06-19T19:19:36	3318.16	-3244.61	1337.30	-10.03	9.81	23.85
2023-06-19T19:19:38	3316.92	-3235.26	1336.80	-10.10	9.85	23.95
2023-06-19T19:19:40	3315.67	-3225.90	1336.29	-10.17	9.89	24.06
2023-06-19T19:19:42	3314.43	-3216.54	1335.79	-10.24	9.94	24.17
2023-06-19T19:19:44	3313.18	-3207.18	1335.28	-10.31	9.98	24.28
2023-06-19T19:19:46	3311.92	-3197.82	1334.77	-10.38	10.02	24.39
