Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2024-09-05T07:38:06	1157.16	-1700.05	5030.58	17.66	-11.33	4.40
2024-09-05T07:38:08	1155.60	-1693.56	5026.31	17.30	-11.52	3.96
2024-09-05T07:38:10	1154.04	-1687.07	5022.03	16.87	-11.65	3.57
2024-09-05T07:38:12	1152.48	-1680.57	5017.75	16.41	-11.75	3.23
2024-09-05T07:38:14	1150.92	-1674.08	5013.47	15.92	-11.82	2.94
2024-09-05T07:38:16	1149.36	-1667.59	5009.18	15.40	-11.85	2.70
2024-09-05T07:38:18	1147.80	-1661.09	5004.90	14.86	-11.84	2.51
2024-09-05T07:38:20	1146.24	-1654.60	5000.60	14.24	-11.50	2.29
2024-09-05T07:38:22	1144.68	-1648.10	4996.31	13.68	-11.16	2.09
2024-09-05T07:38:24	1143.11	-1641.60	4992.01	13.17	-10.83	1.91
2024-09-05T07:38:26	1141.55	-1635.10	4987.71	12.71	-10.51	1.74
2024-09-05T07:38:28	1139.99	-1628.60	4983.41	12.30	-10.18	1.58
2024-09-05T07:38:30	1138.42	-1622.10	4979.11	11.93	-9.85	1.43
2024-09-05T07:38:32	1136.86	-1615.60	4974.80	11.61	-9.52	1.27
2024-09-05T07:38:34	1135.29	-1609.09	4970.48	11.25	-9.17	1.06
2024-09-05T07:38:36	1133.72	-1602.59	4966.17	10.85	-8.81	0.75
2024-09-05T07:38:38	1132.16	-1596.08	4961.85	10.47	-8.53	0.39
2024-09-05T07:38:40	1130.59	-1589.58	4957.54	10.07	-8.25	0.05
2024-09-05T07:38:42	1129.02	-1583.07	4953.21	9.66	-7.97	-0.29
2024-09-05T07:38:44	1127.45	-1576.56	4948.89	9.22	-7.69	-0.61
2024-09-05T07:38:46	1125.88	-1570.06	4944.56	8.77	-7.40	-0.94
2024-09-05T07:38:48	1124.31	-1563.55	4940.23	8.30	-7.11	-1.26
2024-09-05T07:38:50	1122.74	-1557.04	4935.89	7.80	-6.80	-1.59
2024-09-05T07:38:52	1121.17	-1550.52	4931.56	7.28	-6.48	-1.92
2024-09-05T07:38:54	1119.59	-1544.01	4927.22	6.67	-6.14	-2.21
2024-09-05T07:38:56	1118.02	-1537.50	4922.87	5.97	-5.76	-2.45
2024-09-05T07:38:58	1116.45	-1530.99	4918.53	5.27	-5.38	-2.70
2024-09-05T07:39:00	1114.87	-1524.47	4914.18	4.56	-4.98	-2.96
2024-09-05T07:39:02	1113.30	-1517.96	4909.83	3.84	-4.57	-3.27
2024-09-05T07:39:04	1111.72	-1511.44	4905.47	3.12	-4.17	-3.58
2024-09-05T07:39:06	1110.15	-1504.92	4901.11	2.41	-3.76	-3.89
2024-09-05T07:39:08	1108.57	-1498.40	4896.75	1.70	-3.36	-4.22
2024-09-05T07:39:10	1106.99	-1491.88	4892.39	1.00	-2.96	-4.55
2024-09-05T07:39:12	1105.42	-1485.36	4888.02	0.28	-2.60	-4.86
2024-09-05T07:39:14	1103.83	-1478.84	4883.65	-0.47	-2.25	-5.15
2024-09-05T07:39:16	1102.26	-1472.32	4879.28	-1.24	-1.90	-5.43
2024-09-05T07:39:18	1100.68	-1465.79	4874.90	-2.03	-1.54	-5.69
2024-09-05T07:39:20	1099.10	-1459.27	4870.52	-2.82	-1.18	-5.96
2024-09-05T07:39:22	1097.51	-1452.74	4866.14	-3.62	-0.82	-6.22
2024-09-05T07:39:24	1095.93	-1446.22	4861.76	-4.42	-0.46	-6.48
2024-09-05T07:39:26	1094.35	-1439.69	4857.37	-5.24	-0.12	-6.76
2024-09-05T07:39:28	1092.77	-1433.16	4852.98	-6.09	0.12	-7.13
2024-09-05T07:39:30	1091.18	-1426.63	4848.58	-6.95	0.34	-7.57
2024-09-05T07:39:32	1089.60	-1420.10	4844.19	-7.84	0.58	-8.01
2024-09-05T07:39:34	1088.01	-1413.57	4839.78	-8.74	0.85	-8.44
2024-09-05T07:39:36	1086.42	-1407.04	4835.38	-9.65	1.15	-8.87
2024-09-05T07:39:38	1084.84	-1400.51	4830.97	-10.56	1.48	-9.29
2024-09-05T07:39:40	1083.25	-1393.97	4826.56	-11.48	1.83	-9.71
2024-09-05T07:39:42	1081.66	-1387.44	4822.15	-12.41	2.20	-10.13
2024-09-05T07:39:44	1080.07	-1380.91	4817.73	-13.33	2.60	-10.55
2024-09-05T07:39:46	1078.48	-1374.37	4813.31	-14.23	3.03	-10.97
