Time	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2025-01-09T04:27:12	4483.66	-246.20	-3062.75	24.53	-1.20	0.28
2025-01-09T04:27:14	4482.06	-246.29	-3056.18	24.58	-1.20	0.32
2025-01-09T04:27:16	4480.45	-246.38	-3049.61	24.63	-1.20	0.36
2025-01-09T04:27:18	4478.85	-246.48	-3043.03	24.68	-1.21	0.40
2025-01-09T04:27:20	4477.24	-246.57	-3036.46	24.73	-1.21	0.44
2025-01-09T04:27:22	4475.62	-246.66	-3029.88	24.78	-1.21	0.48
2025-01-09T04:27:24	4474.01	-246.75	-3023.30	24.83	-1.22	0.52
2025-01-09T04:27:26	4472.39	-246.84	-3016.72	24.89	-1.22	0.56
2025-01-09T04:27:28	4470.77	-246.93	-3010.14	24.94	-1.22	0.60
2025-01-09T04:27:30	4469.15	-247.02	-3003.55	24.99	-1.23	0.64
2025-01-09T04:27:32	4467.52	-247.11	-2996.97	25.04	-1.23	0.69
2025-01-09T04:27:34	4465.89	-247.20	-2990.38	25.09	-1.23	0.73
2025-01-09T04:27:36	4464.26	-247.29	-2983.79	25.14	-1.24	0.77
2025-01-09T04:27:38	4462.63	-247.38	-2977.20	25.19	-1.24	0.81
2025-01-09T04:27:40	4460.99	-247.47	-2970.61	25.24	-1.24	0.86
2025-01-09T04:27:42	4459.35	-247.56	-2964.01	25.30	-1.25	0.90
2025-01-09T04:27:44	4457.71	-247.66	-2957.42	25.35	-1.25	0.95
2025-01-09T04:27:46	4456.07	-247.74	-2950.82	25.40	-1.26	0.99
2025-01-09T04:27:48	4454.42	-247.83	-2944.22	25.45	-1.26	1.03
2025-01-09T04:27:50	4452.78	-247.92	-2937.62	25.50	-1.26	1.08
2025-01-09T04:27:52	4451.12	-248.01	-2931.02	25.55	-1.27	1.12
2025-01-09T04:27:54	4449.47	-248.10	-2924.41	25.60	-1.27	1.17
2025-01-09T04:27:56	4447.82	-248.19	-2917.81	25.66	-1.27	1.21
2025-01-09T04:27:58	4446.16	-248.28	-2911.20	25.71	-1.28	1.26
2025-01-09T04:28:00	4444.49	-248.37	-2904.59	25.76	-1.28	1.31
2025-01-09T04:28:02	4442.83	-248.46	-2897.98	25.81	-1.28	1.35
2025-01-09T04:28:04	4441.16	-248.54	-2891.37	25.86	-1.29	1.40
2025-01-09T04:28:06	4439.49	-248.63	-2884.75	25.91	-1.29	1.45
2025-01-09T04:28:08	4437.82	-248.72	-2878.14	25.97	-1.29	1.49
2025-01-09T04:28:10	4436.15	-248.81	-2871.52	26.02	-1.30	1.54
2025-01-09T04:28:12	4434.47	-248.89	-2864.90	26.07	-1.30	1.59
2025-01-09T04:28:14	4432.79	-248.98	-2858.28	26.12	-1.30	1.64
